NOMBRE : E09
COMENTARIO : UB=5820, LB=5805
VERTICES : 93
ARISTAS_REQ : 103
ARISTAS_NOREQ : 38
VEHICULOS : 12
CAPACIDAD : 300
TIPO_COSTES_ARISTAS : EXPLICITOS
COSTE_TOTAL_REQ : 3585
LISTA_ARISTAS_REQ :
( 1, 8)   coste 5   demanda 5
( 1, 6)   coste 30   demanda 30
( 1, 27)   coste 5   demanda 5
( 1, 45)   coste 160   demanda 160
( 2, 8)   coste 15   demanda 15
( 2, 3)   coste 10   demanda 10
( 2, 29)   coste 20   demanda 20
( 4, 7)   coste 70   demanda 70
( 4, 91)   coste 45   demanda 45
( 4, 45)   coste 100   demanda 100
( 5, 92)   coste 65   demanda 65
( 6, 7)   coste 85   demanda 85
( 7, 45)   coste 100   demanda 100
( 8, 27)   coste 5   demanda 5
( 12, 59)   coste 70   demanda 70
( 12, 65)   coste 55   demanda 55
( 12, 60)   coste 25   demanda 25
( 13, 59)   coste 120   demanda 120
( 14, 46)   coste 150   demanda 150
( 15, 36)   coste 150   demanda 150
( 16, 34)   coste 70   demanda 70
( 16, 36)   coste 30   demanda 30
( 16, 35)   coste 20   demanda 20
( 17, 32)   coste 15   demanda 15
( 18, 34)   coste 10   demanda 10
( 26, 82)   coste 25   demanda 25
( 26, 81)   coste 55   demanda 55
( 26, 48)   coste 15   demanda 15
( 27, 30)   coste 20   demanda 20
( 28, 29)   coste 15   demanda 15
( 29, 31)   coste 10   demanda 10
( 29, 30)   coste 15   demanda 15
( 30, 32)   coste 15   demanda 15
( 30, 33)   coste 20   demanda 20
( 31, 32)   coste 10   demanda 10
( 32, 34)   coste 25   demanda 25
( 33, 34)   coste 25   demanda 25
( 33, 35)   coste 90   demanda 90
( 35, 37)   coste 30   demanda 30
( 36, 46)   coste 40   demanda 40
( 36, 37)   coste 15   demanda 15
( 37, 38)   coste 25   demanda 25
( 38, 40)   coste 15   demanda 15
( 38, 39)   coste 5   demanda 5
( 39, 40)   coste 20   demanda 20
( 39, 45)   coste 15   demanda 15
( 40, 46)   coste 30   demanda 30
( 40, 41)   coste 15   demanda 15
( 41, 57)   coste 15   demanda 15
( 41, 42)   coste 20   demanda 20
( 42, 50)   coste 25   demanda 25
( 42, 43)   coste 10   demanda 10
( 43, 50)   coste 20   demanda 20
( 43, 44)   coste 10   demanda 10
( 44, 49)   coste 10   demanda 10
( 44, 45)   coste 20   demanda 20
( 46, 58)   coste 40   demanda 40
( 46, 57)   coste 40   demanda 40
( 47, 48)   coste 30   demanda 30
( 47, 49)   coste 35   demanda 35
( 47, 51)   coste 30   demanda 30
( 47, 54)   coste 20   demanda 20
( 48, 49)   coste 35   demanda 35
( 50, 56)   coste 5   demanda 5
( 50, 51)   coste 5   demanda 5
( 51, 56)   coste 5   demanda 5
( 51, 52)   coste 5   demanda 5
( 52, 55)   coste 10   demanda 10
( 52, 53)   coste 15   demanda 15
( 53, 63)   coste 60   demanda 60
( 53, 54)   coste 35   demanda 35
( 54, 62)   coste 105   demanda 105
( 55, 56)   coste 5   demanda 5
( 55, 58)   coste 40   demanda 40
( 55, 60)   coste 70   demanda 70
( 56, 57)   coste 40   demanda 40
( 57, 58)   coste 5   demanda 5
( 58, 59)   coste 10   demanda 10
( 60, 65)   coste 60   demanda 60
( 60, 64)   coste 50   demanda 50
( 61, 88)   coste 70   demanda 70
( 62, 87)   coste 80   demanda 80
( 75, 76)   coste 30   demanda 30
( 75, 89)   coste 30   demanda 30
( 76, 89)   coste 30   demanda 30
( 77, 88)   coste 10   demanda 10
( 78, 83)   coste 20   demanda 20
( 78, 86)   coste 35   demanda 35
( 79, 80)   coste 55   demanda 55
( 80, 84)   coste 15   demanda 15
( 80, 85)   coste 10   demanda 10
( 81, 91)   coste 60   demanda 60
( 81, 84)   coste 10   demanda 10
( 82, 83)   coste 10   demanda 10
( 82, 84)   coste 40   demanda 40
( 83, 86)   coste 35   demanda 35
( 83, 87)   coste 50   demanda 50
( 84, 85)   coste 10   demanda 10
( 85, 86)   coste 15   demanda 15
( 87, 88)   coste 60   demanda 60
( 88, 89)   coste 10   demanda 10
( 91, 92)   coste 10   demanda 10
( 92, 93)   coste 25   demanda 25
LISTA_ARISTAS_NOREQ :
( 5, 11)   coste 15
( 6, 9)   coste 60
( 7, 10)   coste 60
( 9, 10)   coste 75
( 10, 11)   coste 10
( 12, 25)   coste 75
( 13, 24)   coste 40
( 13, 25)   coste 70
( 14, 15)   coste 50
( 14, 22)   coste 10
( 15, 18)   coste 75
( 16, 18)   coste 70
( 17, 18)   coste 25
( 17, 19)   coste 20
( 19, 20)   coste 75
( 20, 21)   coste 40
( 21, 22)   coste 25
( 22, 23)   coste 50
( 23, 24)   coste 45
( 61, 73)   coste 5
( 61, 74)   coste 50
( 62, 72)   coste 10
( 63, 64)   coste 35
( 63, 71)   coste 45
( 64, 68)   coste 20
( 65, 66)   coste 5
( 66, 67)   coste 5
( 67, 68)   coste 45
( 68, 69)   coste 10
( 69, 70)   coste 25
( 70, 71)   coste 20
( 71, 72)   coste 50
( 72, 73)   coste 20
( 74, 75)   coste 50
( 77, 78)   coste 100
( 77, 90)   coste 140
( 79, 92)   coste 45
( 79, 90)   coste 75
DEPOSITO :   49
