NOMBRE : F18
COMENTARIO : UB=3075, LB=3065
VERTICES : 78
ARISTAS_REQ : 88
ARISTAS_NOREQ : 22
VEHICULOS : 4
CAPACIDAD : 600
TIPO_COSTES_ARISTAS : EXPLICITOS
COSTE_TOTAL_REQ : 2225
LISTA_ARISTAS_REQ :
( 1, 3)   coste 40   demanda 40
( 1, 78)   coste 60   demanda 60
( 1, 61)   coste 25   demanda 25
( 2, 3)   coste 10   demanda 10
( 3, 4)   coste 5   demanda 5
( 4, 6)   coste 5   demanda 5
( 4, 65)   coste 5   demanda 5
( 5, 52)   coste 70   demanda 70
( 6, 65)   coste 5   demanda 5
( 11, 15)   coste 25   demanda 25
( 11, 19)   coste 25   demanda 25
( 12, 52)   coste 125   demanda 125
( 16, 51)   coste 30   demanda 30
( 16, 75)   coste 15   demanda 15
( 17, 18)   coste 20   demanda 20
( 17, 51)   coste 5   demanda 5
( 18, 21)   coste 15   demanda 15
( 19, 38)   coste 5   demanda 5
( 19, 37)   coste 15   demanda 15
( 20, 32)   coste 10   demanda 10
( 21, 26)   coste 10   demanda 10
( 26, 27)   coste 5   demanda 5
( 26, 50)   coste 25   demanda 25
( 27, 28)   coste 5   demanda 5
( 27, 33)   coste 15   demanda 15
( 28, 29)   coste 5   demanda 5
( 28, 34)   coste 15   demanda 15
( 29, 30)   coste 5   demanda 5
( 29, 46)   coste 25   demanda 25
( 30, 31)   coste 15   demanda 15
( 30, 35)   coste 5   demanda 5
( 31, 32)   coste 5   demanda 5
( 31, 36)   coste 20   demanda 20
( 32, 37)   coste 5   demanda 5
( 33, 34)   coste 5   demanda 5
( 33, 49)   coste 15   demanda 15
( 34, 47)   coste 15   demanda 15
( 34, 48)   coste 15   demanda 15
( 35, 36)   coste 20   demanda 20
( 35, 44)   coste 20   demanda 20
( 36, 41)   coste 20   demanda 20
( 37, 40)   coste 35   demanda 35
( 38, 39)   coste 35   demanda 35
( 38, 40)   coste 25   demanda 25
( 39, 40)   coste 35   demanda 35
( 40, 41)   coste 10   demanda 10
( 41, 42)   coste 10   demanda 10
( 42, 43)   coste 30   demanda 30
( 42, 52)   coste 70   demanda 70
( 43, 44)   coste 20   demanda 20
( 43, 57)   coste 70   demanda 70
( 44, 45)   coste 20   demanda 20
( 44, 53)   coste 50   demanda 50
( 45, 46)   coste 5   demanda 5
( 45, 53)   coste 70   demanda 70
( 46, 47)   coste 5   demanda 5
( 46, 76)   coste 40   demanda 40
( 47, 48)   coste 15   demanda 15
( 48, 49)   coste 20   demanda 20
( 48, 68)   coste 20   demanda 20
( 49, 50)   coste 5   demanda 5
( 50, 51)   coste 10   demanda 10
( 52, 57)   coste 80   demanda 80
( 53, 58)   coste 30   demanda 30
( 53, 59)   coste 25   demanda 25
( 54, 55)   coste 30   demanda 30
( 54, 61)   coste 30   demanda 30
( 54, 63)   coste 20   demanda 20
( 55, 56)   coste 15   demanda 15
( 55, 58)   coste 30   demanda 30
( 56, 57)   coste 10   demanda 10
( 57, 58)   coste 15   demanda 15
( 58, 59)   coste 20   demanda 20
( 59, 72)   coste 30   demanda 30
( 60, 73)   coste 35   demanda 35
( 61, 72)   coste 70   demanda 70
( 61, 62)   coste 20   demanda 20
( 62, 64)   coste 20   demanda 20
( 63, 64)   coste 25   demanda 25
( 64, 65)   coste 10   demanda 10
( 68, 75)   coste 45   demanda 45
( 68, 76)   coste 45   demanda 45
( 69, 75)   coste 40   demanda 40
( 69, 73)   coste 5   demanda 5
( 70, 71)   coste 80   demanda 80
( 71, 72)   coste 50   demanda 50
( 71, 76)   coste 40   demanda 40
( 73, 74)   coste 20   demanda 20
LISTA_ARISTAS_NOREQ :
( 2, 8)   coste 10
( 5, 10)   coste 30
( 6, 7)   coste 25
( 7, 67)   coste 15
( 7, 9)   coste 5
( 8, 9)   coste 5
( 10, 66)   coste 30
( 11, 14)   coste 120
( 12, 13)   coste 40
( 13, 14)   coste 10
( 15, 19)   coste 10
( 15, 20)   coste 20
( 20, 22)   coste 5
( 21, 25)   coste 10
( 22, 23)   coste 10
( 23, 24)   coste 5
( 24, 25)   coste 5
( 66, 67)   coste 80
( 68, 70)   coste 40
( 69, 77)   coste 40
( 70, 77)   coste 20
( 72, 78)   coste 80
DEPOSITO :   56
