NOMBRE : egl-g2-C
COMENTARIO : UB=1401583, LB=1295036
VERTICES : 255
ARISTAS_REQ : 375
ARISTAS_NOREQ : 0
VEHICULOS : 32
CAPACIDAD : 19400
TIPO_COSTES_ARISTAS : EXPLICITOS
COSTE_TOTAL_REQ : 604228
LISTA_ARISTAS_REQ :
( 1, 5)   coste 1860   demanda 1860
( 5, 6)   coste 556   demanda 556
( 6, 7)   coste 821   demanda 821
( 7, 8)   coste 606   demanda 606
( 8, 9)   coste 2195   demanda 2195
( 9, 10)   coste 282   demanda 282
( 10, 11)   coste 1834   demanda 1834
( 11, 12)   coste 1109   demanda 1109
( 12, 13)   coste 591   demanda 591
( 13, 14)   coste 3357   demanda 3357
( 14, 15)   coste 1922   demanda 1922
( 5, 16)   coste 390   demanda 390
( 16, 17)   coste 221   demanda 221
( 17, 18)   coste 318   demanda 318
( 6, 18)   coste 429   demanda 429
( 18, 19)   coste 717   demanda 717
( 7, 19)   coste 503   demanda 503
( 16, 20)   coste 960   demanda 960
( 20, 21)   coste 669   demanda 669
( 19, 21)   coste 460   demanda 460
( 20, 22)   coste 519   demanda 519
( 22, 23)   coste 463   demanda 463
( 21, 23)   coste 985   demanda 985
( 22, 24)   coste 528   demanda 528
( 23, 24)   coste 479   demanda 479
( 24, 25)   coste 1561   demanda 1561
( 25, 1)   coste 2841   demanda 2841
( 21, 26)   coste 681   demanda 681
( 8, 26)   coste 1063   demanda 1063
( 7, 255)   coste 991   demanda 991
( 26, 27)   coste 969   demanda 969
( 23, 28)   coste 1471   demanda 1471
( 27, 28)   coste 590   demanda 590
( 27, 29)   coste 720   demanda 720
( 28, 29)   coste 819   demanda 819
( 9, 29)   coste 794   demanda 794
( 9, 255)   coste 637   demanda 637
( 10, 30)   coste 498   demanda 498
( 29, 31)   coste 559   demanda 559
( 31, 30)   coste 383   demanda 383
( 31, 32)   coste 1671   demanda 1671
( 32, 33)   coste 420   demanda 420
( 30, 33)   coste 1373   demanda 1373
( 33, 11)   coste 130   demanda 130
( 32, 34)   coste 546   demanda 546
( 34, 35)   coste 510   demanda 510
( 35, 36)   coste 363   demanda 363
( 36, 33)   coste 424   demanda 424
( 36, 12)   coste 673   demanda 673
( 35, 37)   coste 894   demanda 894
( 37, 13)   coste 226   demanda 226
( 25, 38)   coste 709   demanda 709
( 38, 39)   coste 2022   demanda 2022
( 39, 40)   coste 747   demanda 747
( 39, 41)   coste 2431   demanda 2431
( 41, 34)   coste 2533   demanda 2533
( 39, 42)   coste 3644   demanda 3644
( 42, 43)   coste 605   demanda 605
( 41, 43)   coste 3742   demanda 3742
( 43, 44)   coste 666   demanda 666
( 37, 44)   coste 5067   demanda 5067
( 14, 44)   coste 3407   demanda 3407
( 15, 45)   coste 1414   demanda 1414
( 45, 46)   coste 2781   demanda 2781
( 46, 47)   coste 844   demanda 844
( 46, 48)   coste 774   demanda 774
( 48, 49)   coste 553   demanda 553
( 46, 49)   coste 1231   demanda 1231
( 49, 50)   coste 1041   demanda 1041
( 50, 51)   coste 1486   demanda 1486
( 51, 52)   coste 1190   demanda 1190
( 52, 53)   coste 1254   demanda 1254
( 53, 54)   coste 468   demanda 468
( 54, 55)   coste 230   demanda 230
( 55, 42)   coste 1871   demanda 1871
( 55, 53)   coste 662   demanda 662
( 44, 54)   coste 1559   demanda 1559
( 53, 56)   coste 545   demanda 545
( 56, 57)   coste 341   demanda 341
( 57, 58)   coste 422   demanda 422
( 56, 58)   coste 332   demanda 332
( 58, 59)   coste 324   demanda 324
( 59, 52)   coste 502   demanda 502
( 59, 60)   coste 358   demanda 358
( 51, 60)   coste 1076   demanda 1076
( 57, 61)   coste 368   demanda 368
( 61, 62)   coste 376   demanda 376
( 62, 63)   coste 1669   demanda 1669
( 60, 64)   coste 1123   demanda 1123
( 64, 65)   coste 520   demanda 520
( 65, 66)   coste 2332   demanda 2332
( 66, 4)   coste 2562   demanda 2562
( 4, 50)   coste 2191   demanda 2191
( 4, 48)   coste 874   demanda 874
( 64, 67)   coste 3301   demanda 3301
( 66, 67)   coste 4023   demanda 4023
( 67, 68)   coste 4409   demanda 4409
( 68, 69)   coste 1781   demanda 1781
( 69, 70)   coste 1101   demanda 1101
( 69, 71)   coste 563   demanda 563
( 70, 71)   coste 984   demanda 984
( 70, 63)   coste 2931   demanda 2931
( 71, 72)   coste 1613   demanda 1613
( 72, 73)   coste 2954   demanda 2954
( 73, 74)   coste 577   demanda 577
( 62, 74)   coste 3309   demanda 3309
( 74, 75)   coste 543   demanda 543
( 75, 73)   coste 588   demanda 588
( 42, 75)   coste 2479   demanda 2479
( 75, 76)   coste 3247   demanda 3247
( 76, 77)   coste 1169   demanda 1169
( 77, 40)   coste 1022   demanda 1022
( 76, 78)   coste 3457   demanda 3457
( 78, 79)   coste 342   demanda 342
( 78, 80)   coste 4719   demanda 4719
( 80, 81)   coste 212   demanda 212
( 81, 72)   coste 283   demanda 283
( 81, 82)   coste 1725   demanda 1725
( 82, 71)   coste 1274   demanda 1274
( 82, 83)   coste 422   demanda 422
( 83, 84)   coste 1671   demanda 1671
( 84, 80)   coste 1294   demanda 1294
( 84, 85)   coste 2384   demanda 2384
( 85, 86)   coste 1607   demanda 1607
( 84, 87)   coste 1479   demanda 1479
( 86, 87)   coste 1041   demanda 1041
( 86, 88)   coste 8010   demanda 8010
( 88, 89)   coste 602   demanda 602
( 89, 90)   coste 895   demanda 895
( 255, 89)   coste 883   demanda 883
( 83, 91)   coste 2892   demanda 2892
( 91, 92)   coste 450   demanda 450
( 92, 93)   coste 863   demanda 863
( 93, 94)   coste 509   demanda 509
( 94, 92)   coste 393   demanda 393
( 68, 94)   coste 2070   demanda 2070
( 94, 95)   coste 2463   demanda 2463
( 68, 95)   coste 1390   demanda 1390
( 3, 95)   coste 5069   demanda 5069
( 3, 96)   coste 3831   demanda 3831
( 96, 97)   coste 1948   demanda 1948
( 93, 97)   coste 3062   demanda 3062
( 91, 99)   coste 762   demanda 762
( 98, 99)   coste 4437   demanda 4437
( 97, 98)   coste 400   demanda 400
( 96, 100)   coste 3661   demanda 3661
( 100, 2)   coste 1562   demanda 1562
( 87, 101)   coste 1423   demanda 1423
( 101, 102)   coste 715   demanda 715
( 102, 103)   coste 572   demanda 572
( 103, 104)   coste 2681   demanda 2681
( 104, 105)   coste 1298   demanda 1298
( 105, 106)   coste 1451   demanda 1451
( 105, 107)   coste 982   demanda 982
( 107, 108)   coste 497   demanda 497
( 108, 106)   coste 630   demanda 630
( 108, 109)   coste 1268   demanda 1268
( 107, 109)   coste 1078   demanda 1078
( 109, 110)   coste 1724   demanda 1724
( 102, 111)   coste 436   demanda 436
( 111, 103)   coste 212   demanda 212
( 101, 112)   coste 3207   demanda 3207
( 112, 113)   coste 580   demanda 580
( 113, 114)   coste 1204   demanda 1204
( 111, 114)   coste 2014   demanda 2014
( 104, 114)   coste 3092   demanda 3092
( 113, 115)   coste 2331   demanda 2331
( 99, 112)   coste 2533   demanda 2533
( 115, 99)   coste 1971   demanda 1971
( 115, 116)   coste 304   demanda 304
( 116, 117)   coste 4996   demanda 4996
( 106, 118)   coste 1300   demanda 1300
( 117, 118)   coste 2279   demanda 2279
( 118, 119)   coste 3922   demanda 3922
( 117, 119)   coste 691   demanda 691
( 119, 120)   coste 7060   demanda 7060
( 117, 121)   coste 3157   demanda 3157
( 121, 122)   coste 2760   demanda 2760
( 122, 123)   coste 843   demanda 843
( 116, 123)   coste 4529   demanda 4529
( 122, 124)   coste 910   demanda 910
( 123, 124)   coste 542   demanda 542
( 124, 125)   coste 1486   demanda 1486
( 125, 126)   coste 490   demanda 490
( 126, 127)   coste 1720   demanda 1720
( 98, 127)   coste 3483   demanda 3483
( 127, 128)   coste 904   demanda 904
( 128, 129)   coste 304   demanda 304
( 129, 130)   coste 708   demanda 708
( 130, 131)   coste 2233   demanda 2233
( 131, 100)   coste 506   demanda 506
( 132, 100)   coste 572   demanda 572
( 132, 131)   coste 305   demanda 305
( 132, 133)   coste 2066   demanda 2066
( 133, 134)   coste 272   demanda 272
( 133, 135)   coste 1588   demanda 1588
( 135, 136)   coste 1753   demanda 1753
( 136, 137)   coste 1378   demanda 1378
( 137, 130)   coste 547   demanda 547
( 137, 138)   coste 224   demanda 224
( 138, 139)   coste 251   demanda 251
( 138, 129)   coste 424   demanda 424
( 139, 128)   coste 589   demanda 589
( 139, 140)   coste 772   demanda 772
( 140, 141)   coste 1138   demanda 1138
( 140, 142)   coste 394   demanda 394
( 141, 142)   coste 1308   demanda 1308
( 142, 143)   coste 9647   demanda 9647
( 143, 144)   coste 2703   demanda 2703
( 143, 145)   coste 1451   demanda 1451
( 145, 146)   coste 3385   demanda 3385
( 136, 146)   coste 604   demanda 604
( 146, 147)   coste 1812   demanda 1812
( 135, 147)   coste 1406   demanda 1406
( 147, 148)   coste 1533   demanda 1533
( 148, 149)   coste 697   demanda 697
( 145, 148)   coste 796   demanda 796
( 141, 150)   coste 547   demanda 547
( 150, 126)   coste 842   demanda 842
( 150, 125)   coste 881   demanda 881
( 150, 151)   coste 364   demanda 364
( 255, 150)   coste 477   demanda 477
( 151, 152)   coste 736   demanda 736
( 152, 125)   coste 971   demanda 971
( 151, 153)   coste 1253   demanda 1253
( 152, 153)   coste 636   demanda 636
( 153, 154)   coste 500   demanda 500
( 152, 155)   coste 2376   demanda 2376
( 121, 155)   coste 4308   demanda 4308
( 155, 156)   coste 2120   demanda 2120
( 156, 157)   coste 1295   demanda 1295
( 154, 157)   coste 3174   demanda 3174
( 154, 158)   coste 1764   demanda 1764
( 158, 159)   coste 334   demanda 334
( 158, 160)   coste 1652   demanda 1652
( 159, 160)   coste 1090   demanda 1090
( 159, 161)   coste 5318   demanda 5318
( 156, 162)   coste 1937   demanda 1937
( 162, 120)   coste 528   demanda 528
( 162, 163)   coste 2444   demanda 2444
( 157, 163)   coste 2208   demanda 2208
( 157, 161)   coste 4163   demanda 4163
( 161, 164)   coste 650   demanda 650
( 164, 165)   coste 783   demanda 783
( 161, 165)   coste 567   demanda 567
( 165, 166)   coste 1114   demanda 1114
( 166, 167)   coste 1191   demanda 1191
( 167, 163)   coste 638   demanda 638
( 167, 168)   coste 906   demanda 906
( 163, 168)   coste 1474   demanda 1474
( 164, 169)   coste 6561   demanda 6561
( 120, 170)   coste 3454   demanda 3454
( 170, 171)   coste 971   demanda 971
( 171, 172)   coste 886   demanda 886
( 172, 173)   coste 430   demanda 430
( 171, 255)   coste 1041   demanda 1041
( 170, 174)   coste 4804   demanda 4804
( 166, 175)   coste 696   demanda 696
( 175, 176)   coste 859   demanda 859
( 168, 176)   coste 271   demanda 271
( 176, 177)   coste 1324   demanda 1324
( 177, 175)   coste 1596   demanda 1596
( 166, 178)   coste 3419   demanda 3419
( 178, 179)   coste 1982   demanda 1982
( 179, 180)   coste 2073   demanda 2073
( 180, 177)   coste 1362   demanda 1362
( 180, 181)   coste 957   demanda 957
( 177, 181)   coste 2086   demanda 2086
( 181, 182)   coste 748   demanda 748
( 182, 174)   coste 1231   demanda 1231
( 174, 183)   coste 783   demanda 783
( 183, 179)   coste 1316   demanda 1316
( 179, 184)   coste 1731   demanda 1731
( 184, 185)   coste 1499   demanda 1499
( 178, 185)   coste 2259   demanda 2259
( 185, 186)   coste 3109   demanda 3109
( 185, 253)   coste 3422   demanda 3422
( 184, 187)   coste 1452   demanda 1452
( 186, 187)   coste 1269   demanda 1269
( 187, 188)   coste 3112   demanda 3112
( 188, 174)   coste 2136   demanda 2136
( 188, 189)   coste 755   demanda 755
( 189, 190)   coste 2565   demanda 2565
( 189, 191)   coste 792   demanda 792
( 191, 192)   coste 1231   demanda 1231
( 191, 193)   coste 1090   demanda 1090
( 192, 193)   coste 582   demanda 582
( 190, 194)   coste 3251   demanda 3251
( 194, 195)   coste 376   demanda 376
( 195, 196)   coste 292   demanda 292
( 195, 197)   coste 301   demanda 301
( 186, 197)   coste 3261   demanda 3261
( 197, 198)   coste 309   demanda 309
( 196, 198)   coste 206   demanda 206
( 198, 199)   coste 3240   demanda 3240
( 196, 199)   coste 3076   demanda 3076
( 199, 200)   coste 2518   demanda 2518
( 200, 201)   coste 950   demanda 950
( 200, 202)   coste 937   demanda 937
( 201, 202)   coste 402   demanda 402
( 202, 203)   coste 1544   demanda 1544
( 203, 204)   coste 2782   demanda 2782
( 203, 251)   coste 5204   demanda 5204
( 252, 251)   coste 2237   demanda 2237
( 252, 204)   coste 1611   demanda 1611
( 204, 205)   coste 2263   demanda 2263
( 201, 206)   coste 883   demanda 883
( 206, 205)   coste 2489   demanda 2489
( 205, 207)   coste 1895   demanda 1895
( 207, 208)   coste 2848   demanda 2848
( 208, 209)   coste 3369   demanda 3369
