Name:			BHW5.dat
#Vehicles:		11
Capacity:		200
Depot:			1
#Nodes:			40
#Edges:			0
#Arcs:			132
#Required-N:	30
#Required-E:	0
#Required-A:	132
#Nb-Turns:		486

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	0	0	212.50	92.42
2	5	1	183.3	93.36
3	4	1	99.4	107.83
4	3	1	73.9	91.68
5	13	1	33.71	68.66
6	10	1	169.75	115.10
7	12	1	105.41	137.92
8	8	1	260.69	50.54
9	0	0	308.69	2.79
10	8	1	283.41	1.87
11	14	1	248.7	73.47
12	3	1	159.62	138.96
13	3	1	99.32	151.41
14	14	1	349.46	0.55
15	10	1	316.38	27.55
16	0	0	284.16	49.52
17	8	1	112.87	176.41
18	8	1	80.20	175.7
19	10	1	37.73	188.20
20	8	1	63.1	262.8
21	13	1	38.26	270.15
22	13	1	27.25	263.12
23	0	0	45.3	301.47
24	0	0	18.26	300.76
25	8	1	18.34	273.39
26	0	0	339.75	139.83
27	15	1	328.21	179.66
28	3	1	354.34	200.22
29	2	1	130.4	17.24
30	15	1	93.43	12.65
31	0	0	56.96	8.54
32	3	1	0.55	27.99
33	15	1	269.66	127.3
34	8	1	298.5	156.26
35	3	1	235.25	124.13
36	0	0	157.64	64.19
37	5	1	102.68	52.13
38	0	0	77.2	52.90
39	10	1	11.67	51.73
40	0	0	219.44	40.70

----------EDGES----------
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST

-----------ARCS----------
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST
1	2	3	1	2
1	6	8	1	3
1	8	9	1	4
1	10	12	1	8
1	11	12	1	3
1	33	9	1	4
1	35	12	1	4
1	40	10	1	4
2	3	9	1	5
2	6	8	1	2
2	36	12	1	3
3	4	5	1	2
3	7	3	1	2
3	37	6	1	4
4	5	7	1	3
4	38	4	1	3
5	39	6	1	2
6	7	7	1	4
6	12	4	1	2
7	13	3	1	1
8	9	12	1	5
8	14	10	1	7
8	40	8	1	5
9	10	6	1	2
9	15	9	1	2
10	16	8	1	4
11	12	9	1	7
11	16	10	1	3
12	13	8	1	6
12	17	8	1	4
13	17	6	1	2
13	18	5	1	2
13	19	12	1	6
14	15	7	1	4
15	16	8	1	3
17	18	8	1	5
17	20	12	1	6
18	19	14	1	4
18	22	13	1	6
20	21	3	1	2
20	23	8	1	3
21	22	4	1	1
21	24	6	1	3
22	25	3	1	1
23	24	7	1	2
24	25	5	1	2
26	27	8	1	4
26	33	14	1	5
26	34	16	1	5
27	28	11	1	3
27	34	9	1	3
28	35	15	1	10
29	30	12	1	3
29	36	9	1	4
30	31	10	1	3
30	37	5	1	3
31	32	12	1	5
31	37	7	1	5
31	38	9	1	4
32	39	8	1	2
33	34	8	1	3
34	35	8	1	6
35	36	14	1	6
36	37	13	1	4
37	38	4	1	2
38	39	9	1	7
2	1	3	1	2
6	1	8	1	3
8	1	9	1	4
10	1	12	1	8
11	1	12	1	3
33	1	9	1	4
35	1	12	1	4
40	1	10	1	4
3	2	9	1	5
6	2	8	1	2
36	2	12	1	3
4	3	5	1	2
7	3	3	1	2
37	3	6	1	4
5	4	7	1	3
38	4	4	1	3
39	5	6	1	2
7	6	7	1	4
12	6	4	1	2
13	7	3	1	1
9	8	12	1	5
14	8	10	1	7
40	8	8	1	5
10	9	6	1	2
15	9	9	1	2
16	10	8	1	4
12	11	9	1	7
16	11	10	1	3
13	12	8	1	6
17	12	8	1	4
