Name:			CBMix12.dat
#Vehicles:		9
Capacity:		1811
Depot:			21
#Nodes:			38
#Edges:			0
#Arcs:			71
#Required-N:	1
#Required-E:	0
#Required-A:	52
#Nb-Turns:		137

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	0	0	277.39	19.87
2	0	0	271.71	77.98
3	0	0	273.63	144.2
4	0	0	270.29	202.38
5	0	0	271.34	256.13
6	0	0	216.14	5.76
7	0	0	212.14	65.91
8	0	0	211.73	98.29
9	0	0	209.71	130.73
10	0	0	211.70	198.30
11	0	0	215.76	257.5
12	0	0	188.79	0.55
13	0	0	183.10	56.80
14	0	0	157.42	5.73
15	0	0	147.89	67.20
16	0	0	154.98	99.53
17	0	0	140.39	129.69
18	0	0	136.24	199.19
19	0	0	156.34	256.60
20	0	0	112.47	75.25
21	0	0	109.65	106.46
22	0	0	100.1	137.65
23	0	0	110.99	198.44
24	132	1	88.92	14.58
25	0	0	78.56	81.41
26	0	0	66.68	113.64
27	0	0	72.90	139.80
28	0	0	66.35	172.83
29	0	0	80.44	199.99
30	0	0	95.58	265.6
31	0	0	34.66	170.40
32	0	0	31.26	19.37
33	0	0	18.71	76.58
34	0	0	3.51	108.1
35	0	0	0.55	134.56
36	0	0	5.65	173.52
37	0	0	14.65	204.40
38	0	0	36.13	261.47

----------EDGES----------
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST

-----------ARCS----------
INDEX-I	INDEX-J	QTY	IS-REQUIRED	TR-COST
2	3	318	1	41
4	5	268	1	36
5	11	300	1	37
6	1	135	1	41
6	12	310	1	17
7	6	76	1	37
7	13	48	1	18
8	7	355	1	19
9	8	126	1	19
10	4	136	1	37
10	9	97	1	39
10	18	397	1	44
11	10	224	1	37
12	13	66	1	37
13	15	366	1	21
14	24	231	1	40
16	8	244	1	35
16	15	48	1	19
17	16	108	1	19
17	18	295	1	40
17	22	311	1	22
18	10	393	1	44
18	19	241	1	38
18	23	363	1	15
19	10	328	1	55
19	30	242	1	37
20	21	315	1	19
21	17	373	1	25
21	22	174	1	20
22	17	374	1	22
23	22	380	1	37
24	25	400	1	40
25	20	273	1	19
25	21	179	1	28
25	33	164	1	35
26	25	356	1	19
26	34	317	1	40
27	26	269	1	15
27	31	240	1	29
28	29	124	1	18
29	23	34	1	18
31	27	168	1	29
31	28	63	1	20
32	24	374	1	36
33	32	232	1	37
34	33	358	1	21
34	35	156	1	16
35	27	287	1	44
35	36	225	1	23
36	31	303	1	18
36	37	74	1	19
38	30	188	1	37
1	2	0	0	38
2	7	0	0	38
2	9	0	0	56
3	4	0	0	37
7	8	0	0	19
9	2	0	0	56
9	3	0	0	40
9	17	0	0	38
