Name:	DI-NEARP-n160-Q2k.dat				
#Vehicles:	6				
Capacity:	2000				
Depot:		416			
#Nodes:		448			
#Edges:		646			
#Arcs:		0			
#Required-N:	80				
#Required-E:	80				
#Required-A:	0				
#Nb-Turns:	3958				
					
----------NODES----------					
INDEX	QTY	IS-REQUIRED	X	Y	
1	37	1	1385.99	1306.55	
2	62	1	1351.7	820.64	
3	31	1	1539.49	925.3	
4	1	1	1006.47	1405.45	
5	26	1	1424.67	783.73	
6	83	1	1084.66	1292.78	
7	11	1	1525.72	1179.46	
8	57	1	1065.8	850.52	
9	57	1	1463.97	730.89	
10	46	1	1245.58	1281.8	
11	9	1	1411.63	835.25	
12	1	1	575.1	1094.34	
13	1	1	759.92	1243.75	
14	6	1	999.4	787.9	
15	1	1	1427.5	761.58	
16	26	1	1270.37	1003.55	
17	45	1	1549.19	1104.49	
18	1	1	1626.65	1325.48	
19	31	1	1123.31	1291.38	
20	31	1	1116.98	1279.31	
21	73	1	1314.93	854.82	
22	1	1	973.97	633.15	
23	1	1	1585.17	1089.24	
24	7	1	1486.55	1050.8	
25	1	1	1192.14	1287.18	
26	6	1	1365.61	875.84	
27	1	1	877.56	1194.6	
28	14	1	1708.39	1188.29	
29	13	1	721.35	1196.4	
30	1	1	981.71	814.81	
31	42	1	1565.24	1117.1	
32	7	1	1633.97	1007.84	
33	51	1	1423.46	1100.9	
34	97	1	1275.29	676.4	
35	7	1	1505.41	754.3	
36	12	1	875.89	1345.31	
37	26	1	808.3	1280.27	
38	1	1	1656.23	1115.99	
39	7	1	1608.74	1103.92	
40	57	1	1399.8	1139.42	
41	7	1	999.4	1367.25	
42	1	1	418.1	1214.19	
43	51	1	1266.47	982.2	
44	1	1	1238.63	1019.62	
45	1	1	1507.36	1391.38	
46	1	1	1435.91	1068.15	
47	26	1	1068.75	814.98	
48	1	1	1617.22	1031.22	
49	1	1	1609.94	1002.27	
50	1	1	521.21	1125.94	
51	1	1	436.87	965.13	
52	62	1	1335	903.37	
53	215	1	1348.54	1210.97	
54	204	1	1453.47	1276.16	
55	1	1	1076.56	953.8	
56	7	1	1648.14	944.85	
57	6	1	1173.82	1295.51	
58	30	1	847.85	1293.3	
59	118	1	1337.8	779.9	
60	22	1	1486.67	1297.75	
61	1	1	1590.77	1269.56	
62	7	1	1407.54	761.51	
63	1	1	688.81	1201.17	
64	1	1	527.6	1100.62	
65	7	1	1767.39	1397.73	
66	1	1	1178.38	1149	
67	46	1	1286.48	955.77	
68	40	1	904.46	1379.13	
69	7	1	1464.16	1316.7	
70	40	1	809.2	1322.33	
71	76	1	783.95	1201.5	
72	1	1	432.56	1177	
73	57	1	1274.37	782.8	
74	1	1	828.81	1243.3	
75	1	1	1581.66	1345.51	
76	44	1	798.3	1229.6	
77	124	1	1216.57	819.61	
78	259	1	1398.33	1220.46	
79	124	1	1247.1	794.19	
80	6	1	738.96	1310.93	
81	0	0	1316.8	929.73	
82	0	0	1197.22	872.6	
83	0	0	1194.28	860.3	
84	0	0	1106.27	1131.53	
85	0	0	1455.96	838.91	
86	0	0	926.63	1280.86	
87	0	0	1006.38	732.29	
88	0	0	974.92	986.42	
89	0	0	468.26	1169	
90	0	0	1723.38	873.52	
91	0	0	1730.34	972.34	
92	0	0	1589.43	1060.2	
93	0	0	1653.26	805.33	
94	0	0	632.74	1145.72	
95	0	0	1687.93	853.37	
96	0	0	1113.1	1129.13	
97	0	0	1125.9	714.42	
98	0	0	1187.38	749.1	
99	0	0	1511.68	1214.75	
100	0	0	1504.69	1258.7	
101	0	0	1443.66	696.5	
102	0	0	1474.39	654.46	
103	0	0	1090.1	1334.87	
104	0	0	1467.64	1086.76	
105	0	0	1490.15	1056.67	
106	0	0	1128.88	899.55	
107	0	0	1086.21	862.82	
108	0	0	1039.93	943.67	
109	0	0	1031.65	886.25	
110	0	0	1043.35	1275.5	
111	0	0	1021.84	1206.53	
112	0	0	1482.17	1057.14	
113	0	0	1225.85	1332.68	
114	0	0	1235.93	1289.4	
115	0	0	1026.16	1285.7	
116	0	0	1045.94	1343.18	
117	0	0	1099.74	710.1	
118	0	0	1084.99	1026.5	
119	0	0	1075.47	1009.84	
120	0	0	1005.64	845.3	
121	0	0	1028.88	1082.99	
122	0	0	1020.28	1098.69	
123	0	0	963.34	947.94	
124	0	0	979.65	937.1	
125	0	0	1687.13	1123.11	
126	0	0	1732.5	986.43	
127	0	0	1711.73	1181.29	
128	0	0	1748.23	1041.82	
