Name:			DI-NEARP-n833-Q8k.dat
#Vehicles:		10
Capacity:		8000
Depot:			350
#Nodes:			1120
#Edges:			1450
#Arcs:			0
#Required-N:	347
#Required-E:	486
#Required-A:	0
#Nb-Turns:		8498

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	12	1	4779.62	2969.95
2	14	1	4185.40	5393.87
3	37	1	3359.1	2740.98
4	1	1	4098.64	2897.12
5	7	1	4179.35	2865.30
6	7	1	3409.89	2727.16
7	35	1	3757.97	2700.31
8	14	1	2774.76	2008.3
9	12	1	2296.32	2118.79
10	1	1	3536.11	3542.77
11	7	1	3550.46	3571.18
12	14	1	3676.55	3259.40
13	14	1	3578.34	2655.57
14	7	1	3569.13	2463.1
15	7	1	3583.82	2460.59
16	1	1	3657.59	2460.0
17	12	1	3678.80	2468.35
18	1	1	3460.53	2427.13
19	12	1	3732.58	4374.17
20	7	1	3712.48	4387.21
21	1	1	3354.59	3160.57
22	7	1	4947.65	3012.68
23	7	1	3956.76	3658.69
24	7	1	3993.1	3639.57
25	7	1	3493.60	3429.62
26	14	1	4178.70	5468.88
27	41	1	4163.36	5517.14
28	14	1	4149.56	5549.30
29	12	1	3495.11	2782.18
30	7	1	4070.0	2975.47
31	7	1	3501.56	3480.72
32	81	1	3928.19	3088.52
33	25	1	3727.5	3217.14
34	30	1	3676.60	2694.0
35	14	1	3314.88	2835.24
36	1	1	4396.96	2830.70
37	1	1	5301.22	2319.6
38	32	1	5752.78	2053.13
39	1	1	6001.84	1900.36
40	14	1	4533.92	5629.33
41	33	1	4517.57	5654.66
42	37	1	4154.56	2773.12
43	14	1	2589.50	1810.58
44	20	1	4518.58	5496.23
45	7	1	4517.22	5494.89
46	7	1	4553.50	5457.67
47	1	1	3366.98	3128.10
48	27	1	4384.74	3360.36
49	49	1	4460.10	3310.28
50	14	1	5042.84	2899.26
51	59	1	5127.58	2863.52
52	37	1	5168.68	2848.5
53	19	1	4105.54	3029.30
54	25	1	4969.33	2912.11
55	24	1	5009.39	2878.36
56	30	1	5052.5	2868.20
57	14	1	2615.42	1762.82
58	27	1	2635.92	1788.96
59	14	1	4434.83	5643.0
60	54	1	3496.43	2240.17
61	7	1	3514.4	2218.49
62	1	1	809.64	889.68
63	14	1	4255.45	5673.98
64	1	1	4251.15	5699.74
65	19	1	4246.57	5728.42
66	51	1	3942.9	4757.36
67	1	1	3937.19	4872.94
68	59	1	3938.46	4890.84
69	32	1	3773.12	2506.99
70	25	1	4115.31	3554.69
71	85	1	4063.6	5022.26
72	12	1	4021.10	4979.68
73	14	1	3931.74	2756.87
74	19	1	3972.7	2765.67
75	24	1	3998.16	2767.45
76	24	1	4048.64	2765.27
77	14	1	4413.1	5696.65
78	41	1	4415.96	5712.14
79	12	1	4420.46	5725.48
80	30	1	3495.99	2407.97
81	14	1	3769.44	4395.12
82	35	1	4133.80	2823.67
83	20	1	4131.29	2793.36
84	12	1	4129.46	5320.60
85	1	1	4125.95	5349.68
86	53	1	3451.65	3254.21
87	1	1	3352.34	2412.94
88	17	1	3440.64	2396.90
89	66	1	5391.53	2279.26
90	7	1	4167.58	5366.23
91	1	1	5012.89	2902.0
92	19	1	3745.81	3702.43
93	1	1	3862.40	3680.28
94	1	1	3699.10	3917.29
95	7	1	3916.84	4659.53
96	1	1	3754.52	4078.90
97	12	1	3732.98	4078.58
98	1	1	4199.46	3498.33
99	7	1	4615.0	3187.80
100	14	1	4545.14	3174.28
101	48	1	4563.55	5630.84
102	7	1	647.63	752.15
103	1	1	4971.64	3012.8
104	20	1	3290.3	2245.36
105	30	1	3811.49	2545.10
106	20	1	3869.88	2648.64
107	14	1	3826.31	3162.48
108	7	1	3447.26	3370.6
109	14	1	4141.18	2796.30
110	44	1	4161.62	2806.51
111	14	1	4177.19	2820.15
112	30	1	3354.74	2844.36
113	14	1	3370.57	2751.59
114	419	1	3829.50	3831.15
115	27	1	3918.73	3973.32
116	1	1	3437.92	2795.38
117	14	1	1999.90	1872.24
118	7	1	5345.44	3178.16
119	12	1	4078.35	2982.59
120	64	1	2835.68	1763.95
121	37	1	2835.42	1724.60
122	14	1	3710.43	3880.18
123	7	1	4197.55	5510.21
124	27	1	3954.94	2697.40
125	19	1	3603.14	2730.66
126	19	1	3621.5	2746.19
127	7	1	3809.91	2738.58
128	7	1	4529.59	5438.52
129	1	1	4308.33	5590.37
130	7	1	3523.87	2769.31
131	20	1	3477.97	2787.14
132	1	1	3697.64	3774.67
133	7	1	3226.37	2432.95
134	17	1	2828.49	2017.16
135	14	1	2647.90	1907.8
136	57	1	4490.68	5677.40
137	12	1	4550.28	5545.64
138	186	1	3397.10	3209.56
139	1	1	3431.69	3188.9
140	31	1	4651.42	3101.6
141	24	1	4800.28	3002.88
142	1	1	3395.23	3231.46
143	30	1	1955.46	1840.15
144	7	1	2114.78	1971.55
145	167	1	3536.80	2780.67
146	1	1	3380.40	3159.11
147	1	1	3851.75	4412.6
148	7	1	2605.62	1891.89
149	24	1	3286.78	2430.29
150	14	1	3243.76	2407.36
151	46	1	3019.91	2085.74
152	56	1	2943.41	2023.37
153	56	1	2882.6	1986.46
154	19	1	3816.18	4332.61
155	7	1	3859.32	4371.6
156	1	1	3203.56	2480.47
157	1	1	3197.28	2488.24
158	7	1	3056.23	2563.93
159	20	1	5169.43	3059.98
160	14	1	4479.27	5507.31
161	14	1	4494.49	5525.98
162	19	1	4495.31	5527.75
163	7	1	4388.73	5648.79
164	1	1	4375.67	5647.98
165	7	1	3868.40	4514.38
166	7	1	3847.69	3712.26
167	27	1	2383.26	2014.4
168	1	1	3456.74	3364.53
169	25	1	3363.82	2369.66
170	14	1	3156.28	2108.1
171	19	1	3688.49	2641.80
172	19	1	4049.63	2811.47
173	1	1	3438.5	3190.69
174	7	1	3700.7	3963.19
175	1	1	2544.68	2417.80
176	7	1	110.74	189.59
177	14	1	98.23	174.39
178	14	1	368.89	514.37
179	7	1	569.92	675.54
180	25	1	5057.29	2921.28
181	7	1	354.93	498.22
182	12	1	3147.30	2148.54
183	31	1	2771.2	1985.99
184	352	1	3404.54	3159.93
185	1	1	3546.69	3525.72
186	37	1	3787.76	4374.53
