Name:			p13
#Vehicles:		23
Capacity:		290
Depot:			1
#Nodes:			160
#Edges:			80
#Arcs:			370
#Required-N:	0
#Required-E:	80
#Required-A:	148
#Nb-Turns:		1907

----------NODES----------
INDEX	QTY	IS-REQUIRED	X	Y
1	0	0	47.4	96.5
2	0	0	93.75	49.40
3	0	0	164.65	36.17
4	0	0	120.76	138.22
5	0	0	13.45	79.87
6	0	0	25.28	69.59
7	0	0	153.33	105.22
8	0	0	72.7	95.88
9	0	0	31.33	153.62
10	0	0	24.71	40.58
11	0	0	80.60	47.14
12	0	0	170.50	111.57
13	0	0	65.98	122.43
14	0	0	103.49	140.24
15	0	0	93.66	109.68
16	0	0	80.67	131.22
17	0	0	39.30	133.15
18	0	0	58.36	69.87
19	0	0	185.40	63.79
20	0	0	59.68	32.79
21	0	0	135.52	90.88
22	0	0	38.72	84.30
23	0	0	57.0	131.2
24	0	0	109.60	129.8
25	0	0	128.89	129.96
26	0	0	114.38	100.72
27	0	0	20.80	57.87
28	0	0	97.7	136.34
29	0	0	87.4	143.45
30	0	0	9.19	151.94
31	0	0	163.86	118.45
32	0	0	122.7	133.72
33	0	0	65.6	58.96
34	0	0	125.77	48.35
35	0	0	127.89	76.1
36	0	0	44.17	154.73
37	0	0	100.54	55.29
38	0	0	162.25	50.49
39	0	0	154.10	149.40
40	0	0	102.0	146.83
41	0	0	157.17	27.27
42	0	0	200.53	105.63
43	0	0	37.36	29.26
44	0	0	52.57	28.0
45	0	0	106.49	148.53
46	0	0	95.57	70.89
47	0	0	86.33	53.76
48	0	0	52.80	51.87
49	0	0	105.11	20.72
50	0	0	81.30	119.33
51	0	0	95.50	2.47
52	0	0	89.19	132.94
53	0	0	91.66	124.23
54	0	0	133.77	45.96
55	0	0	98.92	44.23
56	0	0	126.80	162.17
57	0	0	35.40	144.53
58	0	0	99.29	18.49
59	0	0	9.83	105.4
60	0	0	39.23	38.85
61	0	0	136.3	66.33
62	0	0	52.5	126.29
63	0	0	139.58	131.47
