Name:		BHW10
Optimal value:	-1
#Vehicles:	-1
Capacity:	305
Depot Node:	1
#Nodes:		77
#Edges:		0
#Arcs:		196
#Required N:	40
#Required E:	0
#Required A:	102

ReN.	DEMAND	S. COST
N54	13	13
N23	49	49
N70	29	29
N14	34	34
N10	45	45
N45	21	21
N48	40	40
N55	47	47
N50	49	49
N6	41	41
N61	12	12
N72	24	24
N52	15	15
N63	23	23
N34	21	21
N13	49	49
N11	16	16
N38	30	30
N27	12	12
N39	17	17
N22	18	18
N36	31	31
N41	37	37
N58	21	21
N28	14	14
N57	16	16
N24	33	33
N43	50	50
N29	28	28
N12	48	48
N68	15	15
N15	22	22
N74	19	19
N59	47	47
N73	26	26
N69	49	49
N49	33	33
N65	50	50
N16	42	42
N19	15	15

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	32	32	64
A2	2	3	14	14	28
A3	2	4	17	17	34
A4	4	5	56	56	112
A5	9	10	20	20	40
A6	11	12	32	32	64
A7	12	16	29	29	58
A8	13	16	13	13	26
A9	13	14	7	7	14
A10	15	17	26	26	52
A11	15	18	38	38	76
A12	18	19	41	41	82
A13	19	20	32	32	64
A14	19	21	38	38	76
A15	21	22	17	17	34
A16	22	75	24	24	48
A17	23	31	40	40	80
A18	31	32	58	58	116
A19	32	33	30	30	60
A20	32	34	43	43	86
A21	32	35	86	86	172
A22	35	41	15	15	30
A23	43	44	78	78	156
A24	44	45	12	12	24
A25	44	46	13	13	26
A26	46	47	33	33	66
A27	47	48	10	10	20
A28	47	49	9	9	18
A29	49	50	8	8	16
A30	49	51	10	10	20
A31	50	52	2	2	4
A32	52	54	4	4	8
A33	55	56	6	6	12
A34	42	57	14	14	28
A35	57	58	78	78	156
A36	58	59	25	25	50
A37	11	59	78	78	156
A38	58	60	33	33	66
A39	60	61	39	39	78
A40	60	62	23	23	46
A41	62	63	30	30	60
A42	63	65	21	21	42
A43	62	66	16	16	32
A44	66	68	45	45	90
A45	58	69	32	32	64
A46	59	69	11	11	22
A47	4	69	75	75	150
A48	23	75	17	17	34
A49	20	76	8	8	16
A50	21	51	2	2	4
A51	44	59	28	28	56
A52	2	1	32	32	64
A53	3	2	14	14	28
A54	4	2	17	17	34
A55	5	4	56	56	112
A56	10	9	20	20	40
A57	12	11	32	32	64
A58	16	12	29	29	58
A59	16	13	13	13	26
A60	14	13	7	7	14
A61	17	15	26	26	52
A62	18	15	38	38	76
A63	19	18	41	41	82
A64	20	19	32	32	64
A65	21	19	38	38	76
A66	22	21	17	17	34
A67	75	22	24	24	48
A68	31	23	40	40	80
A69	32	31	58	58	116
A70	33	32	30	30	60
A71	34	32	43	43	86
A72	35	32	86	86	172
A73	41	35	15	15	30
A74	44	43	78	78	156
A75	45	44	12	12	24
A76	46	44	13	13	26
A77	47	46	33	33	66
A78	48	47	10	10	20
A79	49	47	9	9	18
A80	50	49	8	8	16
A81	51	49	10	10	20
A82	52	50	2	2	4
A83	54	52	4	4	8
A84	56	55	6	6	12
A85	57	42	14	14	28
A86	58	57	78	78	156
A87	59	58	25	25	50
A88	59	11	78	78	156
A89	60	58	33	33	66
A90	61	60	39	39	78
A91	62	60	23	23	46
A92	63	62	30	30	60
A93	65	63	21	21	42
A94	66	62	16	16	32
