Name:		BHW13
Optimal value:	-1
#Vehicles:	-1
Capacity:	150
Depot Node:	1
#Nodes:		140
#Edges:		0
#Arcs:		380
#Required N:	25
#Required E:	0
#Required A:	150

ReN.	DEMAND	S. COST
N110	31	31
N75	47	47
N5	30	30
N135	29	29
N33	39	39
N67	50	50
N86	33	33
N130	19	19
N21	41	41
N122	22	22
N83	20	20
N30	26	26
N95	15	15
N62	28	28
N28	27	27
N92	22	22
N48	14	14
N133	36	36
N116	18	18
N129	50	50
N9	10	10
N60	24	24
N47	37	37
N7	39	39
N119	18	18

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	5	6	26	26	52
A2	6	8	10	10	20
A3	8	9	37	37	74
A4	8	11	48	48	96
A5	11	12	25	25	50
A6	12	13	12	12	24
A7	13	14	18	18	36
A8	20	22	10	10	20
A9	20	24	33	33	66
A10	24	25	10	10	20
A11	25	27	19	19	38
A12	27	28	6	6	12
A13	28	29	5	5	10
A14	28	30	5	5	10
A15	30	32	28	28	56
A16	11	33	24	24	48
A17	34	139	49	49	98
A18	36	37	20	20	40
A19	36	38	25	25	50
A20	38	39	6	6	12
A21	39	40	18	18	36
A22	37	43	16	16	32
A23	43	44	31	31	62
A24	44	45	14	14	28
A25	34	45	4	4	8
A26	43	46	5	5	10
A27	33	139	13	13	26
A28	48	49	10	10	20
A29	49	140	24	24	48
A30	54	55	10	10	20
A31	55	56	4	4	8
A32	62	63	7	7	14
A33	63	64	9	9	18
A34	64	65	15	15	30
A35	62	66	37	37	74
A36	66	67	33	33	66
A37	67	68	9	9	18
A38	67	69	4	4	8
A39	69	71	6	6	12
A40	71	72	9	9	18
A41	72	73	18	18	36
A42	44	73	36	36	72
A43	46	77	16	16	32
A44	77	78	15	15	30
A45	78	79	12	12	24
A46	79	80	12	12	24
A47	80	82	16	16	32
A48	82	84	13	13	26
A49	84	85	10	10	20
A50	85	86	20	20	40
A51	86	87	4	4	8
A52	95	96	8	8	16
A53	96	97	17	17	34
A54	97	98	3	3	6
A55	102	104	21	21	42
A56	104	105	6	6	12
A57	105	106	15	15	30
A58	106	107	28	28	56
A59	107	108	25	25	50
A60	108	109	103	103	206
A61	107	110	8	8	16
A62	110	111	7	7	14
A63	110	112	13	13	26
A64	107	112	13	13	26
A65	112	113	4	4	8
A66	113	114	12	12	24
A67	1	116	18	18	36
A68	116	117	19	19	38
A69	2	117	16	16	32
A70	117	119	24	24	48
A71	114	118	58	58	116
A72	124	126	11	11	22
A73	126	130	35	35	70
A74	55	140	14	14	28
A75	11	27	50	50	100
A76	6	5	26	26	52
A77	8	6	10	10	20
A78	9	8	37	37	74
A79	11	8	48	48	96
A80	12	11	25	25	50
A81	13	12	12	12	24
A82	14	13	18	18	36
A83	22	20	10	10	20
A84	24	20	33	33	66
A85	25	24	10	10	20
A86	27	25	19	19	38
A87	28	27	6	6	12
A88	29	28	5	5	10
A89	30	28	5	5	10
A90	32	30	28	28	56
A91	33	11	24	24	48
A92	139	34	49	49	98
A93	37	36	20	20	40
A94	38	36	25	25	50
A95	39	38	6	6	12
A96	40	39	18	18	36
A97	43	37	16	16	32
A98	44	43	31	31	62
A99	45	44	14	14	28
A100	45	34	4	4	8
A101	46	43	5	5	10
A102	139	33	13	13	26
