Name:		BHW19
Optimal value:	-1
#Vehicles:	-1
Capacity:	190
Depot Node:	1
#Nodes:		77
#Edges:		0
#Arcs:		196
#Required N:	20
#Required E:	0
#Required A:	87

ReN.	DEMAND	S. COST
N27	20	20
N31	12	12
N42	32	32
N51	19	19
N13	30	30
N29	23	23
N75	10	10
N50	32	32
N5	21	21
N15	35	35
N76	20	20
N16	35	35
N34	30	30
N2	12	12
N65	28	28
N37	23	23
N43	33	33
N41	32	32
N73	5	5
N24	29	29

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	32	32	64
A2	2	3	14	14	28
A3	2	4	17	17	34
A4	4	5	56	56	112
A5	5	6	8	8	16
A6	5	7	6	6	12
A7	7	8	18	18	36
A8	8	9	26	26	52
A9	9	10	20	20	40
A10	11	12	32	32	64
A11	12	16	29	29	58
A12	13	16	13	13	26
A13	13	14	7	7	14
A14	13	77	12	12	24
A15	15	17	26	26	52
A16	15	18	38	38	76
A17	18	19	41	41	82
A18	19	20	32	32	64
A19	18	20	21	21	42
A20	19	21	38	38	76
A21	21	22	17	17	34
A22	22	75	24	24	48
A23	22	24	4	4	8
A24	24	25	27	27	54
A25	25	75	16	16	32
A26	25	26	17	17	34
A27	23	26	12	12	24
A28	26	27	15	15	30
A29	26	28	18	18	36
A30	28	29	16	16	32
A31	25	29	27	27	54
A32	30	31	14	14	28
A33	23	31	40	40	80
A34	31	32	58	58	116
A35	32	33	30	30	60
A36	32	34	43	43	86
A37	32	35	86	86	172
A38	33	36	27	27	54
A39	33	37	75	75	150
A40	37	38	8	8	16
A41	37	39	21	21	42
A42	39	40	5	5	10
A43	35	39	7	7	14
A44	35	41	15	15	30
A45	43	44	78	78	156
A46	44	45	12	12	24
A47	45	46	12	12	24
A48	44	46	13	13	26
A49	46	47	33	33	66
A50	47	48	10	10	20
A51	47	49	9	9	18
A52	49	50	8	8	16
A53	49	51	10	10	20
A54	50	52	2	2	4
A55	51	53	4	4	8
A56	52	53	4	4	8
A57	52	54	4	4	8
A58	24	53	24	24	48
A59	19	50	30	30	60
A60	55	56	6	6	12
A61	42	57	14	14	28
A62	57	58	78	78	156
A63	58	59	25	25	50
A64	11	59	78	78	156
A65	58	60	33	33	66
A66	60	61	39	39	78
A67	60	62	23	23	46
A68	62	63	30	30	60
A69	63	64	9	9	18
A70	63	65	21	21	42
A71	62	66	16	16	32
A72	66	68	45	45	90
A73	58	69	32	32	64
A74	59	69	11	11	22
A75	4	69	75	75	150
A76	70	71	56	56	112
A77	71	72	6	6	12
A78	71	73	5	5	10
A79	72	73	5	5	10
A80	73	74	25	25	50
A81	18	72	92	92	184
A82	23	75	17	17	34
A83	20	76	8	8	16
A84	15	77	13	13	26
A85	76	77	35	35	70
A86	21	51	2	2	4
A87	44	59	28	28	56

ARC	FROM N.	TO N.	T. COST
NrA1	10	11	12
NrA2	14	15	7
NrA3	40	41	9
NrA4	41	42	18
NrA5	42	43	11
NrA6	11	48	79
NrA7	42	56	26
NrA8	56	67	36
NrA9	12	76	7
NrA10	60	67	29
NrA11	62	67	31
NrA12	2	1	32
NrA13	3	2	14
NrA14	4	2	17
NrA15	5	4	56
NrA16	6	5	8
NrA17	7	5	6
NrA18	8	7	18
NrA19	9	8	26
NrA20	10	9	20
NrA21	12	11	32
NrA22	16	12	29
NrA23	16	13	13
NrA24	14	13	7
NrA25	77	13	12
NrA26	17	15	26
NrA27	18	15	38
NrA28	19	18	41
NrA29	20	19	32
NrA30	20	18	21
NrA31	21	19	38
NrA32	22	21	17
NrA33	75	22	24
NrA34	24	22	4
NrA35	25	24	27
NrA36	75	25	16
NrA37	26	25	17
NrA38	26	23	12
NrA39	27	26	15
NrA40	28	26	18
NrA41	29	28	16
NrA42	29	25	27
NrA43	31	30	14
NrA44	31	23	40
NrA45	32	31	58
NrA46	33	32	30
NrA47	34	32	43
NrA48	35	32	86
NrA49	36	33	27
NrA50	37	33	75
NrA51	38	37	8
NrA52	39	37	21
NrA53	40	39	5
NrA54	39	35	7
NrA55	41	35	15
NrA56	44	43	78
NrA57	45	44	12
NrA58	46	45	12
NrA59	46	44	13
NrA60	47	46	33
NrA61	48	47	10
NrA62	49	47	9
NrA63	50	49	8
NrA64	51	49	10
NrA65	52	50	2
NrA66	53	51	4
NrA67	53	52	4
NrA68	54	52	4
NrA69	53	24	24
NrA70	50	19	30
NrA71	56	55	6
NrA72	57	42	14
NrA73	58	57	78
NrA74	59	58	25
NrA75	59	11	78
NrA76	60	58	33
NrA77	61	60	39
NrA78	62	60	23
NrA79	63	62	30
NrA80	64	63	9
NrA81	65	63	21
NrA82	66	62	16
NrA83	68	66	45
NrA84	69	58	32
NrA85	69	59	11
NrA86	69	4	75
NrA87	71	70	56
NrA88	72	71	6
NrA89	73	71	5
NrA90	73	72	5
NrA91	74	73	25
NrA92	72	18	92
NrA93	75	23	17
NrA94	76	20	8
NrA95	77	15	13
NrA96	77	76	35
NrA97	51	21	2
NrA98	59	44	28
NrA99	11	10	12
NrA100	15	14	7
NrA101	41	40	9
NrA102	42	41	18
NrA103	43	42	11
NrA104	48	11	79
NrA105	56	42	26
NrA106	67	56	36
NrA107	76	12	7
NrA108	67	60	29
NrA109	67	62	31
based on carp instance egl e3 B
