Name:		BHW20
Optimal value:	-1
#Vehicles:	-1
Capacity:	235
Depot Node:	1
#Nodes:		140
#Edges:		51
#Arcs:		278
#Required N:	50
#Required E:	51
#Required A:	192

ReN.	DEMAND	S. COST
N21	14	14
N71	7	7
N127	8	8
N96	8	8
N48	20	20
N13	14	14
N36	28	28
N20	19	19
N87	31	31
N41	32	32
N75	32	32
N99	6	6
N111	17	17
N39	13	13
N103	24	24
N131	32	32
N7	13	13
N108	16	16
N120	26	26
N95	20	20
N35	12	12
N102	27	27
N12	16	16
N70	28	28
N45	5	5
N104	13	13
N133	34	34
N77	33	33
N25	10	10
N8	32	32
N94	34	34
N38	25	25
N30	15	15
N123	7	7
N132	13	13
N24	22	22
N32	8	8
N28	15	15
N80	20	20
N14	27	27
N122	25	25
N51	15	15
N49	14	14
N106	24	24
N2	18	18
N136	6	6
N61	7	7
N44	21	21
N114	35	35
N126	9	9

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	5	6	26	26	52
E2	6	8	10	10	20
E3	8	9	37	37	74
E4	8	11	48	48	96
E5	11	12	25	25	50
E6	12	13	12	12	24
E7	13	14	18	18	36
E8	13	16	12	12	24
E9	10	19	28	28	56
E10	12	20	34	34	68
E11	20	21	58	58	116
E12	20	22	10	10	20
E13	20	24	33	33	66
E14	23	24	56	56	112
E15	24	25	10	10	20
E16	25	26	48	48	96
E17	25	27	19	19	38
E18	27	28	6	6	12
E19	28	29	5	5	10
E20	28	30	5	5	10
E21	30	31	41	41	82
E22	30	32	28	28	56
E23	29	33	52	52	104
E24	11	33	24	24	48
E25	34	139	49	49	98
E26	34	35	59	59	118
E27	35	36	4	4	8
E28	35	37	17	17	34
E29	36	37	20	20	40
E30	36	38	25	25	50
E31	38	39	6	6	12
E32	39	40	18	18	36
E33	40	41	12	12	24
E34	38	41	10	10	20
E35	41	47	99	99	198
E36	37	42	17	17	34
E37	42	43	5	5	10
E38	37	43	16	16	32
E39	43	44	31	31	62
E40	44	45	14	14	28
E41	34	45	4	4	8
E42	42	47	4	4	8
E43	46	47	7	7	14
E44	43	46	5	5	10
E45	33	139	13	13	26
E46	48	49	10	10	20
E47	48	50	8	8	16
E48	50	51	30	30	60
E49	52	53	12	12	24
E50	53	140	24	24	48
E51	49	140	24	24	48

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	54	55	10	10	20
A2	55	56	4	4	8
A3	56	57	49	49	98
A4	57	58	20	20	40
A5	58	59	40	40	80
A6	59	60	18	18	36
A7	45	60	15	15	30
A8	60	61	35	35	70
A9	59	61	31	31	62
A10	49	61	13	13	26
A11	57	62	14	14	28
A12	62	63	7	7	14
A13	63	64	9	9	18
A14	64	65	15	15	30
A15	62	66	37	37	74
A16	66	67	33	33	66
A17	67	68	9	9	18
A18	67	69	4	4	8
A19	69	70	8	8	16
A20	70	71	9	9	18
A21	69	71	6	6	12
A22	71	72	9	9	18
A23	72	73	18	18	36
A24	72	74	15	15	30
