Name:		BHW6
Optimal value:	388
#Vehicles:	-1
Capacity:	200
Depot Node:	1
#Nodes:		40
#Edges:		37
#Arcs:		58
#Required N:	15
#Required E:	37
#Required A:	58

ReN.	DEMAND	S. COST
N8	12	12
N40	1	1
N13	13	13
N26	2	2
N32	3	3
N38	12	12
N33	2	2
N4	4	4
N17	9	9
N25	6	6
N30	4	4
N24	5	5
N34	15	15
N5	13	13
N14	9	9

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	12	17	4	8	12
E2	13	17	2	6	8
E3	13	18	2	5	7
E4	13	19	6	12	18
E5	14	15	4	7	11
E6	15	16	3	8	11
E7	17	18	5	8	13
E8	17	20	6	12	18
E9	18	19	4	14	18
E10	18	22	6	13	19
E11	20	21	2	3	5
E12	20	23	3	8	11
E13	21	22	1	4	5
E14	21	24	3	6	9
E15	22	25	1	3	4
E16	23	24	2	7	9
E17	24	25	2	5	7
E18	26	27	4	8	12
E19	26	33	5	14	19
E20	26	34	5	16	21
E21	27	28	3	11	14
E22	27	34	3	9	12
E23	28	35	10	15	25
E24	29	30	3	12	15
E25	29	36	4	9	13
E26	30	31	3	10	13
E27	30	37	3	5	8
E28	31	32	5	12	17
E29	31	37	5	7	12
E30	31	38	4	9	13
E31	32	39	2	8	10
E32	33	34	3	8	11
E33	34	35	6	8	14
E34	35	36	6	14	20
E35	36	37	4	13	17
E36	37	38	2	4	6
E37	38	39	7	9	16

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	2	3	5
A2	1	6	3	8	11
A3	1	8	4	9	13
A4	1	10	8	12	20
A5	1	11	3	12	15
A6	1	33	4	9	13
A7	1	35	4	12	16
A8	1	40	4	10	14
A9	2	3	5	9	14
A10	2	6	2	8	10
A11	2	36	3	12	15
A12	3	4	2	5	7
A13	3	7	2	3	5
A14	3	37	4	6	10
A15	4	5	3	7	10
A16	4	38	3	4	7
A17	5	39	2	6	8
A18	6	7	4	7	11
A19	6	12	2	4	6
A20	7	13	1	3	4
A21	8	9	5	12	17
A22	8	14	7	10	17
A23	8	40	5	8	13
A24	9	10	2	6	8
A25	9	15	2	9	11
A26	10	16	4	8	12
A27	11	12	7	9	16
A28	11	16	3	10	13
A29	12	13	6	8	14
A30	2	1	2	3	5
A31	6	1	3	8	11
A32	8	1	4	9	13
A33	10	1	8	12	20
A34	11	1	3	12	15
A35	33	1	4	9	13
A36	35	1	4	12	16
A37	40	1	4	10	14
A38	3	2	5	9	14
A39	6	2	2	8	10
A40	36	2	3	12	15
A41	4	3	2	5	7
A42	7	3	2	3	5
A43	37	3	4	6	10
A44	5	4	3	7	10
A45	38	4	3	4	7
A46	39	5	2	6	8
A47	7	6	4	7	11
A48	12	6	2	4	6
A49	13	7	1	3	4
A50	9	8	5	12	17
A51	14	8	7	10	17
A52	40	8	5	8	13
A53	10	9	2	6	8
A54	15	9	2	9	11
A55	16	10	4	8	12
A56	12	11	7	9	16
A57	16	11	3	10	13
A58	13	12	6	8	14

ARC	FROM N.	TO N.	T. COST
based on carp instance val 7a
