Name:		BHW7
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:		50
#Edges:		0
#Arcs:		194
#Required N:	35
#Required E:	0
#Required A:	194

ReN.	DEMAND	S. COST
N46	2	2
N8	5	5
N26	14	14
N11	5	5
N33	8	8
N27	11	11
N9	15	15
N10	14	14
N44	15	15
N49	13	13
N39	5	5
N3	11	11
N19	2	2
N6	14	14
N24	13	13
N12	5	5
N48	14	14
N14	7	7
N30	12	12
N5	10	10
N16	2	2
N18	14	14
N36	13	13
N20	3	3
N43	1	1
N23	10	10
N22	7	7
N31	6	6
N28	12	12
N42	4	4
N32	11	11
N35	15	15
N38	11	11
N37	2	2
N17	11	11

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	10	13	23
A2	1	5	7	8	15
A3	1	6	2	7	9
A4	2	3	6	10	16
A5	2	7	1	7	8
A6	3	4	6	9	15
A7	3	9	5	6	11
A8	4	10	3	6	9
A9	5	6	9	10	19
A10	5	11	3	9	12
A11	5	18	9	12	21
A12	6	7	5	7	12
A13	6	12	2	7	9
A14	6	13	3	8	11
A15	7	8	2	6	8
A16	7	13	4	6	10
A17	8	9	3	5	8
A18	8	14	3	7	10
A19	9	10	8	9	17
A20	9	15	2	8	10
A21	9	16	5	9	14
A22	10	17	7	11	18
A23	11	12	3	5	8
A24	11	19	1	8	9
A25	12	13	1	4	5
A26	12	20	2	7	9
A27	13	14	2	6	8
A28	13	21	3	6	9
A29	14	15	1	5	6
A30	14	22	5	9	14
A31	15	16	2	7	9
A32	15	23	1	6	7
A33	16	17	7	8	15
A34	16	24	3	7	10
A35	17	25	7	8	15
A36	18	19	1	4	5
A37	18	26	2	9	11
A38	18	29	5	10	15
A39	19	20	3	9	12
A40	19	26	1	6	7
A41	20	21	4	7	11
A42	20	30	9	12	21
A43	21	22	5	10	15
A44	21	27	4	7	11
A45	22	23	2	6	8
A46	22	31	6	9	15
A47	23	24	6	8	14
A48	23	31	3	10	13
A49	24	25	2	7	9
A50	24	32	5	11	16
A51	25	28	3	6	9
A52	26	29	2	4	6
A53	26	30	1	3	4
A54	26	34	5	10	15
A55	27	30	3	6	9
A56	27	31	7	12	19
A57	27	35	6	9	15
A58	27	36	8	12	20
A59	28	32	1	4	5
A60	28	38	6	10	16
A61	29	33	6	8	14
A62	29	39	5	7	12
A63	30	34	1	5	6
A64	31	32	3	5	8
A65	31	37	2	6	8
A66	32	37	3	7	10
A67	32	38	5	9	14
A68	33	34	4	6	10
A69	33	39	3	8	11
A70	33	40	3	7	10
A71	33	46	6	10	16
A72	34	35	2	5	7
A73	34	40	1	5	6
A74	35	36	3	6	9
A75	35	41	3	4	7
A76	36	37	2	4	6
A77	36	42	2	6	8
A78	37	38	7	9	16
A79	37	43	2	7	9
A80	38	43	3	8	11
A81	38	45	7	9	16
A82	40	41	3	4	7
A83	40	47	2	3	5
A84	41	42	4	6	10
A85	41	48	1	3	4
A86	41	49	2	4	6
A87	42	43	4	9	13
A88	42	44	1	3	4
A89	43	45	1	4	5
A90	43	50	6	6	12
A91	44	49	4	5	9
A92	44	50	5	7	12
A93	45	50	3	7	10
A94	46	47	4	7	11
A95	47	48	3	6	9
A96	48	49	7	10	17
A97	49	50	10	12	22
