Name:		BHW9
Optimal value:	-1
#Vehicles:	-1
Capacity:	75
Depot Node:	1
#Nodes:		50
#Edges:		26
#Arcs:		142
#Required N:	10
#Required E:	26
#Required A:	142

ReN.	DEMAND	S. COST
N19	12	12
N49	12	12
N25	11	11
N3	7	7
N23	7	7
N4	10	10
N5	10	10
N10	6	6
N41	2	2
N7	9	9

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	34	35	2	5	7
E2	34	40	1	5	6
E3	35	36	3	6	9
E4	35	41	3	4	7
E5	36	37	2	4	6
E6	36	42	2	6	8
E7	37	38	7	9	16
E8	37	43	2	7	9
E9	38	43	3	8	11
E10	38	45	7	9	16
E11	40	41	3	4	7
E12	40	47	2	3	5
E13	41	42	4	6	10
E14	41	48	1	3	4
E15	41	49	2	4	6
E16	42	43	4	9	13
E17	42	44	1	3	4
E18	43	45	1	4	5
E19	43	50	6	6	12
E20	44	49	4	5	9
E21	44	50	5	7	12
E22	45	50	3	7	10
E23	46	47	4	7	11
E24	47	48	3	6	9
E25	48	49	7	10	17
E26	49	50	10	12	22

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	10	13	23
A2	1	5	7	8	15
A3	1	6	2	7	9
A4	2	3	6	10	16
A5	2	7	1	7	8
A6	3	4	6	9	15
A7	3	9	5	6	11
A8	4	10	3	6	9
A9	5	6	9	10	19
A10	5	11	3	9	12
A11	5	18	9	12	21
A12	6	7	5	7	12
A13	6	12	2	7	9
A14	6	13	3	8	11
A15	7	8	2	6	8
A16	7	13	4	6	10
A17	8	9	3	5	8
A18	8	14	3	7	10
A19	9	10	8	9	17
A20	9	15	2	8	10
A21	9	16	5	9	14
A22	10	17	7	11	18
A23	11	12	3	5	8
A24	11	19	1	8	9
A25	12	13	1	4	5
A26	12	20	2	7	9
A27	13	14	2	6	8
A28	13	21	3	6	9
A29	14	15	1	5	6
A30	14	22	5	9	14
A31	15	16	2	7	9
A32	15	23	1	6	7
A33	16	17	7	8	15
A34	16	24	3	7	10
A35	17	25	7	8	15
A36	18	19	1	4	5
A37	18	26	2	9	11
A38	18	29	5	10	15
A39	19	20	3	9	12
A40	19	26	1	6	7
A41	20	21	4	7	11
A42	20	30	9	12	21
A43	21	22	5	10	15
A44	21	27	4	7	11
A45	22	23	2	6	8
A46	22	31	6	9	15
A47	23	24	6	8	14
A48	23	31	3	10	13
A49	24	25	2	7	9
A50	24	32	5	11	16
A51	25	28	3	6	9
A52	26	29	2	4	6
A53	26	30	1	3	4
A54	26	34	5	10	15
A55	27	30	3	6	9
A56	27	31	7	12	19
A57	27	35	6	9	15
A58	27	36	8	12	20
A59	28	32	1	4	5
A60	28	38	6	10	16
A61	29	33	6	8	14
A62	29	39	5	7	12
A63	30	34	1	5	6
A64	31	32	3	5	8
A65	31	37	2	6	8
A66	32	37	3	7	10
A67	32	38	5	9	14
A68	33	34	4	6	10
A69	33	39	3	8	11
A70	33	40	3	7	10
A71	33	46	6	10	16
A72	2	1	10	13	23
A73	5	1	7	8	15
A74	6	1	2	7	9
A75	3	2	6	10	16
A76	7	2	1	7	8
A77	4	3	6	9	15
A78	9	3	5	6	11
A79	10	4	3	6	9
A80	6	5	9	10	19
A81	11	5	3	9	12
A82	18	5	9	12	21
A83	7	6	5	7	12
A84	12	6	2	7	9
A85	13	6	3	8	11
A86	8	7	2	6	8
A87	13	7	4	6	10
A88	9	8	3	5	8
A89	14	8	3	7	10
A90	10	9	8	9	17
A91	15	9	2	8	10
A92	16	9	5	9	14
A93	17	10	7	11	18
A94	12	11	3	5	8
A95	19	11	1	8	9
A96	13	12	1	4	5
A97	20	12	2	7	9
A98	14	13	2	6	8
A99	21	13	3	6	9
A100	15	14	1	5	6
A101	22	14	5	9	14
A102	16	15	2	7	9
A103	23	15	1	6	7
A104	17	16	7	8	15
A105	24	16	3	7	10
A106	25	17	7	8	15
A107	19	18	1	4	5
A108	26	18	2	9	11
A109	29	18	5	10	15
A110	20	19	3	9	12
A111	26	19	1	6	7
A112	21	20	4	7	11
A113	30	20	9	12	21
A114	22	21	5	10	15
A115	27	21	4	7	11
A116	23	22	2	6	8
A117	31	22	6	9	15
A118	24	23	6	8	14
A119	31	23	3	10	13
A120	25	24	2	7	9
A121	32	24	5	11	16
A122	28	25	3	6	9
A123	29	26	2	4	6
A124	30	26	1	3	4
A125	34	26	5	10	15
A126	30	27	3	6	9
A127	31	27	7	12	19
A128	35	27	6	9	15
A129	36	27	8	12	20
A130	32	28	1	4	5
A131	38	28	6	10	16
A132	33	29	6	8	14
A133	39	29	5	7	12
A134	34	30	1	5	6
A135	32	31	3	5	8
A136	37	31	2	6	8
A137	37	32	3	7	10
A138	38	32	5	9	14
A139	34	33	4	6	10
A140	39	33	3	8	11
A141	40	33	3	7	10
A142	46	33	6	10	16

ARC	FROM N.	TO N.	T. COST
based on carp instance val 10 d
