Name:		CBMix10
Optimal value:	-1
#Vehicles:	-1
Capacity:	1649
Depot Node:	1
#Nodes:		56
#Edges:		94
#Arcs:		16
#Required N:	4
#Required E:	94
#Required A:	9

ReN.	DEMAND	S. COST
N12	132	132
N16	420	420
N25	344	344
N30	324	324

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	38	265	303
E2	1	16	36	138	174
E3	2	3	20	284	304
E4	2	9	20	658	678
E5	3	4	17	435	452
E6	3	10	18	302	320
E7	4	5	18	397	415
E8	4	11	19	368	387
E9	4	12	25	449	474
E10	5	6	18	661	679
E11	5	12	17	553	570
E12	6	13	15	273	288
E13	7	8	19	352	371
E14	8	15	21	419	440
E15	9	10	20	701	721
E16	9	18	21	262	283
E17	10	19	22	316	338
E18	10	20	31	204	235
E19	11	20	23	577	600
E20	12	21	19	503	522
E21	12	22	31	331	362
E22	13	14	18	496	514
E23	13	22	25	518	543
E24	14	15	20	522	542
E25	14	23	18	335	353
E26	14	24	31	249	280
E27	15	24	20	575	595
E28	16	17	19	364	383
E29	16	25	26	63	89
E30	17	18	20	292	312
E31	17	26	20	80	100
E32	18	19	19	590	609
E33	19	28	22	589	611
E34	20	21	19	548	567
E35	20	29	13	455	468
E36	21	30	21	109	130
E37	22	23	19	181	200
E38	22	31	18	292	310
E39	22	32	25	767	792
E40	23	24	20	267	287
E41	23	32	23	627	650
E42	24	32	29	403	432
E43	24	33	14	189	203
E44	25	26	19	168	187
E45	25	34	16	563	579
E46	26	35	23	558	581
E47	27	28	20	241	261
E48	27	36	23	84	107
E49	28	29	20	393	413
E50	28	37	18	354	372
E51	29	30	22	433	455
E52	29	38	20	300	320
E53	30	31	15	169	184
E54	30	39	20	464	484
E55	31	40	22	389	411
E56	32	33	19	401	420
E57	32	40	26	594	620
E58	32	41	17	573	590
E59	32	42	26	588	614
E60	33	42	23	261	284
E61	34	35	18	490	508
E62	35	36	23	463	486
E63	35	44	18	328	346
E64	36	37	18	416	434
E65	36	45	17	360	377
E66	37	46	20	641	661
E67	38	39	20	637	657
E68	38	46	26	393	419
E69	38	47	21	338	359
E70	39	40	20	542	562
E71	40	41	19	320	339
E72	40	48	16	344	360
E73	41	42	19	374	393
E74	42	49	20	355	375
E75	43	44	19	417	436
E76	43	50	25	404	429
E77	44	45	19	475	494
E78	44	51	16	551	567
E79	45	46	19	412	431
E80	45	52	21	670	691
E81	46	47	20	671	691
E82	46	52	28	576	604
E83	46	53	20	394	414
E84	47	48	38	371	409
E85	47	54	20	225	245
E86	48	49	34	444	478
E87	48	55	17	161	178
E88	49	56	18	213	231
E89	50	51	18	524	542
E90	51	52	21	123	144
E91	52	53	18	163	181
E92	53	54	16	326	342
E93	54	55	43	285	328
E94	55	56	37	176	213

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	7	14	20	48	68
A2	10	11	17	242	259
A3	14	6	24	356	380
A4	19	20	21	74	95
A5	22	21	20	165	185
A6	26	27	14	396	410
A7	27	18	15	342	357
A8	34	43	18	61	79
A9	37	38	17	224	241

ARC	FROM N.	TO N.	T. COST
NrA1	2	10	27
NrA2	6	7	19
NrA3	10	2	27
NrA4	20	19	21
NrA5	31	32	20
NrA6	32	31	20
NrA7	38	37	17

