Name:		CBMix12
Optimal value:	3138
#Vehicles:	-1
Capacity:	1811
Depot Node:	21
#Nodes:		38
#Edges:		0
#Arcs:		71
#Required N:	1
#Required E:	0
#Required A:	52

ReN.	DEMAND	S. COST
N24	132	132

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	2	3	41	318	359
A2	4	5	36	268	304
A3	5	11	37	300	337
A4	6	1	41	135	176
A5	6	12	17	310	327
A6	7	6	37	76	113
A7	7	13	18	48	66
A8	8	7	19	355	374
A9	9	8	19	126	145
A10	10	4	37	136	173
A11	10	9	39	97	136
A12	10	18	44	397	441
A13	11	10	37	224	261
A14	12	13	37	66	103
A15	13	15	21	366	387
A16	14	24	40	231	271
A17	16	8	35	244	279
A18	16	15	19	48	67
A19	17	16	19	108	127
A20	17	18	40	295	335
A21	17	22	22	311	333
A22	18	10	44	393	437
A23	18	19	38	241	279
A24	18	23	15	363	378
A25	19	10	55	328	383
A26	19	30	37	242	279
A27	20	21	19	315	334
A28	21	17	25	373	398
A29	21	22	20	174	194
A30	22	17	22	374	396
A31	23	22	37	380	417
A32	24	25	40	400	440
A33	25	20	19	273	292
A34	25	21	28	179	207
A35	25	33	35	164	199
A36	26	25	19	356	375
A37	26	34	40	317	357
A38	27	26	15	269	284
A39	27	31	29	240	269
A40	28	29	18	124	142
A41	29	23	18	34	52
A42	31	27	29	168	197
A43	31	28	20	63	83
A44	32	24	36	374	410
A45	33	32	37	232	269
A46	34	33	21	358	379
A47	34	35	16	156	172
A48	35	27	44	287	331
A49	35	36	23	225	248
A50	36	31	18	303	321
A51	36	37	19	74	93
A52	38	30	37	188	225

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	38
NrA2	2	7	38
NrA3	2	9	56
NrA4	3	4	37
NrA5	7	8	19
NrA6	9	2	56
NrA7	9	3	40
NrA8	9	17	38
NrA9	14	12	19
NrA10	15	14	37
NrA11	15	20	20
NrA12	19	11	37
NrA13	22	27	15
NrA14	28	27	19
NrA15	29	37	40
NrA16	30	29	42
NrA17	31	37	27
NrA18	37	31	27
NrA19	37	38	38

