Name:		CBMix14
Optimal value:	-1
#Vehicles:	-1
Capacity:	1642
Depot Node:	11
#Nodes:		94
#Edges:		0
#Arcs:		332
#Required N:	93
#Required E:	0
#Required A:	0

ReN.	DEMAND	S. COST
N1	320	320
N2	494	494
N3	190	190
N4	118	118
N5	318	318
N6	468	468
N7	330	330
N8	335	335
N9	353	353
N10	100	100
N12	433	433
N13	186	186
N14	259	259
N15	81	81
N16	233	233
N17	51	51
N18	488	488
N19	404	404
N20	74	74
N21	133	133
N22	279	279
N23	235	235
N24	303	303
N25	421	421
N26	232	232
N27	193	193
N28	465	465
N29	377	377
N30	174	174
N31	178	178
N32	231	231
N33	316	316
N34	276	276
N35	465	465
N36	210	210
N37	294	294
N38	494	494
N39	387	387
N40	123	123
N41	119	119
N42	232	232
N43	436	436
N44	322	322
N45	96	96
N46	447	447
N47	53	53
N48	296	296
N49	196	196
N50	302	302
N51	166	166
N52	156	156
N53	386	386
N54	479	479
N55	89	89
N56	191	191
N57	349	349
N58	241	241
N59	431	431
N60	126	126
N61	92	92
N62	361	361
N63	179	179
N64	233	233
N65	476	476
N66	209	209
N67	259	259
N68	295	295
N69	295	295
N70	261	261
N71	408	408
N72	496	496
N73	349	349
N74	113	113
N75	133	133
N76	397	397
N77	330	330
N78	300	300
N79	304	304
N80	348	348
N81	364	364
N82	90	90
N83	143	143
N84	257	257
N85	66	66
N86	409	409
N87	74	74
N88	459	459
N89	183	183
N90	499	499
N91	355	355
N92	66	66
N93	487	487
N94	341	341

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	36
NrA2	1	10	39
NrA3	2	1	36
NrA4	2	3	39
NrA5	2	11	36
NrA6	3	2	39
NrA7	3	4	36
NrA8	3	12	40
NrA9	4	3	36
NrA10	4	5	36
NrA11	4	13	35
NrA12	5	4	36
NrA13	5	6	39
NrA14	5	15	38
NrA15	6	5	39
NrA16	6	7	39
NrA17	6	16	34
NrA18	7	6	39
NrA19	7	8	37
NrA20	7	17	41
NrA21	8	7	37
NrA22	8	9	37
NrA23	8	18	41
NrA24	9	8	37
NrA25	9	20	40
NrA26	10	1	39
NrA27	10	11	36
NrA28	10	21	39
NrA29	11	2	36
NrA30	11	10	36
NrA31	11	12	37
NrA32	11	22	42
NrA33	12	3	40
NrA34	12	11	37
NrA35	12	13	36
NrA36	12	23	35
NrA37	13	4	35
NrA38	13	12	36
NrA39	13	14	20
NrA40	13	24	45
NrA41	14	13	20
NrA42	14	15	20
NrA43	14	25	40
NrA44	15	5	38
NrA45	15	14	20
NrA46	15	16	36
NrA47	15	26	36
NrA48	16	6	34
NrA49	16	15	36
NrA50	16	17	39
NrA51	16	27	40
NrA52	17	7	41
NrA53	17	16	39
NrA54	17	18	39
NrA55	17	28	41
NrA56	18	8	41
NrA57	18	17	39
NrA58	18	19	18
NrA59	18	29	34
NrA60	19	18	18
NrA61	19	20	21
NrA62	19	30	39
NrA63	20	9	40
NrA64	20	19	21
NrA65	20	31	37
NrA66	21	10	39
NrA67	21	22	39
NrA68	21	32	43
NrA69	22	11	42
NrA70	22	21	39
NrA71	22	23	36
NrA72	22	33	34
NrA73	23	12	35
NrA74	23	22	36
NrA75	23	24	37
NrA76	23	34	39
NrA77	24	13	45
NrA78	24	23	37
NrA79	24	25	20
NrA80	24	35	38
NrA81	25	14	40
NrA82	25	24	20
NrA83	25	26	21
NrA84	26	15	36
NrA85	26	25	21
NrA86	26	27	35
NrA87	26	37	41
NrA88	27	16	40
NrA89	27	26	35
NrA90	27	28	39
NrA91	27	39	39
NrA92	27	41	58
NrA93	28	17	41
NrA94	28	27	39
NrA95	28	29	39
NrA96	28	41	38
NrA97	29	18	34
NrA98	29	28	39
NrA99	29	30	20
NrA100	29	42	39
NrA101	30	19	39
NrA102	30	29	20
NrA103	30	31	15
NrA104	31	20	37
NrA105	31	30	15
NrA106	31	43	35
NrA107	32	21	43
NrA108	32	33	37
NrA109	32	52	40
NrA110	33	22	34
NrA111	33	32	37
NrA112	33	34	40
NrA113	33	53	42
NrA114	34	23	39
NrA115	34	33	40
NrA116	34	35	38
NrA117	34	54	38
NrA118	35	24	38
NrA119	35	34	38
NrA120	35	36	23
NrA121	35	44	18
NrA122	36	35	23
NrA123	36	37	18
NrA124	36	45	18
NrA125	37	26	41
NrA126	37	36	18
NrA127	37	38	18
NrA128	37	46	18
NrA129	38	37	18
NrA130	38	39	21
NrA131	38	47	21
NrA132	39	27	39
NrA133	39	38	21
