Name:		CBMix15
Optimal value:	-1
#Vehicles:	-1
Capacity:	1570
Depot Node:	22
#Nodes:		52
#Edges:		91
#Arcs:		0
#Required N:	0
#Required E:	91
#Required A:	0

ReN.	DEMAND	S. COST

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	40	631	671
E2	1	8	41	534	575
E3	2	3	40	253	293
E4	2	9	40	467	507
E5	3	4	38	108	146
E6	3	10	36	438	474
E7	4	5	36	365	401
E8	4	11	39	461	500
E9	5	6	36	602	638
E10	5	12	37	340	377
E11	6	7	38	361	399
E12	6	13	36	431	467
E13	7	14	39	409	448
E14	8	9	38	227	265
E15	8	18	38	486	524
E16	9	10	40	270	310
E17	9	19	36	115	151
E18	10	11	37	184	221
E19	10	15	22	473	495
E20	10	16	25	107	132
E21	11	12	37	444	481
E22	11	17	19	502	521
E23	12	13	37	429	466
E24	12	22	43	455	498
E25	13	14	39	642	681
E26	13	23	37	663	700
E27	14	24	41	255	296
E28	15	16	20	456	476
E29	15	20	21	277	298
E30	16	17	19	420	439
E31	16	21	29	220	249
E32	17	21	18	449	467
E33	18	19	36	410	446
E34	18	25	39	602	641
E35	19	20	39	774	813
E36	19	26	38	437	475
E37	20	21	39	613	652
E38	20	28	35	509	544
E39	20	29	51	361	412
E40	21	22	40	565	605
E41	21	29	39	336	375
E42	22	23	37	645	682
E43	22	30	35	407	442
E44	23	24	37	378	415
E45	23	31	43	431	474
E46	24	32	36	374	410
E47	25	26	39	303	342
E48	25	33	33	135	168
E49	26	27	15	632	647
E50	26	35	40	680	720
E51	27	28	20	312	332
E52	27	36	40	491	531
E53	28	29	38	344	382
E54	28	37	38	710	748
E55	29	30	41	323	364
E56	29	37	52	147	199
E57	29	38	37	188	225
E58	30	31	33	183	216
E59	30	39	37	618	655
E60	31	32	39	271	310
E61	31	40	40	487	527
E62	32	40	53	497	550
E63	32	41	38	383	421
E64	33	34	21	513	534
E65	33	42	21	491	512
E66	34	35	17	447	464
E67	34	43	18	613	631
E68	35	36	23	231	254
E69	35	44	18	546	564
E70	36	37	18	433	451
E71	37	38	35	167	202
E72	37	48	38	426	464
E73	38	39	40	658	698
E74	38	49	43	624	667
E75	39	40	39	530	569
E76	39	50	42	287	329
E77	40	41	39	324	363
E78	40	51	33	453	486
E79	41	52	42	536	578
E80	42	43	20	299	319
E81	42	45	18	640	658
E82	43	44	18	512	530
E83	43	46	20	315	335
E84	44	47	18	227	245
E85	45	46	19	708	727
E86	46	47	19	339	358
E87	47	48	39	417	456
E88	48	49	35	271	306
E89	49	50	38	408	446
E90	50	51	35	429	464
E91	51	52	40	224	264

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST

ARC	FROM N.	TO N.	T. COST

