Name:		CBMix17
Optimal value:	-1
#Vehicles:	-1
Capacity:	1542
Depot Node:	15
#Nodes:		42
#Edges:		16
#Arcs:		102
#Required N:	16
#Required E:	16
#Required A:	31

ReN.	DEMAND	S. COST
N1	446	446
N3	387	387
N4	198	198
N7	86	86
N8	210	210
N11	219	219
N12	170	170
N14	394	394
N18	61	61
N21	306	306
N22	111	111
N25	86	86
N31	449	449
N32	468	468
N40	314	314
N41	324	324

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	39	334	373
E2	3	4	38	595	633
E3	3	9	41	315	356
E4	4	10	35	275	310
E5	10	16	39	391	430
E6	11	12	37	108	145
E7	17	18	37	528	565
E8	18	24	39	276	315
E9	19	25	40	356	396
E10	21	27	37	160	197
E11	23	29	39	83	122
E12	31	32	37	158	195
E13	32	33	38	247	285
E14	35	36	43	296	339
E15	39	40	38	221	259
E16	40	41	39	75	114

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	7	37	215	252
A2	5	6	38	212	250
A3	6	5	38	48	86
A4	10	9	41	30	71
A5	10	11	38	217	255
A6	11	5	34	394	428
A7	12	18	42	295	337
A8	13	19	39	393	432
A9	14	13	39	363	402
A10	16	17	38	155	193
A11	19	20	39	242	281
A12	21	20	39	372	411
A13	22	16	46	377	423
A14	22	23	38	128	166
A15	22	28	37	346	383
A16	23	22	38	196	234
A17	24	30	32	156	188
A18	27	26	32	189	221
A19	28	34	35	64	99
A20	31	25	36	333	369
A21	32	26	39	49	88
A22	33	39	38	398	436
A23	34	33	40	270	310
A24	35	29	43	46	89
A25	35	41	36	314	350
A26	36	30	40	256	296
A27	38	37	38	85	123
A28	38	39	40	293	333
A29	39	33	38	245	283
A30	39	38	40	132	172
A31	41	42	38	278	316

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	40
NrA2	2	8	39
NrA3	3	2	40
NrA4	4	5	35
NrA5	5	4	35
NrA6	5	11	34
NrA7	6	12	36
NrA8	7	1	37
NrA9	7	8	37
NrA10	7	13	38
NrA11	8	2	39
NrA12	8	7	37
NrA13	8	9	39
NrA14	9	8	39
NrA15	9	10	41
NrA16	9	15	39
NrA17	11	10	38
NrA18	11	17	37
NrA19	12	6	36
NrA20	13	14	39
NrA21	14	8	37
NrA22	14	15	37
NrA23	14	20	39
NrA24	15	14	37
NrA25	15	16	38
NrA26	15	21	34
NrA27	16	15	38
NrA28	16	22	46
NrA29	17	16	38
NrA30	17	23	39
NrA31	18	12	42
NrA32	19	13	39
NrA33	20	14	39
NrA34	20	19	39
NrA35	20	21	39
NrA36	21	15	34
NrA37	21	22	37
NrA38	22	21	37
NrA39	23	17	39
NrA40	24	23	37
NrA41	25	26	39
NrA42	25	31	36
NrA43	26	20	32
NrA44	26	25	39
NrA45	26	27	32
NrA46	26	32	39
NrA47	27	28	37
NrA48	27	33	35
NrA49	28	22	37
NrA50	28	27	37
NrA51	28	29	39
NrA52	29	28	39
NrA53	29	30	40
NrA54	30	24	32
NrA55	30	29	40
NrA56	30	36	40
NrA57	31	37	37
NrA58	32	38	32
NrA59	33	27	35
NrA60	33	34	40
NrA61	34	28	35
NrA62	34	35	36
NrA63	34	40	40
NrA64	35	34	36
NrA65	36	42	38
NrA66	37	31	37
NrA67	37	38	38
NrA68	38	32	32
NrA69	40	34	40
NrA70	41	35	36
NrA71	42	36	38

