Name:		CBMix18
Optimal value:	-1
#Vehicles:	-1
Capacity:	1828
Depot Node:	72
#Nodes:		117
#Edges:		0
#Arcs:		212
#Required N:	39
#Required E:	0
#Required A:	88

ReN.	DEMAND	S. COST
N1	472	472
N6	74	74
N8	379	379
N10	407	407
N12	96	96
N16	252	252
N18	480	480
N27	314	314
N29	324	324
N30	445	445
N33	417	417
N35	368	368
N39	109	109
N40	387	387
N41	428	428
N42	340	340
N43	340	340
N56	382	382
N57	175	175
N59	378	378
N62	410	410
N63	395	395
N69	375	375
N73	183	183
N74	106	106
N77	250	250
N80	476	476
N81	209	209
N88	168	168
N92	65	65
N99	283	283
N101	333	333
N104	96	96
N105	429	429
N107	395	395
N108	172	172
N109	147	147
N114	171	171
N116	278	278

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	2	15	20	289	309
A2	3	4	18	389	407
A3	6	7	20	64	84
A4	10	11	17	333	350
A5	13	26	21	158	179
A6	21	20	19	143	162
A7	22	9	22	134	156
A8	24	37	15	85	100
A9	25	24	21	48	69
A10	25	38	15	61	76
A11	26	25	19	100	119
A12	27	28	20	121	141
A13	27	40	25	28	53
A14	28	29	19	47	66
A15	30	31	15	281	296
A16	31	32	19	220	239
A17	33	20	14	289	303
A18	36	37	18	116	134
A19	37	38	17	389	406
A20	42	29	21	269	290
A21	42	41	18	346	364
A22	43	30	18	254	272
A23	43	42	19	70	89
A24	44	43	19	242	261
A25	45	44	21	377	398
A26	45	58	22	344	366
A27	47	46	19	291	310
A28	47	60	20	351	371
A29	49	62	13	72	85
A30	52	51	21	319	340
A31	54	41	20	351	371
A32	54	67	20	97	117
A33	55	68	21	226	247
A34	57	44	18	300	318
A35	57	70	16	326	342
A36	58	59	16	363	379
A37	58	71	15	227	242
A38	59	60	19	233	252
A39	60	61	20	66	86
A40	61	48	21	264	285
A41	61	62	18	242	260
A42	61	74	14	259	273
A43	62	75	24	341	365
A44	63	64	19	43	62
A45	64	51	20	317	337
A46	65	52	15	237	252
A47	65	78	24	135	159
A48	67	66	22	128	150
A49	68	67	16	48	64
A50	69	56	23	213	236
A51	69	68	19	24	43
A52	70	83	25	27	52
A53	74	73	18	179	197
A54	76	63	21	128	149
A55	76	75	21	280	301
A56	76	89	15	92	107
A57	77	76	14	222	236
A58	78	77	21	321	342
A59	79	80	19	169	188
A60	80	81	18	177	195
A61	81	82	19	342	361
A62	81	94	19	217	236
A63	82	83	20	48	68
A64	83	84	17	358	375
A65	83	96	12	128	140
A66	84	71	23	113	136
A67	85	86	16	40	56
A68	85	98	22	383	405
A69	87	88	19	143	162
A70	88	75	16	35	51
A71	88	89	19	145	164
A72	90	77	20	209	229
A73	90	91	21	397	418
A74	92	79	21	57	78
A75	93	80	16	136	152
A76	97	84	16	214	230
A77	97	96	17	198	215
A78	97	110	19	398	417
A79	98	97	20	125	145
A80	102	101	21	125	146
A81	104	103	19	391	410
A82	107	108	20	304	324
A83	110	111	21	189	210
A84	111	112	19	23	42
A85	113	114	17	146	163
A86	115	116	19	366	385
A87	116	117	19	301	320
A88	117	104	22	332	354

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	18
NrA2	2	3	22
NrA3	3	16	16
NrA4	4	5	17
NrA5	5	6	19
NrA6	6	19	18
