Name:		CBMix19
Optimal value:	-1
#Vehicles:	-1
Capacity:	1757
Depot Node:	1
#Nodes:		126
#Edges:		9
#Arcs:		293
#Required N:	61
#Required E:	9
#Required A:	142

ReN.	DEMAND	S. COST
N2	86	86
N3	405	405
N7	324	324
N12	373	373
N20	102	102
N23	324	324
N24	445	445
N26	417	417
N27	368	368
N29	292	292
N31	428	428
N33	340	340
N34	274	274
N37	271	271
N39	458	458
N42	444	444
N46	175	175
N47	75	75
N48	491	491
N49	447	447
N53	241	241
N54	431	431
N57	160	160
N59	409	409
N61	475	475
N62	209	209
N65	169	169
N68	275	275
N69	168	168
N70	280	280
N71	335	335
N72	349	349
N73	113	113
N75	253	253
N82	374	374
N84	294	294
N86	66	66
N88	56	56
N89	422	422
N90	75	75
N92	326	326
N93	279	279
N99	384	384
N102	371	371
N103	131	131
N105	319	319
N106	412	412
N107	54	54
N109	201	201
N110	79	79
N111	342	342
N113	171	171
N114	69	69
N115	461	461
N117	195	195
N118	107	107
N119	402	402
N120	429	429
N121	431	431
N122	491	491
N124	418	418

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	11	33	37	49	86
E2	22	32	19	347	366
E3	57	67	20	185	205
E4	75	87	17	523	540
E5	82	95	19	158	177
E6	96	109	22	115	137
E7	103	104	18	298	316
E8	109	122	17	541	558
E9	110	111	21	399	420

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	18	240	258
A2	2	14	20	225	245
A3	4	16	16	289	305
A4	5	6	19	389	408
A5	7	8	20	171	191
A6	7	20	32	31	63
A7	10	11	17	333	350
A8	11	12	18	356	374
A9	12	11	18	170	188
A10	14	13	19	293	312
A11	14	24	22	398	420
A12	15	14	20	270	290
A13	16	4	16	46	62
A14	17	5	15	168	183
A15	17	27	19	134	153
A16	18	6	20	236	256
A17	18	19	19	351	370
A18	19	7	20	24	44
A19	19	18	19	364	383
A20	20	8	22	245	267
A21	20	30	15	132	147
A22	22	21	39	296	335
A23	23	13	20	167	187
A24	23	24	19	236	255
A25	24	25	21	281	302
A26	25	26	19	220	239
A27	27	38	19	226	245
A28	28	27	20	116	136
A29	28	29	19	128	147
A30	31	20	23	348	371
A31	31	21	22	58	80
A32	31	30	15	302	317
A33	32	31	40	346	386
A34	33	32	19	70	89
A35	34	42	21	242	263
A36	37	25	24	246	270
A37	37	36	19	291	310
A38	39	29	21	303	324
A39	39	38	40	228	268
A40	40	32	19	72	91
