Name:		CBMix2
Optimal value:	-1
#Vehicles:	-1
Capacity:	1578
Depot Node:	1
#Nodes:		68
#Edges:		0
#Arcs:		246
#Required N:	36
#Required E:	0
#Required A:	149

ReN.	DEMAND	S. COST
N6	242	242
N7	170	170
N8	169	169
N9	394	394
N10	372	372
N11	237	237
N12	353	353
N13	404	404
N16	98	98
N19	257	257
N23	142	142
N27	229	229
N28	383	383
N29	231	231
N30	445	445
N36	340	340
N37	340	340
N39	271	271
N42	439	439
N43	151	151
N46	190	190
N48	61	61
N49	452	452
N50	449	449
N51	364	364
N56	261	261
N57	82	82
N58	264	264
N59	452	452
N60	447	447
N61	117	117
N62	100	100
N63	469	469
N64	335	335
N67	146	146
N68	183	183

ReE.	From N.	To N.	T. COST	DEMAND	S. COST

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	10	40	383	423
A2	2	1	38	41	79
A3	2	11	39	296	335
A4	3	2	39	268	307
A5	4	13	36	66	102
A6	5	4	18	366	384
A7	5	6	19	346	365
A8	5	14	34	231	265
A9	6	15	39	164	203
A10	7	6	19	227	246
A11	7	8	18	108	126
A12	7	16	39	295	334
A13	8	9	19	393	412
A14	8	17	38	241	279
A15	9	8	19	295	314
A16	10	1	40	242	282
A17	10	11	37	251	288
A18	11	2	39	121	160
A19	11	10	37	388	425
A20	12	19	18	321	339
A21	13	4	36	179	215
A22	13	12	20	164	184
A23	13	14	19	64	83
A24	14	21	18	21	39
A25	15	6	39	124	163
A26	15	14	20	232	252
A27	15	16	18	377	395
A28	16	7	39	251	290
A29	16	17	19	28	47
A30	16	23	21	102	123
A31	17	8	38	80	118
A32	17	16	19	358	377
A33	17	18	18	156	174
A34	18	17	18	65	83
A35	18	24	26	303	329
A36	18	25	21	74	95
A37	19	28	20	289	309
A38	20	21	20	296	316
A39	20	29	14	317	331
A40	21	14	18	64	82
A41	21	22	20	76	96
A42	21	30	20	331	351
A43	22	31	19	83	102
A44	23	32	23	49	72
A45	24	16	33	82	115
A46	24	17	24	290	314
A47	24	23	20	344	364
A48	24	25	21	293	314
A49	24	32	27	398	425
A50	24	33	14	331	345
A51	24	34	24	270	294
A52	25	18	21	383	404
A53	25	24	21	168	189
A54	26	10	41	60	101
A55	26	27	33	314	347
A56	26	35	24	134	158
A57	27	11	37	236	273
A58	27	28	40	351	391
A59	27	37	21	213	234
A60	28	29	19	48	67
A61	28	38	16	61	77
A62	28	39	25	55	80
A63	29	20	14	256	270
A64	29	28	19	296	315
A65	29	30	21	78	99
A66	30	21	20	236	256
A67	30	51	53	281	334
A68	31	30	15	220	235
A69	33	32	19	149	168
A70	33	34	21	286	307
A71	34	24	24	284	308
A72	34	25	15	389	404
A73	34	43	17	234	251
A74	35	26	24	126	150
A75	35	36	23	61	84
A76	35	44	18	38	56
A77	36	27	29	364	393
A78	36	35	23	338	361
A79	36	37	17	269	286
A80	36	44	28	346	374
A81	37	27	21	254	275
A82	37	36	17	70	87
A83	38	39	21	242	263
A84	38	47	21	224	245
A85	39	29	21	344	365
A86	39	40	21	247	268
A87	39	48	20	246	266
A88	39	49	27	291	318
A89	41	32	17	140	157
A90	41	42	19	190	209
A91	42	33	22	314	336
A92	42	41	19	236	255
A93	42	43	20	12	32
A94	43	53	22	262	284
A95	44	35	18	372	390
A96	44	45	19	226	245
