Name:		CBMix20
Optimal value:	-1
#Vehicles:	-1
Capacity:	1947
Depot Node:	1
#Nodes:		43
#Edges:		2
#Arcs:		129
#Required N:	38
#Required E:	2
#Required A:	33

ReN.	DEMAND	S. COST
N2	324	324
N4	232	232
N5	397	397
N6	251	251
N7	485	485
N8	428	428
N9	402	402
N10	296	296
N11	289	289
N12	298	298
N13	494	494
N15	394	394
N16	372	372
N17	410	410
N18	499	499
N19	61	61
N20	439	439
N21	349	349
N22	433	433
N23	186	186
N24	156	156
N25	452	452
N26	233	233
N27	405	405
N28	157	157
N29	421	421
N30	420	420
N31	144	144
N32	449	449
N33	468	468
N35	462	462
N36	462	462
N38	219	219
N39	229	229
N40	321	321
N41	334	334
N42	297	297
N43	324	324

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	2	12	39	102	141
E2	22	31	19	207	226

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	11	39	364	403
A2	2	1	37	65	102
A3	5	4	18	300	318
A4	5	6	19	209	228
A5	6	5	19	212	231
A6	6	16	35	93	128
A7	8	10	16	126	142
A8	11	12	36	390	426
A9	11	20	22	366	388
A10	15	14	20	113	133
A11	15	16	20	295	315
A12	19	18	18	321	339
A13	20	28	18	64	82
A14	22	23	19	21	40
A15	24	33	13	331	344
A16	25	26	20	294	314
A17	25	34	16	276	292
A18	26	18	17	156	173
A19	27	19	17	41	58
A20	29	28	39	280	319
A21	29	30	41	296	337
A22	30	31	36	31	67
A23	31	30	36	296	332
A24	33	24	13	49	62
A25	33	32	20	158	178
A26	33	34	39	247	286
A27	36	43	34	265	299
A28	37	28	35	168	203
A29	41	33	39	132	171
A30	41	40	39	100	139
A31	42	43	37	238	275
A32	43	36	34	47	81
A33	43	42	37	278	315

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	37
NrA2	2	3	40
NrA3	3	2	40
NrA4	3	4	38
NrA5	3	13	39
NrA6	4	3	38
NrA7	4	5	18
NrA8	4	14	38
NrA9	5	15	37
NrA10	6	7	37
NrA11	7	6	37
NrA12	7	8	39
NrA13	7	9	21
NrA14	9	7	21
NrA15	9	10	40
NrA16	9	17	17
NrA17	10	9	40
NrA18	10	19	22
NrA19	11	1	39
NrA20	12	11	36
NrA21	12	13	37
NrA22	12	21	17
NrA23	13	3	39
NrA24	13	12	37
NrA25	13	14	37
NrA26	13	30	38
NrA27	14	4	38
NrA28	14	13	37
NrA29	14	15	20
NrA30	14	22	22
NrA31	15	5	37
NrA32	15	23	16
NrA33	16	6	35
NrA34	16	15	20
NrA35	16	17	38
NrA36	16	24	26
NrA37	17	9	17
NrA38	17	16	38
NrA39	17	18	19
NrA40	17	25	23
NrA41	18	17	19
NrA42	18	19	18
NrA43	18	26	17
NrA44	19	27	17
NrA45	20	11	22
NrA46	20	21	39
NrA47	21	20	39
NrA48	21	29	19
NrA49	22	14	22
NrA50	23	15	16
NrA51	23	22	19
NrA52	23	24	21
NrA53	23	32	23
NrA54	24	16	26
NrA55	24	23	21
NrA56	25	17	23
NrA57	26	27	15
NrA58	26	35	23
NrA59	27	26	15
NrA60	27	36	23
NrA61	28	20	18
NrA62	28	29	39
NrA63	28	37	35
NrA64	28	38	52
NrA65	29	38	39
NrA66	30	13	38
NrA67	30	29	41
NrA68	30	39	37
NrA69	31	40	39
NrA70	32	23	23
NrA71	32	31	19
NrA72	32	33	20
NrA73	33	41	39
NrA74	34	25	16
NrA75	34	33	39
NrA76	34	35	17
NrA77	34	42	37
NrA78	35	26	23
NrA79	35	34	17
NrA80	35	36	21
NrA81	36	27	23
NrA82	36	35	21
NrA83	37	38	36
NrA84	38	28	52
NrA85	38	29	39
NrA86	38	37	36
NrA87	38	39	40
NrA88	39	30	37
NrA89	39	38	40
NrA90	39	40	39
NrA91	40	31	39
NrA92	40	39	39
NrA93	40	41	39
NrA94	41	42	39
NrA95	42	34	37
NrA96	42	41	39
-1
