Name:		CBMix21
Optimal value:	-1
#Vehicles:	-1
Capacity:	1616
Depot Node:	1
#Nodes:		60
#Edges:		68
#Arcs:		70
#Required N:	55
#Required E:	68
#Required A:	57

ReN.	DEMAND	S. COST
N2	485	485
N3	348	348
N4	185	185
N5	156	156
N6	242	242
N8	217	217
N9	182	182
N10	90	90
N11	277	277
N12	245	245
N13	315	315
N14	454	454
N15	469	469
N16	452	452
N17	298	298
N18	223	223
N19	404	404
N20	379	379
N21	407	407
N22	323	323
N24	480	480
N26	376	376
N27	94	94
N28	129	129
N29	179	179
N31	210	210
N32	340	340
N33	105	105
N34	123	123
N35	239	239
N36	318	318
N37	323	323
N38	389	389
N39	401	401
N40	135	135
N41	300	300
N42	437	437
N43	187	187
N44	140	140
N45	337	337
N46	445	445
N47	466	466
N48	302	302
N49	438	438
N50	245	245
N51	160	160
N52	250	250
N53	67	67
N54	82	82
N55	94	94
N56	301	301
N57	483	483
N58	85	85
N59	408	408
N60	221	221

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	38	396	434
E2	1	8	21	555	576
E3	2	9	20	496	516
E4	3	4	38	471	509
E5	4	5	38	390	428
E6	4	13	37	388	425
E7	5	6	36	415	451
E8	6	7	41	592	633
E9	6	15	39	292	331
E10	8	9	37	593	630
E11	9	11	17	59	76
E12	10	11	36	480	516
E13	11	18	41	129	170
E14	12	13	36	385	421
E15	13	14	39	294	333
E16	13	19	56	438	494
E17	13	20	44	407	451
E18	14	15	40	578	618
E19	14	22	39	377	416
E20	15	16	37	322	359
E21	17	26	39	579	618
E22	18	26	47	236	283
E23	19	20	37	661	698
E24	19	28	38	384	422
E25	20	21	19	418	437
E26	20	29	33	401	434
E27	21	22	20	539	559
E28	22	23	35	430	465
E29	23	32	42	471	513
E30	25	31	22	603	625
E31	26	34	19	672	691
E32	27	28	37	323	360
E33	28	29	37	603	640
E34	28	37	52	417	469
E35	28	38	34	411	445
E36	31	40	40	491	531
E37	32	41	37	612	649
E38	33	42	40	398	438
E39	34	35	37	626	663
E40	35	37	17	631	648
E41	36	37	36	561	597
E42	36	45	38	93	131
E43	37	43	16	400	416
E44	38	44	23	354	377
E45	39	40	37	84	121
E46	40	41	39	138	177
E47	40	49	38	282	320
E48	41	42	38	735	773
E49	43	44	36	223	259
E50	44	47	18	345	363
E51	45	46	37	395	432
E52	45	52	21	263	284
E53	46	47	36	614	650
E54	46	53	20	416	436
E55	47	48	37	279	316
E56	47	56	38	335	373
E57	48	49	35	409	444
E58	48	57	37	324	361
E59	49	50	41	611	652
E60	50	51	38	536	574
E61	50	59	36	428	464
E62	52	53	36	404	440
E63	52	54	17	331	348
E64	53	55	15	145	160
E65	54	55	45	526	571
E66	56	57	36	468	504
E67	57	58	39	365	404
E68	59	60	39	261	300

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	2	3	40	355	395
A2	3	2	40	126	166
A3	3	12	40	136	176
A4	5	14	35	346	381
A5	7	16	35	108	143
A6	8	10	16	393	409
A7	10	17	39	315	354
A8	12	3	40	323	363
A9	12	19	37	62	99
A10	14	5	35	372	407
A11	15	23	37	102	139
A12	16	24	45	276	321
A13	17	11	54	156	210
A14	18	19	38	317	355
A15	20	25	28	331	359
A16	22	31	36	170	206
A17	23	15	37	141	178
A18	23	24	40	198	238
A19	24	16	45	331	376
A20	24	23	40	270	310
A21	25	20	28	168	196
A22	25	21	23	311	334
A23	25	30	16	60	76
A24	26	27	35	313	348
A25	27	18	36	24	60
A26	27	26	35	364	399
A27	29	19	52	224	276
A28	29	30	20	248	268
A29	29	39	41	140	181
A30	30	29	20	199	219
A31	30	31	15	302	317
A32	31	22	36	337	373
A33	31	32	37	273	310
A34	32	31	37	276	313
A35	32	33	37	284	321
A36	33	24	32	234	266
A37	33	32	37	172	209
A38	34	36	22	338	360
A39	35	27	24	87	111
A40	36	34	22	258	280
A41	38	37	36	291	327
A42	38	39	37	351	388
A43	39	29	41	228	269
A44	39	48	40	267	307
A45	41	50	39	151	190
A46	42	51	36	229	265
A47	43	46	22	45	67
A48	46	43	22	354	376
A49	48	39	40	269	309
A50	49	58	39	27	66
A51	50	41	39	231	270
A52	51	42	36	59	95
A53	51	60	42	63	105
A54	55	56	34	206	240
A55	56	55	34	358	392
A56	58	59	37	127	164
A57	59	58	37	261	298

ARC	FROM N.	TO N.	T. COST
NrA1	11	12	36
NrA2	11	17	54
NrA3	12	11	36
NrA4	17	18	38
NrA5	18	17	38
NrA6	18	27	36
NrA7	19	18	38
NrA8	24	33	32
NrA9	30	25	16
NrA10	31	30	15
NrA11	39	38	37
NrA12	58	49	39
NrA13	60	51	42

