Name:		CBMix23
Optimal value:	780
#Vehicles:	-1
Capacity:	1437
Depot Node:	7
#Nodes:		11
#Edges:		2
#Arcs:		25
#Required N:	3
#Required E:	2
#Required A:	15

ReN.	DEMAND	S. COST
N3	302	302
N4	397	397
N10	156	156

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	5	25	287	312
E2	5	6	20	131	151

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	6	29	283	312
A2	2	1	19	321	340
A3	2	3	22	363	385
A4	2	6	20	12	32
A5	4	11	39	274	313
A6	5	8	18	130	148
A7	6	2	20	227	247
A8	6	7	20	115	135
A9	6	9	18	26	44
A10	7	6	20	215	235
A11	8	6	27	320	347
A12	9	10	22	244	266
A13	10	6	27	303	330
A14	10	7	18	351	369
A15	11	4	39	139	178

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	19
NrA2	3	4	38
NrA3	4	3	38
NrA4	6	3	32
NrA5	7	3	18
NrA6	7	10	18
NrA7	8	9	19
NrA8	9	8	19
NrA9	10	9	22
NrA10	11	10	36

