Name:		CBMix3
Optimal value:	-1
#Vehicles:	-1
Capacity:	1709
Depot Node:	1
#Nodes:		31
#Edges:		8
#Arcs:		80
#Required N:	16
#Required E:	8
#Required A:	55

ReN.	DEMAND	S. COST
N6	384	384
N10	74	74
N12	163	163
N14	379	379
N16	277	277
N17	353	353
N18	404	404
N19	433	433
N21	469	469
N22	452	452
N23	298	298
N25	361	361
N28	379	379
N29	407	407
N30	142	142
N31	468	468

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	4	10	17	574	591
E2	11	18	22	213	235
E3	13	19	20	601	621
E4	16	23	40	267	307
E5	18	24	41	18	59
E6	20	22	19	422	441
E7	21	26	21	398	419
E8	29	30	39	333	372

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	19	242	261
A2	2	1	19	87	106
A3	2	3	21	115	136
A4	2	8	20	26	46
A5	3	8	28	215	243
A6	4	5	18	320	338
A7	5	6	38	353	391
A8	6	5	38	268	306
A9	7	1	20	209	229
A10	7	14	20	179	199
A11	8	2	20	212	232
A12	8	3	28	387	415
A13	8	7	18	48	66
A14	8	9	19	236	255
A15	9	3	20	41	61
A16	9	16	16	296	312
A17	10	3	25	268	293
A18	10	11	18	224	242
A19	10	17	21	162	183
A20	11	5	17	217	234
A21	11	10	18	102	120
A22	12	11	17	164	181
A23	12	13	20	156	176
A24	12	19	26	79	105
A25	13	12	20	295	315
A26	14	8	28	393	421
A27	14	15	20	241	261
A28	14	21	35	363	398
A29	15	14	20	124	144
A30	15	16	19	306	325
A31	15	20	21	315	336
A32	16	9	16	373	389
A33	16	15	19	174	193
A34	17	10	21	323	344
A35	17	18	18	321	339
A36	18	10	28	179	207
A37	18	19	38	64	102
A38	19	12	26	290	316
A39	19	18	38	21	59
A40	19	25	43	207	250
A41	20	15	21	34	55
A42	21	20	24	28	52
A43	22	21	20	276	296
A44	23	24	40	323	363
A45	24	25	40	317	357
A46	25	19	43	160	203
A47	25	24	40	189	229
A48	26	27	34	317	351
A49	27	23	18	64	82
A50	27	29	18	76	94
A51	28	29	39	354	393
A52	29	28	39	342	381
A53	30	31	34	49	83
A54	31	25	36	82	118
A55	31	30	34	290	324

ARC	FROM N.	TO N.	T. COST
NrA1	1	7	20
NrA2	3	4	17
NrA3	3	9	20
NrA4	5	4	18
NrA5	6	13	16
NrA6	8	14	28
NrA7	8	15	19
NrA8	9	8	19
NrA9	10	9	22
NrA10	10	18	28
NrA11	12	5	23
NrA12	15	8	19
NrA13	16	17	19
NrA14	16	20	31
NrA15	17	16	19
NrA16	20	16	31
NrA17	20	21	24
NrA18	21	14	35
NrA19	23	22	19
NrA20	24	23	40
NrA21	24	30	32
NrA22	25	31	36
NrA23	27	26	34
NrA24	28	26	22
NrA25	30	24	32

