Name:		CBMix4
Optimal value:	-1
#Vehicles:	-1
Capacity:	1474
Depot Node:	1
#Nodes:		53
#Edges:		75
#Arcs:		36
#Required N:	10
#Required E:	75
#Required A:	13

ReN.	DEMAND	S. COST
N6	489	489
N17	277	277
N25	407	407
N29	344	344
N32	109	109
N33	129	129
N35	269	269
N39	340	340
N45	439	439
N50	140	140

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	10	19	215	234
E2	1	11	28	528	556
E3	2	3	21	260	281
E4	3	4	36	623	659
E5	3	12	21	306	327
E6	4	5	36	262	298
E7	5	6	37	321	358
E8	5	14	17	397	414
E9	6	7	20	528	548
E10	7	25	41	231	272
E11	9	16	16	101	117
E12	10	11	18	658	676
E13	10	17	21	580	601
E14	11	18	21	37	58
E15	11	19	27	559	586
E16	12	13	39	289	328
E17	12	19	20	121	141
E18	13	20	24	439	463
E19	14	22	21	638	659
E20	15	16	39	19	58
E21	16	28	25	342	367
E22	17	18	19	274	293
E23	17	29	17	624	641
E24	18	19	18	28	46
E25	19	20	41	138	179
E26	19	31	21	236	257
E27	20	32	27	543	570
E28	20	33	14	378	392
E29	21	34	19	224	243
E30	22	23	19	389	408
E31	22	36	25	591	616
E32	23	24	19	349	368
E33	23	36	21	683	704
E34	24	37	15	302	317
E35	24	38	22	331	353
E36	25	38	15	553	568
E37	26	27	14	70	84
E38	26	39	20	522	542
E39	27	28	20	372	392
E40	27	40	25	414	439
E41	28	41	19	331	350
E42	29	30	22	551	573
E43	29	42	22	168	190
E44	30	31	15	313	328
E45	30	43	19	336	355
E46	31	44	21	433	454
E47	32	33	19	593	612
E48	32	44	25	435	460
E49	33	34	21	240	261
E50	33	45	21	401	422
E51	34	35	17	278	295
E52	34	46	19	332	351
E53	35	36	23	110	133
E54	36	37	18	695	713
E55	36	48	17	125	142
E56	36	49	26	643	669
E57	37	38	18	40	58
E58	37	49	20	297	317
E59	38	39	21	464	485
E60	38	50	24	163	187
E61	38	51	27	131	158
E62	39	40	19	352	371
E63	39	51	18	400	418
E64	40	41	20	650	670
E65	40	52	20	261	281
E66	40	53	25	224	249
E67	41	53	20	387	407
E68	42	43	19	337	356
E69	43	44	18	303	321
E70	44	45	40	50	90
E71	46	47	19	97	116
E72	48	49	17	229	246
E73	50	51	19	212	231
E74	51	52	20	704	724
E75	52	53	18	43	61

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	7	8	19	346	365
A2	9	8	36	244	280
A3	11	2	18	241	259
A4	12	11	17	315	332
A5	20	21	20	36	56
A6	21	22	20	41	61
A7	25	24	21	165	186
A8	35	22	19	281	300
A9	40	26	29	254	283
A10	46	45	19	223	242
A11	47	48	19	226	245
A12	49	50	21	227	248
A13	50	49	21	112	133

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	19
NrA2	2	1	19
NrA3	2	11	18
NrA4	4	13	18
NrA5	8	9	36
NrA6	8	15	19
NrA7	13	4	18
NrA8	13	14	38
NrA9	14	13	38
NrA10	15	26	17
NrA11	18	30	17
NrA12	22	21	20
NrA13	24	6	41
NrA14	24	25	21
NrA15	25	26	20
NrA16	26	15	17
NrA17	26	25	20
NrA18	30	18	17
NrA19	31	32	19
NrA20	32	31	19
NrA21	45	46	19
NrA22	47	35	17
NrA23	48	47	19

