Name:		CBMix5
Optimal value:	-1
#Vehicles:	-1
Capacity:	1888
Depot Node:	1
#Nodes:		32
#Edges:		4
#Arcs:		57
#Required N:	23
#Required E:	4
#Required A:	38

ReN.	DEMAND	S. COST
N2	114	114
N3	408	408
N4	320	320
N5	387	387
N6	384	384
N7	237	237
N8	485	485
N12	185	185
N13	74	74
N14	378	378
N15	298	298
N17	170	170
N18	379	379
N19	296	296
N21	486	486
N22	499	499
N23	245	245
N24	404	404
N25	311	311
N27	454	454
N28	111	111
N30	452	452
N31	474	474

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	17	18	37	241	278
E2	19	27	35	34	69
E3	27	28	38	128	166
E4	28	29	38	346	384

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	19	187	206
A2	3	4	36	353	389
A3	6	12	37	351	388
A4	7	1	38	209	247
A5	7	13	37	179	216
A6	8	7	18	76	94
A7	9	8	18	48	66
A8	9	14	37	236	273
A9	10	4	37	383	420
A10	10	16	37	126	163
A11	11	5	37	296	333
A12	11	10	37	148	185
A13	11	12	37	315	352
A14	12	11	37	224	261
A15	13	14	38	390	428
A16	14	15	21	217	238
A17	14	20	43	102	145
A18	16	10	37	177	214
A19	16	17	38	227	265
A20	16	22	42	108	150
A21	18	12	40	393	433
A22	18	25	38	363	401
A23	20	19	38	315	353
A24	20	28	37	289	326
A25	21	20	20	174	194
A26	22	23	18	207	225
A27	22	29	35	323	358
A28	23	22	18	321	339
A29	23	26	19	62	81
A30	24	17	44	164	208
A31	24	23	20	64	84
A32	25	24	40	290	330
A33	26	22	26	78	104
A34	26	31	24	124	148
A35	29	30	21	196	217
A36	30	26	19	294	313
A37	30	31	15	276	291
A38	31	32	37	156	193

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	20
NrA2	2	8	38
NrA3	3	9	40
NrA4	4	3	36
NrA5	4	5	38
NrA6	4	11	55
NrA7	5	6	39
NrA8	10	9	40
NrA9	11	17	38
NrA10	15	16	18
NrA11	15	21	33
NrA12	18	11	57
NrA13	19	13	38
NrA14	20	14	43
NrA15	22	16	42
NrA16	22	21	20
NrA17	24	31	37
NrA18	26	23	19
NrA19	32	25	38

