Name:		CBMix6
Optimal value:	-1
#Vehicles:	-1
Capacity:	1817
Depot Node:	1
#Nodes:		49
#Edges:		4
#Arcs:		92
#Required N:	40
#Required E:	4
#Required A:	64

ReN.	DEMAND	S. COST
N2	393	393
N3	448	448
N4	86	86
N6	150	150
N7	377	377
N9	95	95
N10	242	242
N11	271	271
N12	378	378
N14	379	379
N15	212	212
N16	470	470
N17	237	237
N18	499	499
N19	245	245
N20	404	404
N21	433	433
N22	454	454
N23	469	469
N24	452	452
N25	370	370
N26	124	124
N27	257	257
N28	361	361
N30	342	342
N32	369	369
N33	463	463
N34	133	133
N35	468	468
N36	252	252
N37	122	122
N39	204	204
N40	170	170
N41	399	399
N43	377	377
N44	174	174
N46	354	354
N47	73	73
N48	445	445
N49	269	269

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	23	35	43	392	435
E2	27	33	18	372	390
E3	38	39	20	367	387
E4	40	45	16	555	571

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	19	209	228
A2	2	3	21	310	331
A3	2	11	18	212	230
A4	3	4	38	93	131
A5	3	12	19	243	262
A6	4	3	38	383	421
A7	6	14	18	148	166
A8	7	8	19	397	416
A9	7	16	27	247	274
A10	8	9	19	66	85
A11	8	16	16	30	46
A12	9	8	19	346	365
A13	9	17	17	231	248
A14	10	1	20	365	385
A15	10	18	24	164	188
A16	11	10	17	227	244
A17	13	5	15	311	326
A18	13	22	24	131	155
A19	14	13	20	241	261
A20	14	23	17	363	380
A21	15	24	21	242	263
A22	16	15	20	289	309
A23	16	25	26	121	147
A24	16	26	31	388	419
A25	19	11	19	321	340
A26	19	20	20	62	82
A27	20	12	24	164	188
A28	20	19	20	64	84
A29	21	4	38	290	328
A30	21	5	51	290	341
A31	21	20	39	21	60
A32	21	27	20	207	227
A33	22	21	38	34	72
A34	23	14	17	128	145
A35	23	22	19	346	365
A36	23	24	20	28	48
A37	24	25	20	294	314
A38	24	36	36	276	312
A39	25	16	26	156	182
A40	26	16	31	225	256
A41	26	17	19	18	37
A42	27	21	20	376	396
A43	29	30	22	296	318
A44	30	42	40	171	211
A45	31	32	21	31	52
A46	31	38	15	206	221
A47	32	39	17	296	313
A48	33	40	25	319	344
A49	34	33	40	49	89
A50	34	35	17	158	175
A51	36	35	23	344	367
A52	36	48	37	293	330
A53	39	32	17	46	63
A54	39	40	21	60	81
A55	43	42	20	24	44
A56	43	44	18	364	382
A57	44	39	22	48	70
A58	44	45	20	61	81
A59	46	34	39	193	232
A60	46	47	19	78	97
A61	47	35	36	75	111
A62	47	46	19	18	37
A63	48	47	19	324	343
A64	48	49	36	281	317

ARC	FROM N.	TO N.	T. COST
NrA1	4	5	37
NrA2	5	6	19
NrA3	6	7	20
NrA4	12	11	17
NrA5	15	7	21
NrA6	15	14	19
NrA7	16	8	16
NrA8	17	16	20
NrA9	18	19	18
NrA10	18	29	34
NrA11	20	31	38
NrA12	22	28	18
NrA13	25	26	20
NrA14	26	37	40
NrA15	27	28	40
NrA16	28	34	16
NrA17	30	31	15
NrA18	32	33	20
NrA19	34	28	16
NrA20	37	36	39
NrA21	37	49	38
NrA22	38	43	18
NrA23	40	39	21
NrA24	41	29	41
NrA25	42	41	19
NrA26	43	38	18
NrA27	46	45	37
NrA28	49	37	38

