Name:		CBMix7
Optimal value:	-1
#Vehicles:	-1
Capacity:	1989
Depot Node:	1
#Nodes:		75
#Edges:		8
#Arcs:		150
#Required N:	54
#Required E:	8
#Required A:	106

ReN.	DEMAND	S. COST
N2	394	394
N3	356	356
N4	217	217
N5	410	410
N6	499	499
N7	245	245
N8	100	100
N10	311	311
N12	474	474
N13	111	111
N15	80	80
N17	51	51
N21	342	342
N24	407	407
N25	133	133
N26	267	267
N27	421	421
N31	271	271
N32	377	377
N33	71	71
N34	231	231
N35	359	359
N36	179	179
N39	327	327
N43	123	123
N44	183	183
N45	257	257
N46	274	274
N47	385	385
N48	258	258
N49	409	409
N50	447	447
N51	286	286
N54	151	151
N55	428	428
N56	406	406
N57	457	457
N58	378	378
N59	146	146
N60	337	337
N61	410	410
N62	463	463
N63	422	422
N64	390	390
N65	158	158
N67	351	351
N68	72	72
N69	391	391
N70	79	79
N71	246	246
N72	233	233
N73	343	343
N74	82	82
N75	289	289

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	3	4	17	242	259
E2	11	12	16	34	50
E3	29	30	22	296	318
E4	33	42	22	429	451
E5	37	38	18	220	238
E6	47	48	20	591	611
E7	49	50	22	190	212
E8	66	67	24	300	324

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	19	86	105
A2	2	3	22	295	317
A3	3	12	20	251	271
A4	4	5	19	121	140
A5	5	6	20	374	394
A6	6	7	20	207	227
A7	6	15	20	323	343
A8	7	8	18	321	339
A9	7	16	18	62	80
A10	8	9	20	164	184
A11	10	19	22	290	312
A12	11	10	18	78	96
A13	11	20	22	124	146
A14	13	12	20	128	148
A15	13	14	19	346	365
A16	14	13	19	196	215
A17	15	6	20	294	314
A18	15	14	20	276	296
A19	16	15	19	378	397
A20	17	8	17	65	82
A21	17	16	18	303	321
A22	17	18	20	74	94
A23	19	10	22	289	311
A24	19	20	20	102	122
A25	20	19	20	285	305
A26	21	22	21	171	192
A27	22	13	25	31	56
A28	22	23	18	206	224
A29	23	24	21	296	317
A30	24	25	20	333	353
A31	25	26	20	49	69
A32	25	34	16	158	174
A33	26	17	20	290	310
A34	26	35	23	344	367
A35	27	18	16	185	201
A36	28	19	22	270	292
A37	29	20	14	46	60
A38	29	38	19	314	333
A39	30	21	20	256	276
A40	32	23	23	165	188
A41	33	23	25	48	73
A42	33	24	13	61	74
A43	33	32	19	55	74
A44	33	43	29	296	325
A45	34	33	20	274	294
A46	35	34	16	236	252
A47	36	35	21	248	269
A48	36	45	18	140	158
A49	39	31	25	110	135
A50	39	40	20	369	389
A51	40	31	21	144	165
A52	40	41	19	58	77
A53	41	32	18	116	134
A54	41	42	19	128	147
A55	42	43	20	395	415
A56	42	51	18	126	144
A57	43	33	29	58	87
A58	43	34	18	302	320
A59	43	42	20	364	384
A60	43	44	19	338	357
A61	44	35	19	87	106
A62	44	45	20	262	282
A63	45	60	41	174	215
A64	46	37	19	261	280
A65	46	53	22	242	264
A66	48	55	17	246	263
A67	49	48	18	202	220
A68	49	56	17	50	67
A69	50	41	20	140	160
A70	51	50	19	38	57
A71	52	43	24	335	359
A72	52	51	21	319	340
A73	54	47	20	351	371
A74	54	55	23	262	285
A75	55	54	23	372	395
A76	55	63	21	226	247
A77	56	49	17	298	315
A78	56	57	19	300	319
A79	57	50	17	326	343
A80	57	58	18	76	94
A81	58	51	22	227	249
A82	58	59	17	267	284
A83	58	66	14	233	247
A84	59	52	18	66	84
A85	60	45	41	54	95
A86	60	59	37	59	96
A87	61	53	21	354	375
A88	61	68	15	341	356
A89	62	54	15	43	58
A90	62	69	27	317	344
A91	63	70	15	190	205
A92	64	56	18	371	389
A93	64	70	25	102	127
A94	65	57	17	48	65
A95	65	64	19	65	84
A96	65	72	18	60	78
A97	66	65	17	340	357
A98	68	69	19	126	145
A99	69	62	27	226	253
A100	69	70	19	291	310
A101	70	71	21	128	149
A102	71	64	18	117	135
A103	72	73	18	184	202
A104	73	66	23	113	136
A105	73	74	17	193	210
A106	74	67	15	177	192

ARC	FROM N.	TO N.	T. COST
NrA1	2	11	18
NrA2	9	18	20
NrA3	10	1	19
NrA4	13	4	18
NrA5	14	5	16
NrA6	15	24	20
NrA7	16	25	25
NrA8	18	17	20
NrA9	20	21	19
NrA10	21	12	18
NrA11	23	14	19
NrA12	23	31	30
NrA13	25	16	25
NrA14	25	24	20
NrA15	26	27	14
NrA16	27	36	23
NrA17	28	29	19
NrA18	28	37	17
NrA19	29	28	19
NrA20	31	22	19
NrA21	31	30	15
NrA22	31	39	25
NrA23	32	31	19
NrA24	33	34	20
NrA25	38	39	20
NrA26	39	30	19
NrA27	39	48	19
NrA28	40	49	18
NrA29	46	47	19
NrA30	47	38	21
NrA31	47	46	19
NrA32	53	54	16
NrA33	55	56	17
NrA34	59	58	17
NrA35	62	61	19
NrA36	63	62	19
NrA37	64	57	25
NrA38	64	63	19
NrA39	67	59	19
NrA40	68	61	15
NrA41	71	72	17
NrA42	74	73	17
NrA43	74	75	39
NrA44	75	60	40

