Name:		CBMix8
Optimal value:	-1
#Vehicles:	-1
Capacity:	1724
Depot Node:	1
#Nodes:		77
#Edges:		6
#Arcs:		162
#Required N:	63
#Required E:	6
#Required A:	108

ReN.	DEMAND	S. COST
N2	90	90
N3	486	486
N4	237	237
N5	411	411
N6	353	353
N7	100	100
N10	175	175
N12	111	111
N13	156	156
N14	131	131
N15	370	370
N16	124	124
N17	223	223
N18	361	361
N19	276	276
N20	379	379
N21	463	463
N22	142	142
N23	468	468
N24	252	252
N25	462	462
N27	361	361
N28	443	443
N30	136	136
N31	178	178
N32	231	231
N33	200	200
N34	269	269
N35	417	417
N36	105	105
N37	367	367
N38	309	309
N40	139	139
N41	239	239
N42	471	471
N45	374	374
N46	253	253
N48	425	425
N50	468	468
N51	428	428
N53	90	90
N54	156	156
N55	140	140
N56	115	115
N57	410	410
N59	115	115
N60	449	449
N61	364	364
N63	305	305
N64	60	60
N65	391	391
N66	79	79
N67	250	250
N68	261	261
N69	243	243
N70	82	82
N71	289	289
N72	277	277
N73	452	452
N74	357	357
N75	180	180
N76	481	481
N77	431	431

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	23	34	20	643	663
E2	31	42	19	514	533
E3	45	56	19	151	170
E4	56	67	19	381	400
E5	67	68	16	543	559
E6	73	74	18	255	273

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	1	2	20	308	328
A2	2	3	21	306	327
A3	2	13	17	315	332
A4	3	14	20	174	194
A5	6	17	16	321	337
A6	7	8	18	179	197
A7	7	18	24	164	188
A8	8	19	19	317	336
A9	9	19	28	290	318
A10	9	20	22	21	43
A11	10	9	21	124	145
A12	10	11	18	232	250
A13	12	1	22	128	150
A14	12	23	18	346	364
A15	14	25	22	294	316
A16	15	4	21	358	379
A17	15	14	19	156	175
A18	16	5	15	225	240
A19	16	15	18	18	36
A20	17	6	16	376	392
A21	18	17	19	189	208
A22	19	7	28	296	324
A23	19	9	28	317	345
A24	19	18	19	171	190
A25	19	29	25	376	401
A26	19	31	26	76	102
A27	21	20	20	83	103
A28	21	32	24	319	343
A29	22	21	20	49	69
A30	23	24	20	82	102
A31	24	13	25	344	369
A32	24	25	21	293	314
A33	25	36	18	270	288
A34	26	27	15	168	183
A35	26	37	19	311	330
A36	27	16	20	168	188
A37	27	38	20	134	154
A38	28	17	21	342	363
A39	29	30	22	213	235
A40	29	39	26	85	111
A41	30	31	16	48	64
A42	31	20	18	118	136
A43	31	32	19	299	318
A44	32	33	20	28	48
A45	32	43	14	274	288
A46	33	22	14	236	250
A47	33	32	20	30	50
A48	33	44	23	324	347
A49	35	24	18	302	320
A50	35	34	18	360	378
A51	35	36	23	110	133
A52	35	46	17	369	386
A53	36	35	23	317	340
A54	36	47	18	149	167
A55	37	38	18	40	58
A56	38	27	20	389	409
A57	38	37	18	173	191
A58	39	28	17	348	365
A59	39	29	26	58	84
A60	39	49	29	302	331
A61	39	50	23	364	387
A62	40	51	14	269	283
A63	41	30	21	262	283
A64	41	40	20	254	274
A65	42	41	18	217	235
A66	43	32	14	168	182
A67	43	42	20	380	400
A68	45	46	19	334	353
A69	46	47	18	351	369
A70	47	46	18	303	321
A71	47	48	19	228	247
A72	47	58	20	72	92
A73	48	37	19	38	57
A74	48	59	22	218	240
A75	49	38	23	319	342
A76	49	48	18	347	365
A77	49	60	20	84	104
A78	50	49	20	262	282
A79	50	51	18	262	280
A80	51	62	16	226	242
A81	52	41	22	298	320
A82	52	51	21	300	321
A83	53	54	16	76	92
A84	54	55	25	131	156
A85	55	44	14	112	126
A86	55	66	20	153	173
A87	57	46	20	203	223
A88	57	68	17	341	358
A89	58	57	19	43	62
A90	60	59	19	332	351
A91	60	61	20	371	391
A92	61	50	19	102	121
A93	61	72	15	48	63
A94	61	73	25	65	90
A95	62	51	16	104	120
A96	62	63	20	340	360
A97	62	73	24	27	51
A98	64	63	19	271	290
A99	65	54	17	29	46
A100	65	64	19	226	245
A101	65	76	20	291	311
A102	66	65	17	128	145
A103	68	69	19	72	91
A104	69	70	20	25	45
A105	72	71	16	15	31
A106	73	72	18	325	343
A107	74	63	16	128	144
A108	77	66	23	243	266

ARC	FROM N.	TO N.	T. COST
NrA1	3	4	18
NrA2	4	3	18
NrA3	4	5	18
NrA4	5	6	19
NrA5	6	7	20
NrA6	8	9	18
NrA7	9	10	21
NrA8	11	22	24
NrA9	13	12	18
NrA10	14	13	19
NrA11	15	26	18
NrA12	16	17	20
NrA13	17	16	20
NrA14	18	29	15
NrA15	20	19	21
NrA16	20	31	18
NrA17	21	10	20
NrA18	22	11	24
NrA19	25	24	21
NrA20	25	26	19
NrA21	26	15	18
NrA22	27	28	19
NrA23	28	29	19
NrA24	29	19	25
NrA25	30	19	18
NrA26	34	45	21
NrA27	37	36	18
NrA28	39	27	30
NrA29	40	29	24
NrA30	43	54	22
NrA31	44	33	23
NrA32	44	43	18
NrA33	47	57	27
NrA34	51	39	25
NrA35	52	53	18
NrA36	53	42	20
NrA37	53	64	16
NrA38	57	47	27
NrA39	57	56	18
NrA40	58	69	20
NrA41	59	48	22
NrA42	59	58	17
NrA43	59	60	19
NrA44	61	49	29
NrA45	61	62	19
NrA46	63	52	16
NrA47	64	75	23
NrA48	67	57	25
NrA49	70	59	13
NrA50	70	71	20
NrA51	71	60	15
NrA52	75	74	22
NrA53	75	76	22
NrA54	76	77	14

