Name:		CBMix9
Optimal value:	-1
#Vehicles:	-1
Capacity:	1542
Depot Node:	1
#Nodes:		29
#Edges:		39
#Arcs:		8
#Required N:	6
#Required E:	39
#Required A:	5

ReN.	DEMAND	S. COST
N3	458	458
N11	74	74
N14	190	190
N15	417	417
N22	186	186
N24	80	80

ReE.	From N.	To N.	T. COST	DEMAND	S. COST
E1	1	2	39	634	673
E2	1	6	44	531	575
E3	2	3	40	449	489
E4	2	7	36	334	370
E5	3	4	17	177	194
E6	3	8	38	203	241
E7	4	5	17	450	467
E8	4	9	40	721	761
E9	5	10	35	148	183
E10	6	7	40	302	342
E11	6	11	37	392	429
E12	7	8	37	310	347
E13	8	9	18	48	66
E14	9	10	20	441	461
E15	9	14	39	237	276
E16	10	15	42	154	196
E17	11	18	39	322	361
E18	12	13	40	266	306
E19	12	16	17	173	190
E20	13	14	19	324	343
E21	13	17	19	452	471
E22	14	15	19	411	430
E23	15	22	41	329	370
E24	16	17	39	480	519
E25	16	19	21	396	417
E26	18	19	36	480	516
E27	18	23	16	669	685
E28	19	20	20	535	555
E29	19	24	24	216	240
E30	20	21	20	689	709
E31	20	27	34	300	334
E32	21	28	39	226	265
E33	22	29	34	683	717
E34	23	24	38	108	146
E35	23	25	24	480	504
E36	24	26	15	526	541
E37	26	27	14	396	410
E38	27	28	21	440	461
E39	28	29	38	360	398

EDGE	FROM N.	TO N.	T. COST

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A1	8	13	35	236	271
A2	11	12	37	162	199
A3	12	7	41	217	258
A4	21	17	18	240	258
A5	26	25	39	41	80

ARC	FROM N.	TO N.	T. COST
NrA1	13	7	50
NrA2	17	21	18
NrA3	22	21	38

