Name:		DI-NEARP-n833-Q16k
Optimal value:	-1
#Vehicles:	-1
Capacity:	16000
Depot Node:	350
#Nodes:		1120
#Edges:		1450
#Arcs:		0
#Required N:	347
#Required E:	486
#Required A:	0

ReN.	DEMAND	S. COST
N1	12	12
N2	14	14
N3	37	37
N4	1	1
N5	7	7
N6	7	7
N7	35	35
N8	14	14
N9	12	12
N10	1	1
N11	7	7
N12	14	14
N13	14	14
N14	7	7
N15	7	7
N16	1	1
N17	12	12
N18	1	1
N19	12	12
N20	7	7
N21	1	1
N22	7	7
N23	7	7
N24	7	7
N25	7	7
N26	14	14
N27	41	41
N28	14	14
N29	12	12
N30	7	7
N31	7	7
N32	81	81
N33	25	25
N34	30	30
N35	14	14
N36	1	1
N37	1	1
N38	32	32
N39	1	1
N40	14	14
N41	33	33
N42	37	37
N43	14	14
N44	20	20
N45	7	7
N46	7	7
N47	1	1
N48	27	27
N49	49	49
N50	14	14
N51	59	59
N52	37	37
N53	19	19
N54	25	25
N55	24	24
N56	30	30
N57	14	14
N58	27	27
N59	14	14
N60	54	54
N61	7	7
N62	1	1
N63	14	14
N64	1	1
N65	19	19
N66	51	51
N67	1	1
N68	59	59
N69	32	32
N70	25	25
N71	85	85
N72	12	12
N73	14	14
N74	19	19
N75	24	24
N76	24	24
N77	14	14
N78	41	41
N79	12	12
N80	30	30
N81	14	14
N82	35	35
N83	20	20
N84	12	12
N85	1	1
N86	53	53
N87	1	1
N88	17	17
N89	66	66
N90	7	7
N91	1	1
N92	19	19
N93	1	1
N94	1	1
N95	7	7
N96	1	1
N97	12	12
N98	1	1
N99	7	7
N100	14	14
N101	48	48
N102	7	7
N103	1	1
N104	20	20
N105	30	30
N106	20	20
N107	14	14
N108	7	7
N109	14	14
N110	44	44
N111	14	14
N112	30	30
N113	14	14
N114	419	419
N115	27	27
N116	1	1
N117	14	14
N118	7	7
N119	12	12
N120	64	64
N121	37	37
N122	14	14
N123	7	7
N124	27	27
N125	19	19
N126	19	19
N127	7	7
N128	7	7
N129	1	1
N130	7	7
N131	20	20
N132	1	1
N133	7	7
N134	17	17
N135	14	14
N136	57	57
N137	12	12
N138	186	186
N139	1	1
N140	31	31
N141	24	24
N142	1	1
N143	30	30
N144	7	7
N145	167	167
N146	1	1
N147	1	1
N148	7	7
N149	24	24
N150	14	14
N151	46	46
N152	56	56
N153	56	56
N154	19	19
N155	7	7
N156	1	1
N157	1	1
N158	7	7
N159	20	20
N160	14	14
N161	14	14
N162	19	19
N163	7	7
N164	1	1
N165	7	7
N166	7	7
N167	27	27
N168	1	1
N169	25	25
N170	14	14
N171	19	19
N172	19	19
N173	1	1
N174	7	7
N175	1	1
N176	7	7
N177	14	14
N178	14	14
N179	7	7
N180	25	25
N181	7	7
N182	12	12
N183	31	31
N184	352	352
N185	1	1
N186	37	37
N187	7	7
N188	7	7
N189	7	7
N190	7	7
N191	25	25
N192	19	19
N193	20	20
N194	32	32
N195	44	44
N196	20	20
N197	21	21
N198	14	14
N199	7	7
N200	54	54
N201	19	19
N202	14	14
N203	20	20
N204	14	14
N205	7	7
N206	7	7
N207	19	19
N208	14	14
N209	14	14
N210	14	14
N211	7	7
N212	7	7
N213	1	1
N214	1	1
N215	30	30
N216	14	14
N217	7	7
N218	12	12
N219	1	1
N220	7	7
N221	14	14
N222	32	32
N223	7	7
N224	25	25
N225	20	20
N226	1	1
N227	19	19
N228	7	7
N229	1	1
N230	20	20
N231	12	12
N232	14	14
N233	32	32
N234	7	7
N235	7	7
N236	25	25
N237	61	61
N238	1	1
N239	34	34
N240	509	509
N241	7	7
N242	1	1
N243	7	7
N244	19	19
N245	7	7
N246	12	12
N247	7	7
N248	58	58
N249	41	41
N250	41	41
N251	7	7
N252	14	14
N253	1	1
N254	7	7
N255	14	14
N256	30	30
N257	19	19
N258	1	1
N259	27	27
N260	17	17
N261	54	54
N262	51	51
N263	25	25
N264	14	14
N265	1	1
N266	30	30
N267	34	34
N268	12	12
N269	1	1
N270	7	7
N271	12	12
N272	1	1
N273	19	19
N274	7	7
N275	1	1
N276	1	1
N277	7	7
N278	7	7
N279	7	7
N280	22	22
N281	1	1
N282	17	17
N283	1	1
N284	1	1
N285	1	1
N286	7	7
N287	50	50
N288	17	17
N289	9	9
N290	22	22
N291	179	179
N292	484	484
N293	117	117
N294	32	32
N295	48	48
N296	21	21
N297	126	126
N298	46	46
N299	12	12
N300	38	38
N301	60	60
N302	690	690
N303	54	54
N304	46	46
N305	16	16
N306	23	23
N307	30	30
N308	9	9
N309	31	31
N310	18	18
N311	32	32
N312	55	55
N313	49	49
N314	32	32
N315	5	5
N316	22	22
