Name:		mggdb_0.25_11
Optimal value:	-1
#Vehicles:	5
Capacity:	50
Depot Node:	1
#Nodes:		22
#Edges:		11
#Arcs:		68
#Required N:	8
#Required E:	8
#Required A:	25

ReN.	DEMAND	S. COST
N2	15	15
N7	11	11
N8	2	2
N9	10	10
N11	9	9
N13	2	2
N15	3	3
N20	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E4	11	16	2	2	2
E5	4	11	17	4	4
E6	19	20	6	2	2
E7	5	1	9	9	9
E8	7	4	11	5	5
E9	3	21	2	1	1
E10	5	14	2	3	3
E11	1	8	9	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	1	11	12
NrE2	8	12	5
NrE3	2	22	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	2	4	18	5	5
A11	10	18	2	8	8
A12	18	19	19	3	3
A13	3	8	18	6	6
A14	6	15	2	2	2
A15	14	15	15	9	9
A16	3	9	6	5	5
A17	6	11	3	5	5
A18	8	20	2	8	8
A19	12	17	2	9	9
A20	16	17	7	6	6
A21	17	18	2	8	8
A22	13	14	5	7	7
A23	21	22	15	7	7
A24	2	5	8	4	4
A25	2	3	15	1	1
A26	5	6	15	4	4
A27	1	9	4	6	6
A28	7	13	2	1	1
A29	10	12	2	7	7
A30	8	9	14	9	9
A31	4	6	10	5	5
A32	4	1	7	7	7
A33	1	10	13	1	1
A34	3	4	8	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	7	2	6
NrA2	15	16	3
NrA3	9	10	19
NrA4	20	21	6
NrA5	7	5	5
NrA6	13	22	6
NrA7	2	1	11
NrA8	9	19	2
NrA9	11	12	7
NrA35	2	7	6
NrA36	16	15	3
NrA37	10	9	19
NrA38	21	20	6
NrA39	5	7	5
NrA40	22	13	6
NrA41	1	2	11
NrA42	19	9	2
NrA43	12	11	7
NrA44	4	2	18
NrA45	18	10	2
NrA46	19	18	19
NrA47	8	3	18
NrA48	15	6	2
NrA49	15	14	15
NrA50	9	3	6
NrA51	11	6	3
NrA52	20	8	2
NrA53	17	12	2
NrA54	17	16	7
NrA55	18	17	2
NrA56	14	13	5
NrA57	22	21	15
NrA58	5	2	8
NrA59	3	2	15
NrA60	6	5	15
NrA61	9	1	4
NrA62	13	7	2
NrA63	12	10	2
NrA64	9	8	14
NrA65	6	4	10
NrA66	1	4	7
NrA67	10	1	13
NrA68	4	3	8
