Name:		mggdb_0.25_12
Optimal value:	-1
#Vehicles:	7
Capacity:	35
Depot Node:	1
#Nodes:		13
#Edges:		5
#Arcs:		36
#Required N:	6
#Required E:	3
#Required A:	13

ReN.	DEMAND	S. COST
N2	23	23
N7	3	3
N9	9	9
N10	14	14
N11	15	15
N12	14	14

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E3	4	5	11	15	15
E4	2	8	14	7	7
E5	2	6	8	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	1	2	5
NrE2	10	11	15

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A6	5	10	3	11	11
A7	11	13	12	1	1
A8	4	10	26	8	8
A9	4	11	30	16	16
A10	3	6	11	3	3
A11	2	3	16	13	13
A12	1	5	19	1	1
A13	8	12	21	5	5
A14	1	4	10	15	15
A15	1	3	7	12	12
A16	8	9	18	1	1
A17	6	12	17	4	4
A18	6	10	13	14	14

ARC	FROM N.	TO N.	T. COST
NrA1	2	7	9
NrA2	9	13	8
NrA3	11	12	19
NrA4	12	13	14
NrA5	7	9	30
NrA19	7	2	9
NrA20	13	9	8
NrA21	12	11	19
NrA22	13	12	14
NrA23	9	7	30
NrA24	10	5	3
NrA25	13	11	12
NrA26	10	4	26
NrA27	11	4	30
NrA28	6	3	11
NrA29	3	2	16
NrA30	5	1	19
NrA31	12	8	21
NrA32	4	1	10
NrA33	3	1	7
NrA34	9	8	18
NrA35	12	6	17
NrA36	10	6	13
