Name:		mggdb_0.25_13
Optimal value:	-1
#Vehicles:	6
Capacity:	41
Depot Node:	1
#Nodes:		10
#Edges:		7
#Arcs:		42
#Required N:	6
#Required E:	5
#Required A:	15

ReN.	DEMAND	S. COST
N2	20	20
N4	7	7
N5	5	5
N7	3	3
N8	19	19
N9	16	16

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E3	8	10	99	8	8
E4	3	8	24	3	3
E5	6	7	9	8	8
E6	4	1	6	13	13
E7	1	7	4	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	4	3	28
NrE2	8	9	22

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A7	7	8	16	9	9
A8	3	7	10	5	5
A9	4	2	3	4	4
A10	3	1	8	16	16
A11	7	10	5	14	14
A12	2	8	13	13	13
A13	5	6	20	9	9
A14	9	10	20	5	5
A15	2	3	5	11	11
A16	1	5	7	12	12
A17	6	9	13	3	3
A18	4	5	2	15	15
A19	1	6	18	2	2
A20	3	6	1	7	7
A21	5	7	42	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	1	8	24
NrA2	2	1	15
NrA3	5	9	12
NrA4	7	9	60
NrA5	1	9	11
NrA6	2	5	12
NrA22	8	1	24
NrA23	1	2	15
NrA24	9	5	12
NrA25	9	7	60
NrA26	9	1	11
NrA27	5	2	12
NrA28	8	7	16
NrA29	7	3	10
NrA30	2	4	3
NrA31	1	3	8
NrA32	10	7	5
NrA33	8	2	13
NrA34	6	5	20
NrA35	10	9	20
NrA36	3	2	5
NrA37	5	1	7
NrA38	9	6	13
NrA39	5	4	2
NrA40	6	1	18
NrA41	6	3	1
NrA42	7	5	42
