Name:		mggdb_0.25_22
Optimal value:	-1
#Vehicles:	8
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		11
#Arcs:		66
#Required N:	6
#Required E:	8
#Required A:	24

ReN.	DEMAND	S. COST
N2	16	16
N3	15	15
N4	15	15
N5	7	7
N6	10	10
N7	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E4	2	7	1	1	1
E5	1	4	2	4	4
E6	9	10	7	8	8
E7	1	2	6	5	5
E8	2	3	5	3	3
E9	4	8	7	5	5
E10	6	8	8	6	6
E11	5	7	6	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	1	6	1
NrE2	3	5	3
NrE3	3	7	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	4	10	8	2	2
A11	8	9	9	3	3
A12	3	11	8	9	9
A13	4	6	6	9	9
A14	4	9	1	4	4
A15	7	11	1	5	5
A16	3	4	6	1	1
A17	5	8	1	2	2
A18	3	10	1	6	6
A19	1	3	1	4	4
A20	1	8	1	6	6
A21	1	11	3	5	5
A22	7	9	6	4	4
A23	5	11	8	8	8
A24	1	7	1	3	3
A25	2	8	1	2	2
A26	1	10	3	9	9
A27	6	9	5	1	1
A28	9	11	4	3	3
A29	1	5	1	1	1
A30	2	9	8	4	4
A31	2	11	5	1	1
A32	1	9	2	1	1
A33	4	7	7	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	3	9	9
NrA2	4	11	3
NrA3	6	7	5
NrA4	4	5	7
NrA5	2	4	1
NrA6	7	10	2
NrA7	5	10	6
NrA8	6	10	6
NrA9	2	5	8
NrA34	9	3	9
NrA35	11	4	3
NrA36	7	6	5
NrA37	5	4	7
NrA38	4	2	1
NrA39	10	7	2
NrA40	10	5	6
NrA41	10	6	6
NrA42	5	2	8
NrA43	10	4	8
NrA44	9	8	9
NrA45	11	3	8
NrA46	6	4	6
NrA47	9	4	1
NrA48	11	7	1
NrA49	4	3	6
NrA50	8	5	1
NrA51	10	3	1
NrA52	3	1	1
NrA53	8	1	1
NrA54	11	1	3
NrA55	9	7	6
NrA56	11	5	8
NrA57	7	1	1
NrA58	8	2	1
NrA59	10	1	3
NrA60	9	6	5
NrA61	11	9	4
NrA62	5	1	1
NrA63	9	2	8
NrA64	11	2	5
NrA65	9	1	2
NrA66	7	4	7
