Name:		mggdb_0.25_23
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		13
#Arcs:		84
#Required N:	8
#Required E:	9
#Required A:	31

ReN.	DEMAND	S. COST
N2	9	9
N3	1	1
N4	1	1
N5	8	8
N7	6	6
N8	16	16
N9	12	12
N10	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	1	4	1	4	4
E6	1	8	1	4	4
E7	6	8	3	8	8
E8	6	9	6	3	3
E9	2	3	5	7	7
E10	4	5	2	1	1
E11	1	2	1	7	7
E12	6	11	4	2	2
E13	5	9	8	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	5	10	6
NrE2	7	10	6
NrE3	2	9	8
NrE4	7	8	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A12	7	9	1	8	8
A13	8	11	6	4	4
A14	3	9	4	7	7
A15	3	4	7	6	6
A16	3	7	1	4	4
A17	3	10	2	6	6
A18	2	5	8	6	6
A19	1	6	3	7	7
A20	2	4	1	6	6
A21	4	9	6	1	1
A22	2	7	3	4	4
A23	4	11	4	9	9
A24	3	11	2	1	1
A25	2	8	7	9	9
A26	5	8	4	3	3
A27	6	7	5	7	7
A28	1	11	1	8	8
A29	1	5	3	9	9
A30	1	7	2	8	8
A31	3	5	1	2	2
A32	3	8	5	5	5
A33	2	11	2	8	8
A34	1	10	2	5	5
A35	1	3	7	1	1
A36	2	6	1	5	5
A37	5	11	7	1	1
A38	6	10	6	2	2
A39	2	10	7	7	7
A40	4	7	5	6	6
A41	4	8	7	5	5
A42	4	10	2	8	8

ARC	FROM N.	TO N.	T. COST
NrA1	3	6	4
NrA2	4	6	1
NrA3	10	11	4
NrA4	8	10	5
NrA5	8	9	4
NrA6	7	11	4
NrA7	5	6	8
NrA8	5	7	5
NrA9	9	11	7
NrA10	1	9	2
NrA11	9	10	4
NrA43	6	3	4
NrA44	6	4	1
NrA45	11	10	4
NrA46	10	8	5
NrA47	9	8	4
NrA48	11	7	4
NrA49	6	5	8
NrA50	7	5	5
NrA51	11	9	7
NrA52	9	1	2
NrA53	10	9	4
NrA54	9	7	1
NrA55	11	8	6
NrA56	9	3	4
NrA57	4	3	7
NrA58	7	3	1
NrA59	10	3	2
NrA60	5	2	8
NrA61	6	1	3
NrA62	4	2	1
NrA63	9	4	6
NrA64	7	2	3
NrA65	11	4	4
NrA66	11	3	2
NrA67	8	2	7
NrA68	8	5	4
NrA69	7	6	5
NrA70	11	1	1
NrA71	5	1	3
NrA72	7	1	2
NrA73	5	3	1
NrA74	8	3	5
NrA75	11	2	2
NrA76	10	1	2
NrA77	3	1	7
NrA78	6	2	1
NrA79	11	5	7
NrA80	10	6	6
NrA81	10	2	7
NrA82	7	4	5
NrA83	8	4	7
NrA84	10	4	2
