Name:		mggdb_0.30_22
Optimal value:	-1
#Vehicles:	8
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		11
#Arcs:		66
#Required N:	7
#Required E:	7
#Required A:	23

ReN.	DEMAND	S. COST
N2	5	5
N3	11	11
N4	14	14
N5	1	1
N6	7	7
N8	9	9
N10	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	6	7	5	3	3
E6	7	10	2	2	2
E7	9	10	7	8	8
E8	7	9	6	4	4
E9	1	3	1	4	4
E10	1	7	1	3	3
E11	7	11	1	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	2	7	1
NrE2	3	4	6
NrE3	6	10	6
NrE4	2	9	8

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A11	2	11	5	1	1
A12	4	5	7	7	7
A13	1	11	3	5	5
A14	6	8	8	6	6
A15	1	4	2	4	4
A16	4	6	6	9	9
A17	3	11	8	9	9
A18	5	8	1	2	2
A19	4	11	3	8	8
A20	5	7	6	8	8
A21	6	9	5	1	1
A22	3	5	3	3	3
A23	5	11	8	8	8
A24	1	2	6	5	5
A25	3	9	9	8	8
A26	5	10	6	7	7
A27	9	11	4	3	3
A28	1	9	2	1	1
A29	2	8	1	2	2
A30	2	5	8	9	9
A31	2	3	5	3	3
A32	4	9	1	4	4
A33	2	4	1	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	1	5	1
NrA2	1	8	1
NrA3	1	10	3
NrA4	4	7	7
NrA5	1	6	1
NrA6	4	10	8
NrA7	8	9	9
NrA8	3	10	1
NrA9	4	8	7
NrA10	3	7	1
NrA34	5	1	1
NrA35	8	1	1
NrA36	10	1	3
NrA37	7	4	7
NrA38	6	1	1
NrA39	10	4	8
NrA40	9	8	9
NrA41	10	3	1
NrA42	8	4	7
NrA43	7	3	1
NrA44	11	2	5
NrA45	5	4	7
NrA46	11	1	3
NrA47	8	6	8
NrA48	4	1	2
NrA49	6	4	6
NrA50	11	3	8
NrA51	8	5	1
NrA52	11	4	3
NrA53	7	5	6
NrA54	9	6	5
NrA55	5	3	3
NrA56	11	5	8
NrA57	2	1	6
NrA58	9	3	9
NrA59	10	5	6
NrA60	11	9	4
NrA61	9	1	2
NrA62	8	2	1
NrA63	5	2	8
NrA64	3	2	5
NrA65	9	4	1
NrA66	4	2	1
