Name:		mggdb_0.30_23
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		13
#Arcs:		84
#Required N:	9
#Required E:	9
#Required A:	29

ReN.	DEMAND	S. COST
N2	21	21
N3	16	16
N4	5	5
N5	4	4
N6	2	2
N7	11	11
N8	8	8
N9	7	7
N10	5	5

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	3	9	4	7	7
E6	8	9	4	8	8
E7	6	8	3	8	8
E8	1	11	1	8	8
E9	5	8	4	3	3
E10	2	9	8	9	9
E11	5	7	5	1	1
E12	2	10	7	7	7
E13	1	2	1	7	7

EDGE	FROM N.	TO N.	T. COST
NrE1	3	7	1
NrE2	3	4	7
NrE3	1	9	2
NrE4	4	8	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	10	11	4	4	4
A15	5	6	8	4	4
A16	4	9	6	1	1
A17	2	11	2	8	8
A18	4	6	1	1	1
A19	3	8	5	5	5
A20	6	7	5	7	7
A21	1	3	7	1	1
A22	4	5	2	1	1
A23	6	9	6	3	3
A24	4	10	2	8	8
A25	2	3	5	7	7
A26	3	5	1	2	2
A27	1	5	3	9	9
A28	2	6	1	5	5
A29	3	11	2	1	1
A30	7	11	4	3	3
A31	6	10	6	2	2
A32	9	10	4	5	5
A33	1	8	1	4	4
A34	2	7	3	4	4
A35	8	11	6	4	4
A36	1	4	1	4	4
A37	4	7	5	6	6
A38	5	9	8	5	5
A39	1	6	3	7	7
A40	1	7	2	8	8
A41	3	6	4	1	1
A42	4	11	4	9	9

ARC	FROM N.	TO N.	T. COST
NrA1	7	10	6
NrA2	9	11	7
NrA3	1	10	2
NrA4	3	10	2
NrA5	5	11	7
NrA6	2	4	1
NrA7	7	9	1
NrA8	6	11	4
NrA9	5	10	6
NrA10	2	8	7
NrA11	2	5	8
NrA12	8	10	5
NrA13	7	8	2
NrA43	10	7	6
NrA44	11	9	7
NrA45	10	1	2
NrA46	10	3	2
NrA47	11	5	7
NrA48	4	2	1
NrA49	9	7	1
NrA50	11	6	4
NrA51	10	5	6
NrA52	8	2	7
NrA53	5	2	8
NrA54	10	8	5
NrA55	8	7	2
NrA56	11	10	4
NrA57	6	5	8
NrA58	9	4	6
NrA59	11	2	2
NrA60	6	4	1
NrA61	8	3	5
NrA62	7	6	5
NrA63	3	1	7
NrA64	5	4	2
NrA65	9	6	6
NrA66	10	4	2
NrA67	3	2	5
NrA68	5	3	1
NrA69	5	1	3
NrA70	6	2	1
NrA71	11	3	2
NrA72	11	7	4
NrA73	10	6	6
NrA74	10	9	4
NrA75	8	1	1
NrA76	7	2	3
NrA77	11	8	6
NrA78	4	1	1
NrA79	7	4	5
NrA80	9	5	8
NrA81	6	1	3
NrA82	7	1	2
NrA83	6	3	4
NrA84	11	4	4
