Name:		mggdb_0.30_8
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		11
#Arcs:		70
#Required N:	15
#Required E:	7
#Required A:	24

ReN.	DEMAND	S. COST
N3	8	8
N4	9	9
N5	9	9
N7	7	7
N8	5	5
N14	3	3
N15	7	7
N16	1	1
N18	9	9
N19	7	7
N21	2	2
N23	9	9
N25	1	1
N26	8	8
N27	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	6	7	3	1	1
E6	23	26	3	2	2
E7	6	9	6	9	9
E8	20	21	1	8	8
E9	14	18	2	9	9
E10	18	25	3	7	7
E11	24	27	5	9	9

EDGE	FROM N.	TO N.	T. COST
NrE1	14	16	9
NrE2	21	22	8
NrE3	26	27	3
NrE4	1	3	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A12	4	5	2	9	9
A13	1	17	5	8	8
A14	1	15	8	5	5
A15	3	6	4	3	3
A16	21	23	7	6	6
A17	2	1	3	2	2
A18	13	15	4	7	7
A19	21	25	8	4	4
A20	6	8	6	4	4
A21	14	21	5	5	5
A22	10	11	5	5	5
A23	22	25	3	4	4
A24	1	24	6	1	1
A25	14	20	5	5	5
A26	3	8	6	8	8
A27	4	10	1	4	4
A28	15	20	8	2	2
A29	2	12	1	9	9
A30	3	4	7	4	4
A31	22	23	1	6	6
A32	12	13	4	2	2
A33	6	10	2	8	8
A34	13	14	4	1	1
A35	5	9	3	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	8	9	6
NrA2	23	24	5
NrA3	1	19	1
NrA4	16	17	9
NrA5	5	6	2
NrA6	25	26	4
NrA7	1	27	7
NrA8	4	6	7
NrA9	15	17	3
NrA10	7	11	6
NrA11	18	21	2
NrA36	9	8	6
NrA37	24	23	5
NrA38	19	1	1
NrA39	17	16	9
NrA40	6	5	2
NrA41	26	25	4
NrA42	27	1	7
NrA43	6	4	7
NrA44	17	15	3
NrA45	11	7	6
NrA46	21	18	2
NrA47	5	4	2
NrA48	17	1	5
NrA49	15	1	8
NrA50	6	3	4
NrA51	23	21	7
NrA52	1	2	3
NrA53	15	13	4
NrA54	25	21	8
NrA55	8	6	6
NrA56	21	14	5
NrA57	11	10	5
NrA58	25	22	3
NrA59	24	1	6
NrA60	20	14	5
NrA61	8	3	6
NrA62	10	4	1
NrA63	20	15	8
NrA64	12	2	1
NrA65	4	3	7
NrA66	23	22	1
NrA67	13	12	4
NrA68	10	6	2
NrA69	14	13	4
NrA70	9	5	3
