Name:		mggdb_0.30_9
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		12
#Arcs:		78
#Required N:	11
#Required E:	8
#Required A:	27

ReN.	DEMAND	S. COST
N2	2	2
N4	20	20
N6	9	9
N7	7	7
N8	5	5
N14	19	19
N16	1	1
N20	8	8
N21	2	2
N22	10	10
N24	1	1

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	8	24	2	3	3
E6	26	27	3	8	8
E7	23	24	5	9	9
E8	2	12	1	9	9
E9	18	21	2	9	9
E10	1	27	7	4	4
E11	21	25	8	4	4
E12	1	3	7	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	22	23	1
NrE2	22	25	3
NrE3	14	20	5
NrE4	4	12	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A13	3	8	6	8	8
A14	12	19	2	1	1
A15	3	6	4	3	3
A16	25	26	4	1	1
A17	12	13	4	2	2
A18	6	10	2	8	8
A19	4	10	1	4	4
A20	21	23	7	6	6
A21	15	17	3	7	7
A22	1	19	1	7	7
A23	5	9	3	3	3
A24	6	8	6	4	4
A25	14	16	9	3	3
A26	13	15	4	7	7
A27	13	14	4	1	1
A28	8	27	1	2	2
A29	6	7	3	1	1
A30	1	17	5	8	8
A31	18	25	3	7	7
A32	10	11	5	5	5
A33	4	19	3	1	1
A34	23	26	3	2	2
A35	3	4	7	4	4
A36	15	20	8	2	2
A37	1	15	8	5	5
A38	5	6	2	9	9
A39	24	27	5	9	9

ARC	FROM N.	TO N.	T. COST
NrA1	16	17	9
NrA2	14	18	2
NrA3	20	21	1
NrA4	8	9	6
NrA5	14	21	5
NrA6	1	24	6
NrA7	4	6	7
NrA8	6	9	6
NrA9	21	22	8
NrA10	2	1	3
NrA11	4	5	2
NrA12	7	11	6
NrA40	17	16	9
NrA41	18	14	2
NrA42	21	20	1
NrA43	9	8	6
NrA44	21	14	5
NrA45	24	1	6
NrA46	6	4	7
NrA47	9	6	6
NrA48	22	21	8
NrA49	1	2	3
NrA50	5	4	2
NrA51	11	7	6
NrA52	8	3	6
NrA53	19	12	2
NrA54	6	3	4
NrA55	26	25	4
NrA56	13	12	4
NrA57	10	6	2
NrA58	10	4	1
NrA59	23	21	7
NrA60	17	15	3
NrA61	19	1	1
NrA62	9	5	3
NrA63	8	6	6
NrA64	16	14	9
NrA65	15	13	4
NrA66	14	13	4
NrA67	27	8	1
NrA68	7	6	3
NrA69	17	1	5
NrA70	25	18	3
NrA71	11	10	5
NrA72	19	4	3
NrA73	26	23	3
NrA74	4	3	7
NrA75	20	15	8
NrA76	15	1	8
NrA77	6	5	2
NrA78	27	24	5
