Name:		mggdb_0.35_11
Optimal value:	303
#Vehicles:	5
Capacity:	50
Depot Node:	1
#Nodes:		22
#Edges:		11
#Arcs:		68
#Required N:	12
#Required E:	7
#Required A:	22

ReN.	DEMAND	S. COST
N2	1	1
N3	7	7
N4	5	5
N5	9	9
N6	5	5
N7	8	8
N8	19	19
N9	7	7
N10	1	1
N13	9	9
N14	9	9
N15	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	20	21	6	8	8
E6	21	22	15	7	7
E7	4	1	7	7	7
E8	2	22	2	6	6
E9	10	12	2	7	7
E10	9	10	19	3	3
E11	2	5	8	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	8	20	2
NrE2	6	11	3
NrE3	3	8	18
NrE4	5	1	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A13	3	21	2	1	1
A14	19	20	6	2	2
A15	2	1	11	9	9
A16	5	14	2	3	3
A17	11	16	2	2	2
A18	12	17	2	9	9
A19	11	12	7	6	6
A20	16	17	7	6	6
A21	7	4	11	5	5
A22	17	18	2	8	8
A23	7	5	5	3	3
A24	1	9	4	6	6
A25	18	19	19	3	3
A26	3	9	6	5	5
A27	10	18	2	8	8
A28	1	8	9	4	4
A29	2	4	18	5	5
A30	7	13	2	1	1
A31	6	15	2	2	2
A32	4	11	17	4	4
A33	1	11	12	3	3
A34	5	6	15	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	2	3	15
NrA2	4	6	10
NrA3	13	14	5
NrA4	9	19	2
NrA5	7	2	6
NrA6	8	9	14
NrA7	8	12	5
NrA8	13	22	6
NrA9	15	16	3
NrA10	14	15	15
NrA11	1	10	13
NrA12	3	4	8
NrA35	3	2	15
NrA36	6	4	10
NrA37	14	13	5
NrA38	19	9	2
NrA39	2	7	6
NrA40	9	8	14
NrA41	12	8	5
NrA42	22	13	6
NrA43	16	15	3
NrA44	15	14	15
NrA45	10	1	13
NrA46	4	3	8
NrA47	21	3	2
NrA48	20	19	6
NrA49	1	2	11
NrA50	14	5	2
NrA51	16	11	2
NrA52	17	12	2
NrA53	12	11	7
NrA54	17	16	7
NrA55	4	7	11
NrA56	18	17	2
NrA57	5	7	5
NrA58	9	1	4
NrA59	19	18	19
NrA60	9	3	6
NrA61	18	10	2
NrA62	8	1	9
NrA63	4	2	18
NrA64	13	7	2
NrA65	15	6	2
NrA66	11	4	17
NrA67	11	1	12
NrA68	6	5	15
