Name:		mggdb_0.35_18
Optimal value:	135
#Vehicles:	5
Capacity:	37
Depot Node:	1
#Nodes:		9
#Edges:		9
#Arcs:		54
#Required N:	8
#Required E:	5
#Required A:	17

ReN.	DEMAND	S. COST
N2	11	11
N3	32	32
N4	5	5
N5	1	1
N6	6	6
N7	5	5
N8	3	3
N9	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	6	7	6	8	8
E6	5	7	4	1	1
E7	2	5	3	3	3
E8	2	3	6	4	4
E9	3	5	7	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	2	6	7
NrE2	5	6	7
NrE3	7	8	1
NrE4	2	4	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A11	4	8	1	7	7
A12	1	4	6	1	1
A13	5	9	8	8	8
A14	1	6	4	1	1
A15	2	8	5	1	1
A16	1	2	3	2	2
A17	1	8	5	5	5
A18	1	5	6	3	3
A19	1	7	4	1	1
A20	5	8	7	7	7
A21	4	7	1	5	5
A22	3	8	7	2	2
A23	6	8	1	4	4
A24	7	9	2	2	2
A25	4	6	3	3	3
A26	4	5	5	2	2
A27	2	7	4	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	3	9	3
NrA2	3	7	7
NrA3	3	6	7
NrA4	6	9	1
NrA5	1	9	8
NrA6	8	9	1
NrA7	2	9	4
NrA8	1	3	5
NrA9	4	9	3
NrA10	3	4	5
NrA28	9	3	3
NrA29	7	3	7
NrA30	6	3	7
NrA31	9	6	1
NrA32	9	1	8
NrA33	9	8	1
NrA34	9	2	4
NrA35	3	1	5
NrA36	9	4	3
NrA37	4	3	5
NrA38	8	4	1
NrA39	4	1	6
NrA40	9	5	8
NrA41	6	1	4
NrA42	8	2	5
NrA43	2	1	3
NrA44	8	1	5
NrA45	5	1	6
NrA46	7	1	4
NrA47	8	5	7
NrA48	7	4	1
NrA49	8	3	7
NrA50	8	6	1
NrA51	9	7	2
NrA52	6	4	3
NrA53	5	4	5
NrA54	7	2	4
