Name:		mggdb_0.35_21
Optimal value:	-1
#Vehicles:	6
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		8
#Arcs:		50
#Required N:	7
#Required E:	5
#Required A:	16

ReN.	DEMAND	S. COST
N2	14	14
N3	6	6
N4	10	10
N5	2	2
N7	8	8
N8	5	5
N10	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E4	2	4	2	8	8
E5	5	7	4	4	4
E6	2	5	4	5	5
E7	1	9	4	6	6
E8	8	10	1	2	2

EDGE	FROM N.	TO N.	T. COST
NrE1	2	3	1
NrE2	7	10	3
NrE3	1	8	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	9	10	7	9	9
A11	2	9	6	1	1
A12	4	9	8	6	6
A13	3	5	6	9	9
A14	1	11	1	8	8
A15	1	7	3	3	3
A16	6	10	7	7	7
A17	7	9	6	1	1
A18	6	9	4	4	4
A19	6	7	8	6	6
A20	6	11	3	1	1
A21	7	8	3	5	5
A22	2	6	4	3	3
A23	1	6	6	4	4
A24	1	2	1	6	6
A25	3	11	6	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	7	11	2
NrA2	1	10	2
NrA3	2	8	1
NrA4	4	8	9
NrA5	3	6	9
NrA6	4	7	8
NrA7	1	3	7
NrA8	1	5	8
NrA9	3	10	3
NrA26	11	7	2
NrA27	10	1	2
NrA28	8	2	1
NrA29	8	4	9
NrA30	6	3	9
NrA31	7	4	8
NrA32	3	1	7
NrA33	5	1	8
NrA34	10	3	3
NrA35	10	9	7
NrA36	9	2	6
NrA37	9	4	8
NrA38	5	3	6
NrA39	11	1	1
NrA40	7	1	3
NrA41	10	6	7
NrA42	9	7	6
NrA43	9	6	4
NrA44	7	6	8
NrA45	11	6	3
NrA46	8	7	3
NrA47	6	2	4
NrA48	6	1	6
NrA49	2	1	1
NrA50	11	3	6
