Name:		mggdb_0.35_22
Optimal value:	-1
#Vehicles:	8
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		11
#Arcs:		66
#Required N:	8
#Required E:	7
#Required A:	21

ReN.	DEMAND	S. COST
N2	13	13
N3	1	1
N4	16	16
N5	8	8
N6	12	12
N7	5	5
N9	11	11
N10	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	8	9	9	3	3
E6	1	7	1	3	3
E7	5	8	1	2	2
E8	5	10	6	7	7
E9	6	10	6	1	1
E10	7	10	2	2	2
E11	3	7	1	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	1	10	3
NrE2	4	9	1
NrE3	5	7	6
NrE4	7	11	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A13	2	5	8	9	9
A14	3	10	1	6	6
A15	6	7	5	3	3
A16	4	7	7	7	7
A17	3	9	9	8	8
A18	3	11	8	9	9
A19	7	9	6	4	4
A20	6	9	5	1	1
A21	1	8	1	6	6
A22	1	5	1	1	1
A23	2	3	5	3	3
A24	1	9	2	1	1
A25	3	5	3	3	3
A26	4	6	6	9	9
A27	4	11	3	8	8
A28	1	4	2	4	4
A29	1	3	1	4	4
A30	4	10	8	2	2
A31	2	4	1	7	7
A32	5	11	8	8	8
A33	1	11	3	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	3	4	6
NrA2	9	10	7
NrA3	2	8	1
NrA4	2	7	1
NrA5	9	11	4
NrA6	2	11	5
NrA7	4	8	7
NrA8	1	2	6
NrA9	6	8	8
NrA10	4	5	7
NrA11	1	6	1
NrA12	2	9	8
NrA34	4	3	6
NrA35	10	9	7
NrA36	8	2	1
NrA37	7	2	1
NrA38	11	9	4
NrA39	11	2	5
NrA40	8	4	7
NrA41	2	1	6
NrA42	8	6	8
NrA43	5	4	7
NrA44	6	1	1
NrA45	9	2	8
NrA46	5	2	8
NrA47	10	3	1
NrA48	7	6	5
NrA49	7	4	7
NrA50	9	3	9
NrA51	11	3	8
NrA52	9	7	6
NrA53	9	6	5
NrA54	8	1	1
NrA55	5	1	1
NrA56	3	2	5
NrA57	9	1	2
NrA58	5	3	3
NrA59	6	4	6
NrA60	11	4	3
NrA61	4	1	2
NrA62	3	1	1
NrA63	10	4	8
NrA64	4	2	1
NrA65	11	5	8
NrA66	11	1	3
