Name:		mggdb_0.35_23
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		13
#Arcs:		84
#Required N:	9
#Required E:	8
#Required A:	27

ReN.	DEMAND	S. COST
N2	23	23
N3	11	11
N4	7	7
N5	5	5
N6	24	24
N7	10	10
N8	4	4
N9	7	7
N11	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	5	10	6	3	3
E7	7	11	4	3	3
E8	9	10	4	5	5
E9	10	11	4	4	4
E10	6	10	6	2	2
E11	3	8	5	5	5
E12	5	8	4	3	3
E13	5	6	8	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	3	5	1
NrE2	1	7	2
NrE3	2	11	2
NrE4	2	9	8
NrE5	1	11	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A16	5	7	5	1	1
A17	3	10	2	6	6
A18	4	10	2	8	8
A19	1	10	2	5	5
A20	8	9	4	8	8
A21	7	9	1	8	8
A22	8	10	5	8	8
A23	2	3	5	7	7
A24	7	10	6	1	1
A25	2	7	3	4	4
A26	4	9	6	1	1
A27	5	11	7	1	1
A28	3	4	7	6	6
A29	2	8	7	9	9
A30	4	5	2	1	1
A31	1	4	1	4	4
A32	1	2	1	7	7
A33	1	5	3	9	9
A34	2	4	1	6	6
A35	2	6	1	5	5
A36	4	8	7	5	5
A37	4	11	4	9	9
A38	3	7	1	4	4
A39	1	3	7	1	1
A40	8	11	6	4	4
A41	6	9	6	3	3
A42	2	10	7	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	3	11	2
NrA2	6	8	3
NrA3	1	9	2
NrA4	9	11	7
NrA5	6	7	5
NrA6	1	8	1
NrA7	2	5	8
NrA8	6	11	4
NrA9	7	8	2
NrA10	5	9	8
NrA11	3	9	4
NrA12	4	6	1
NrA13	1	6	3
NrA14	3	6	4
NrA15	4	7	5
NrA43	11	3	2
NrA44	8	6	3
NrA45	9	1	2
NrA46	11	9	7
NrA47	7	6	5
NrA48	8	1	1
NrA49	5	2	8
NrA50	11	6	4
NrA51	8	7	2
NrA52	9	5	8
NrA53	9	3	4
NrA54	6	4	1
NrA55	6	1	3
NrA56	6	3	4
NrA57	7	4	5
NrA58	7	5	5
NrA59	10	3	2
NrA60	10	4	2
NrA61	10	1	2
NrA62	9	8	4
NrA63	9	7	1
NrA64	10	8	5
NrA65	3	2	5
NrA66	10	7	6
NrA67	7	2	3
NrA68	9	4	6
NrA69	11	5	7
NrA70	4	3	7
NrA71	8	2	7
NrA72	5	4	2
NrA73	4	1	1
NrA74	2	1	1
NrA75	5	1	3
NrA76	4	2	1
NrA77	6	2	1
NrA78	8	4	7
NrA79	11	4	4
NrA80	7	3	1
NrA81	3	1	7
NrA82	11	8	6
NrA83	9	6	6
NrA84	10	2	7
