Name:		mggdb_0.35_8
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		11
#Arcs:		70
#Required N:	9
#Required E:	7
#Required A:	22

ReN.	DEMAND	S. COST
N3	15	15
N4	18	18
N5	3	3
N6	18	18
N14	13	13
N15	2	2
N17	8	8
N21	6	6
N24	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	13	14	4	1	1
E6	21	22	8	2	2
E7	12	13	4	2	2
E8	3	8	6	8	8
E9	4	10	1	4	4
E10	1	15	8	5	5
E11	10	11	5	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	1	3	7
NrE2	14	16	9
NrE3	1	17	5
NrE4	21	23	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A14	21	25	8	4	4
A15	22	23	1	6	6
A16	8	9	6	5	5
A17	5	6	2	9	9
A18	6	8	6	4	4
A19	18	25	3	7	7
A20	23	24	5	9	9
A21	2	12	1	9	9
A22	2	1	3	2	2
A23	1	19	1	7	7
A24	18	21	2	9	9
A25	7	11	6	7	7
A26	26	27	3	8	8
A27	16	17	9	1	1
A28	13	15	4	7	7
A29	22	25	3	4	4
A30	20	21	1	8	8
A31	15	17	3	7	7
A32	14	18	2	9	9
A33	25	26	4	1	1
A34	1	27	7	4	4
A35	23	26	3	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	3	6	4
NrA2	24	27	5
NrA3	6	7	3
NrA4	4	6	7
NrA5	6	10	2
NrA6	6	9	6
NrA7	14	20	5
NrA8	1	24	6
NrA9	5	9	3
NrA10	3	4	7
NrA11	4	5	2
NrA12	14	21	5
NrA13	15	20	8
NrA36	6	3	4
NrA37	27	24	5
NrA38	7	6	3
NrA39	6	4	7
NrA40	10	6	2
NrA41	9	6	6
NrA42	20	14	5
NrA43	24	1	6
NrA44	9	5	3
NrA45	4	3	7
NrA46	5	4	2
NrA47	21	14	5
NrA48	20	15	8
NrA49	25	21	8
NrA50	23	22	1
NrA51	9	8	6
NrA52	6	5	2
NrA53	8	6	6
NrA54	25	18	3
NrA55	24	23	5
NrA56	12	2	1
NrA57	1	2	3
NrA58	19	1	1
NrA59	21	18	2
NrA60	11	7	6
NrA61	27	26	3
NrA62	17	16	9
NrA63	15	13	4
NrA64	25	22	3
NrA65	21	20	1
NrA66	17	15	3
NrA67	18	14	2
NrA68	26	25	4
NrA69	27	1	7
NrA70	26	23	3
