Name:		mggdb_0.35_9
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		12
#Arcs:		78
#Required N:	13
#Required E:	7
#Required A:	25

ReN.	DEMAND	S. COST
N4	10	10
N5	3	3
N6	14	14
N7	7	7
N8	5	5
N10	5	5
N14	19	19
N16	1	1
N19	7	7
N20	8	8
N21	4	4
N25	1	1
N27	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	3	8	6	8	8
E7	2	12	1	9	9
E8	13	14	4	1	1
E9	1	24	6	1	1
E10	1	17	5	8	8
E11	4	10	1	4	4
E12	3	6	4	3	3

EDGE	FROM N.	TO N.	T. COST
NrE1	6	9	6
NrE2	14	20	5
NrE3	8	27	1
NrE4	7	11	6
NrE5	1	27	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	22	25	3	4	4
A16	1	15	8	5	5
A17	8	9	6	5	5
A18	5	6	2	9	9
A19	14	16	9	3	3
A20	23	24	5	9	9
A21	1	3	7	8	8
A22	12	19	2	1	1
A23	12	13	4	2	2
A24	24	27	5	9	9
A25	21	23	7	6	6
A26	13	15	4	7	7
A27	15	20	8	2	2
A28	26	27	3	8	8
A29	6	10	2	8	8
A30	4	12	1	2	2
A31	4	6	7	9	9
A32	18	25	3	7	7
A33	22	23	1	6	6
A34	23	26	3	2	2
A35	2	1	3	2	2
A36	18	21	2	9	9
A37	21	22	8	2	2
A38	3	4	7	4	4
A39	15	17	3	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	6	8	6
NrA2	1	19	1
NrA3	16	17	9
NrA4	14	18	2
NrA5	25	26	4
NrA6	5	9	3
NrA7	4	19	3
NrA8	4	5	2
NrA9	14	21	5
NrA10	10	11	5
NrA11	8	24	2
NrA12	6	7	3
NrA13	20	21	1
NrA14	21	25	8
NrA40	8	6	6
NrA41	19	1	1
NrA42	17	16	9
NrA43	18	14	2
NrA44	26	25	4
NrA45	9	5	3
NrA46	19	4	3
NrA47	5	4	2
NrA48	21	14	5
NrA49	11	10	5
NrA50	24	8	2
NrA51	7	6	3
NrA52	21	20	1
NrA53	25	21	8
NrA54	25	22	3
NrA55	15	1	8
NrA56	9	8	6
NrA57	6	5	2
NrA58	16	14	9
NrA59	24	23	5
NrA60	3	1	7
NrA61	19	12	2
NrA62	13	12	4
NrA63	27	24	5
NrA64	23	21	7
NrA65	15	13	4
NrA66	20	15	8
NrA67	27	26	3
NrA68	10	6	2
NrA69	12	4	1
NrA70	6	4	7
NrA71	25	18	3
NrA72	23	22	1
NrA73	26	23	3
NrA74	1	2	3
NrA75	21	18	2
NrA76	22	21	8
NrA77	4	3	7
NrA78	17	15	3
