Name:		mggdb_0.40_11
Optimal value:	-1
#Vehicles:	5
Capacity:	50
Depot Node:	1
#Nodes:		22
#Edges:		11
#Arcs:		68
#Required N:	12
#Required E:	6
#Required A:	20

ReN.	DEMAND	S. COST
N2	5	5
N3	5	5
N4	9	9
N6	5	5
N7	6	6
N8	15	15
N9	6	6
N10	8	8
N11	8	8
N12	9	9
N14	9	9
N15	3	3

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	7	5	5	3	3
E7	2	22	2	6	6
E8	9	19	2	7	7
E9	7	2	6	8	8
E10	2	4	18	5	5
E11	3	8	18	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	15	16	3
NrE2	4	11	17
NrE3	1	9	4
NrE4	6	11	3
NrE5	1	8	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	18	19	19	3	3
A16	4	1	7	7	7
A17	1	11	12	3	3
A18	3	21	2	1	1
A19	10	18	2	8	8
A20	5	14	2	3	3
A21	8	20	2	8	8
A22	16	17	7	6	6
A23	19	20	6	2	2
A24	21	22	15	7	7
A25	3	4	8	1	1
A26	13	14	5	7	7
A27	17	18	2	8	8
A28	5	1	9	9	9
A29	20	21	6	8	8
A30	5	6	15	4	4
A31	13	22	6	2	2
A32	6	15	2	2	2
A33	2	1	11	9	9
A34	9	10	19	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	11	16	2
NrA2	2	5	8
NrA3	8	9	14
NrA4	10	12	2
NrA5	3	9	6
NrA6	7	4	11
NrA7	12	17	2
NrA8	8	12	5
NrA9	4	6	10
NrA10	1	10	13
NrA11	7	13	2
NrA12	11	12	7
NrA13	14	15	15
NrA14	2	3	15
NrA35	16	11	2
NrA36	5	2	8
NrA37	9	8	14
NrA38	12	10	2
NrA39	9	3	6
NrA40	4	7	11
NrA41	17	12	2
NrA42	12	8	5
NrA43	6	4	10
NrA44	10	1	13
NrA45	13	7	2
NrA46	12	11	7
NrA47	15	14	15
NrA48	3	2	15
NrA49	19	18	19
NrA50	1	4	7
NrA51	11	1	12
NrA52	21	3	2
NrA53	18	10	2
NrA54	14	5	2
NrA55	20	8	2
NrA56	17	16	7
NrA57	20	19	6
NrA58	22	21	15
NrA59	4	3	8
NrA60	14	13	5
NrA61	18	17	2
NrA62	1	5	9
NrA63	21	20	6
NrA64	6	5	15
NrA65	22	13	6
NrA66	15	6	2
NrA67	1	2	11
NrA68	10	9	19
