Name:		mggdb_0.40_21
Optimal value:	104
#Vehicles:	6
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		8
#Arcs:		50
#Required N:	9
#Required E:	4
#Required A:	15

ReN.	DEMAND	S. COST
N2	12	12
N3	2	2
N4	9	9
N5	2	2
N6	15	15
N7	1	1
N8	2	2
N9	15	15
N10	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E5	7	11	2	1	1
E6	1	2	1	6	6
E7	2	3	1	7	7
E8	4	9	8	6	6

EDGE	FROM N.	TO N.	T. COST
NrE1	2	9	6
NrE2	8	10	1
NrE3	1	10	2
NrE4	4	8	9

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A11	5	7	4	4	4
A12	1	3	7	3	3
A13	6	11	3	1	1
A14	7	10	3	7	7
A15	1	11	1	8	8
A16	1	7	3	3	3
A17	6	7	8	6	6
A18	2	8	1	7	7
A19	3	10	3	1	1
A20	1	8	2	5	5
A21	4	7	8	1	1
A22	7	8	3	5	5
A23	2	5	4	5	5
A24	3	5	6	9	9
A25	3	11	6	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	2	4	2
NrA2	1	9	4
NrA3	9	10	7
NrA4	7	9	6
NrA5	1	5	8
NrA6	2	6	4
NrA7	3	6	9
NrA8	6	10	7
NrA9	1	6	6
NrA10	6	9	4
NrA26	4	2	2
NrA27	9	1	4
NrA28	10	9	7
NrA29	9	7	6
NrA30	5	1	8
NrA31	6	2	4
NrA32	6	3	9
NrA33	10	6	7
NrA34	6	1	6
NrA35	9	6	4
NrA36	7	5	4
NrA37	3	1	7
NrA38	11	6	3
NrA39	10	7	3
NrA40	11	1	1
NrA41	7	1	3
NrA42	7	6	8
NrA43	8	2	1
NrA44	10	3	3
NrA45	8	1	2
NrA46	7	4	8
NrA47	8	7	3
NrA48	5	2	4
NrA49	5	3	6
NrA50	11	3	6
