Name:		mggdb_0.40_22
Optimal value:	-1
#Vehicles:	8
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		11
#Arcs:		66
#Required N:	8
#Required E:	6
#Required A:	19

ReN.	DEMAND	S. COST
N2	15	15
N3	20	20
N4	20	20
N5	1	1
N6	5	5
N7	5	5
N8	3	3
N9	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	4	9	1	4	4
E7	4	7	7	7	7
E8	6	8	8	6	6
E9	7	9	6	4	4
E10	5	8	1	2	2
E11	5	7	6	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	1	9	2
NrE2	3	5	3
NrE3	2	7	1
NrE4	3	11	8
NrE5	1	5	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	2	3	5	3	3
A16	1	10	3	9	9
A17	3	10	1	6	6
A18	1	3	1	4	4
A19	3	7	1	4	4
A20	9	10	7	8	8
A21	4	5	7	7	7
A22	1	8	1	6	6
A23	5	11	8	8	8
A24	2	9	8	4	4
A25	3	4	6	1	1
A26	1	11	3	5	5
A27	2	5	8	9	9
A28	1	7	1	3	3
A29	7	10	2	2	2
A30	2	11	5	1	1
A31	4	11	3	8	8
A32	1	6	1	6	6
A33	5	10	6	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	2	8	1
NrA2	6	10	6
NrA3	3	9	9
NrA4	2	4	1
NrA5	6	9	5
NrA6	9	11	4
NrA7	1	4	2
NrA8	1	2	6
NrA9	6	7	5
NrA10	4	8	7
NrA11	4	10	8
NrA12	4	6	6
NrA13	8	9	9
NrA14	7	11	1
NrA34	8	2	1
NrA35	10	6	6
NrA36	9	3	9
NrA37	4	2	1
NrA38	9	6	5
NrA39	11	9	4
NrA40	4	1	2
NrA41	2	1	6
NrA42	7	6	5
NrA43	8	4	7
NrA44	10	4	8
NrA45	6	4	6
NrA46	9	8	9
NrA47	11	7	1
NrA48	3	2	5
NrA49	10	1	3
NrA50	10	3	1
NrA51	3	1	1
NrA52	7	3	1
NrA53	10	9	7
NrA54	5	4	7
NrA55	8	1	1
NrA56	11	5	8
NrA57	9	2	8
NrA58	4	3	6
NrA59	11	1	3
NrA60	5	2	8
NrA61	7	1	1
NrA62	10	7	2
NrA63	11	2	5
NrA64	11	4	3
NrA65	6	1	1
NrA66	10	5	6
