Name:		mggdb_0.40_23
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		13
#Arcs:		84
#Required N:	10
#Required E:	7
#Required A:	25

ReN.	DEMAND	S. COST
N2	23	23
N3	9	9
N4	23	23
N5	6	6
N6	10	10
N7	8	8
N8	12	12
N9	10	10
N10	5	5
N11	16	16

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	5	8	4	3	3
E8	9	10	4	5	5
E9	10	11	4	4	4
E10	1	3	7	1	1
E11	2	6	1	5	5
E12	3	4	7	6	6
E13	7	10	6	1	1

EDGE	FROM N.	TO N.	T. COST
NrE1	6	9	6
NrE2	3	6	4
NrE3	1	6	3
NrE4	1	7	2
NrE5	4	10	2
NrE6	2	10	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A18	6	7	5	7	7
A19	4	6	1	1	1
A20	9	11	7	6	6
A21	3	9	4	7	7
A22	7	9	1	8	8
A23	4	7	5	6	6
A24	3	7	1	4	4
A25	8	11	6	4	4
A26	6	10	6	2	2
A27	2	5	8	6	6
A28	4	9	6	1	1
A29	3	8	5	5	5
A30	5	10	6	3	3
A31	6	8	3	8	8
A32	5	9	8	5	5
A33	7	11	4	3	3
A34	3	11	2	1	1
A35	2	4	1	6	6
A36	1	5	3	9	9
A37	6	11	4	2	2
A38	8	9	4	8	8
A39	2	7	3	4	4
A40	2	3	5	7	7
A41	7	8	2	2	2
A42	1	4	1	4	4

ARC	FROM N.	TO N.	T. COST
NrA1	1	2	1
NrA2	5	6	8
NrA3	1	8	1
NrA4	4	8	7
NrA5	4	11	4
NrA6	1	11	1
NrA7	5	7	5
NrA8	2	8	7
NrA9	2	9	8
NrA10	1	10	2
NrA11	5	11	7
NrA12	3	5	1
NrA13	4	5	2
NrA14	8	10	5
NrA15	3	10	2
NrA16	2	11	2
NrA17	1	9	2
NrA43	2	1	1
NrA44	6	5	8
NrA45	8	1	1
NrA46	8	4	7
NrA47	11	4	4
NrA48	11	1	1
NrA49	7	5	5
NrA50	8	2	7
NrA51	9	2	8
NrA52	10	1	2
NrA53	11	5	7
NrA54	5	3	1
NrA55	5	4	2
NrA56	10	8	5
NrA57	10	3	2
NrA58	11	2	2
NrA59	9	1	2
NrA60	7	6	5
NrA61	6	4	1
NrA62	11	9	7
NrA63	9	3	4
NrA64	9	7	1
NrA65	7	4	5
NrA66	7	3	1
NrA67	11	8	6
NrA68	10	6	6
NrA69	5	2	8
NrA70	9	4	6
NrA71	8	3	5
NrA72	10	5	6
NrA73	8	6	3
NrA74	9	5	8
NrA75	11	7	4
NrA76	11	3	2
NrA77	4	2	1
NrA78	5	1	3
NrA79	11	6	4
NrA80	9	8	4
NrA81	7	2	3
NrA82	3	2	5
NrA83	8	7	2
NrA84	4	1	1
