Name:		mggdb_0.40_8
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		11
#Arcs:		70
#Required N:	13
#Required E:	6
#Required A:	21

ReN.	DEMAND	S. COST
N2	11	11
N4	4	4
N6	1	1
N12	2	2
N13	1	1
N14	19	19
N15	12	12
N16	1	1
N18	16	16
N21	4	4
N23	2	2
N24	10	10
N25	1	1

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	7	11	6	7	7
E7	1	19	1	7	7
E8	20	21	1	8	8
E9	3	8	6	8	8
E10	14	16	9	3	3
E11	6	10	2	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	25	26	4
NrE2	13	14	4
NrE3	18	25	3
NrE4	16	17	9
NrE5	12	13	4

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A15	3	6	4	3	3
A16	23	24	5	9	9
A17	1	17	5	8	8
A18	15	20	8	2	2
A19	6	9	6	9	9
A20	26	27	3	8	8
A21	8	9	6	5	5
A22	3	4	7	4	4
A23	1	27	7	4	4
A24	5	6	2	9	9
A25	5	9	3	3	3
A26	1	3	7	8	8
A27	13	15	4	7	7
A28	22	23	1	6	6
A29	4	6	7	9	9
A30	21	22	8	2	2
A31	21	23	7	6	6
A32	6	8	6	4	4
A33	10	11	5	5	5
A34	22	25	3	4	4
A35	4	5	2	9	9

ARC	FROM N.	TO N.	T. COST
NrA1	1	15	8
NrA2	4	10	1
NrA3	18	21	2
NrA4	2	1	3
NrA5	2	12	1
NrA6	6	7	3
NrA7	15	17	3
NrA8	1	24	6
NrA9	14	21	5
NrA10	21	25	8
NrA11	14	18	2
NrA12	24	27	5
NrA13	14	20	5
NrA14	23	26	3
NrA36	15	1	8
NrA37	10	4	1
NrA38	21	18	2
NrA39	1	2	3
NrA40	12	2	1
NrA41	7	6	3
NrA42	17	15	3
NrA43	24	1	6
NrA44	21	14	5
NrA45	25	21	8
NrA46	18	14	2
NrA47	27	24	5
NrA48	20	14	5
NrA49	26	23	3
NrA50	6	3	4
NrA51	24	23	5
NrA52	17	1	5
NrA53	20	15	8
NrA54	9	6	6
NrA55	27	26	3
NrA56	9	8	6
NrA57	4	3	7
NrA58	27	1	7
NrA59	6	5	2
NrA60	9	5	3
NrA61	3	1	7
NrA62	15	13	4
NrA63	23	22	1
NrA64	6	4	7
NrA65	22	21	8
NrA66	23	21	7
NrA67	8	6	6
NrA68	11	10	5
NrA69	25	22	3
NrA70	5	4	2
