Name:		mggdb_0.45_11
Optimal value:	-1
#Vehicles:	5
Capacity:	50
Depot Node:	1
#Nodes:		22
#Edges:		11
#Arcs:		68
#Required N:	15
#Required E:	6
#Required A:	18

ReN.	DEMAND	S. COST
N2	4	4
N3	7	7
N4	9	9
N5	4	4
N6	5	5
N7	4	4
N8	21	21
N9	6	6
N10	7	7
N11	5	5
N12	9	9
N13	7	7
N16	6	6
N17	8	8
N19	2	2

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	1	10	13	1	1
E7	13	22	6	2	2
E8	9	10	19	3	3
E9	2	22	2	6	6
E10	3	4	8	1	1
E11	2	4	18	5	5

EDGE	FROM N.	TO N.	T. COST
NrE1	16	17	7
NrE2	8	9	14
NrE3	8	20	2
NrE4	3	21	2
NrE5	6	11	3

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	18	19	19	3	3
A18	2	3	15	1	1
A19	2	1	11	9	9
A20	10	18	2	8	8
A21	20	21	6	8	8
A22	8	12	5	2	2
A23	14	15	15	9	9
A24	15	16	3	3	3
A25	11	12	7	6	6
A26	7	4	11	5	5
A27	4	1	7	7	7
A28	5	1	9	9	9
A29	3	9	6	5	5
A30	7	2	6	8	8
A31	21	22	15	7	7
A32	6	15	2	2	2
A33	5	14	2	3	3
A34	9	19	2	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	1	8	9
NrA2	10	12	2
NrA3	11	16	2
NrA4	4	11	17
NrA5	12	17	2
NrA6	1	9	4
NrA7	2	5	8
NrA8	17	18	2
NrA9	7	5	5
NrA10	13	14	5
NrA11	4	6	10
NrA12	7	13	2
NrA13	3	8	18
NrA14	5	6	15
NrA15	1	11	12
NrA16	19	20	6
NrA35	8	1	9
NrA36	12	10	2
NrA37	16	11	2
NrA38	11	4	17
NrA39	17	12	2
NrA40	9	1	4
NrA41	5	2	8
NrA42	18	17	2
NrA43	5	7	5
NrA44	14	13	5
NrA45	6	4	10
NrA46	13	7	2
NrA47	8	3	18
NrA48	6	5	15
NrA49	11	1	12
NrA50	20	19	6
NrA51	19	18	19
NrA52	3	2	15
NrA53	1	2	11
NrA54	18	10	2
NrA55	21	20	6
NrA56	12	8	5
NrA57	15	14	15
NrA58	16	15	3
NrA59	12	11	7
NrA60	4	7	11
NrA61	1	4	7
NrA62	1	5	9
NrA63	9	3	6
NrA64	2	7	6
NrA65	22	21	15
NrA66	15	6	2
NrA67	14	5	2
NrA68	19	9	2
