Name:		mggdb_0.45_12
Optimal value:	-1
#Vehicles:	7
Capacity:	35
Depot Node:	1
#Nodes:		13
#Edges:		5
#Arcs:		36
#Required N:	10
#Required E:	2
#Required A:	9

ReN.	DEMAND	S. COST
N2	23	23
N3	12	12
N4	31	31
N6	14	14
N7	3	3
N8	5	5
N9	9	9
N10	14	14
N11	15	15
N12	14	14

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E4	5	10	3	11	11
E5	2	3	16	13	13

EDGE	FROM N.	TO N.	T. COST
NrE1	1	4	10
NrE2	10	11	15
NrE3	7	9	30

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A10	11	13	12	1	1
A11	4	5	11	15	15
A12	2	8	14	7	7
A13	4	10	26	8	8
A14	3	6	11	3	3
A15	6	12	17	4	4
A16	8	9	18	1	1
A17	2	6	8	8	8
A18	1	5	19	1	1

ARC	FROM N.	TO N.	T. COST
NrA1	6	10	13
NrA2	11	12	19
NrA3	9	13	8
NrA4	12	13	14
NrA5	2	7	9
NrA6	8	12	21
NrA7	4	11	30
NrA8	1	2	5
NrA9	1	3	7
NrA19	10	6	13
NrA20	12	11	19
NrA21	13	9	8
NrA22	13	12	14
NrA23	7	2	9
NrA24	12	8	21
NrA25	11	4	30
NrA26	2	1	5
NrA27	3	1	7
NrA28	13	11	12
NrA29	5	4	11
NrA30	8	2	14
NrA31	10	4	26
NrA32	6	3	11
NrA33	12	6	17
NrA34	9	8	18
NrA35	6	2	8
NrA36	5	1	19
