Name:		mggdb_0.45_22
Optimal value:	-1
#Vehicles:	8
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		11
#Arcs:		66
#Required N:	9
#Required E:	6
#Required A:	18

ReN.	DEMAND	S. COST
N2	21	21
N3	4	4
N4	25	25
N5	1	1
N6	9	9
N7	5	5
N8	11	11
N9	8	8
N10	9	9

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	1	7	1	3	3
E7	6	10	6	1	1
E8	1	11	3	5	5
E9	3	7	1	4	4
E10	4	11	3	8	8
E11	3	5	3	3	3

EDGE	FROM N.	TO N.	T. COST
NrE1	1	9	2
NrE2	1	5	1
NrE3	1	2	6
NrE4	1	10	3
NrE5	4	7	7

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A16	9	10	7	8	8
A17	6	9	5	1	1
A18	5	7	6	8	8
A19	3	4	6	1	1
A20	2	7	1	1	1
A21	5	8	1	2	2
A22	8	9	9	3	3
A23	2	3	5	3	3
A24	5	11	8	8	8
A25	3	9	9	8	8
A26	1	4	2	4	4
A27	4	5	7	7	7
A28	7	10	2	2	2
A29	6	8	8	6	6
A30	5	10	6	7	7
A31	3	11	8	9	9
A32	7	9	6	4	4
A33	3	10	1	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	2	5	8
NrA2	6	7	5
NrA3	1	3	1
NrA4	1	8	1
NrA5	9	11	4
NrA6	7	11	1
NrA7	2	9	8
NrA8	4	6	6
NrA9	2	11	5
NrA10	1	6	1
NrA11	2	8	1
NrA12	2	4	1
NrA13	4	10	8
NrA14	4	8	7
NrA15	4	9	1
NrA34	5	2	8
NrA35	7	6	5
NrA36	3	1	1
NrA37	8	1	1
NrA38	11	9	4
NrA39	11	7	1
NrA40	9	2	8
NrA41	6	4	6
NrA42	11	2	5
NrA43	6	1	1
NrA44	8	2	1
NrA45	4	2	1
NrA46	10	4	8
NrA47	8	4	7
NrA48	9	4	1
NrA49	10	9	7
NrA50	9	6	5
NrA51	7	5	6
NrA52	4	3	6
NrA53	7	2	1
NrA54	8	5	1
NrA55	9	8	9
NrA56	3	2	5
NrA57	11	5	8
NrA58	9	3	9
NrA59	4	1	2
NrA60	5	4	7
NrA61	10	7	2
NrA62	8	6	8
NrA63	10	5	6
NrA64	11	3	8
NrA65	9	7	6
NrA66	10	3	1
