Name:		mggdb_0.45_8
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		11
#Arcs:		70
#Required N:	16
#Required E:	6
#Required A:	19

ReN.	DEMAND	S. COST
N3	8	8
N4	9	9
N5	3	3
N6	21	21
N8	5	5
N10	5	5
N14	8	8
N15	12	12
N17	8	8
N18	7	7
N19	7	7
N21	4	4
N22	4	4
N23	2	2
N24	10	10
N27	4	4

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E6	21	23	7	6	6
E7	15	20	8	2	2
E8	13	14	4	1	1
E9	26	27	3	8	8
E10	14	18	2	9	9
E11	12	13	4	2	2

EDGE	FROM N.	TO N.	T. COST
NrE1	5	9	3
NrE2	14	16	9
NrE3	10	11	5
NrE4	1	24	6
NrE5	24	27	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A17	22	23	1	6	6
A18	13	15	4	7	7
A19	14	20	5	5	5
A20	2	12	1	9	9
A21	7	11	6	7	7
A22	21	22	8	2	2
A23	3	4	7	4	4
A24	5	6	2	9	9
A25	23	24	5	9	9
A26	4	6	7	9	9
A27	16	17	9	1	1
A28	4	10	1	4	4
A29	20	21	1	8	8
A30	1	3	7	8	8
A31	18	21	2	9	9
A32	2	1	3	2	2
A33	25	26	4	1	1
A34	6	7	3	1	1
A35	3	6	4	3	3

ARC	FROM N.	TO N.	T. COST
NrA1	6	10	2
NrA2	1	19	1
NrA3	22	25	3
NrA4	1	17	5
NrA5	18	25	3
NrA6	8	9	6
NrA7	4	5	2
NrA8	15	17	3
NrA9	6	8	6
NrA10	14	21	5
NrA11	6	9	6
NrA12	23	26	3
NrA13	1	27	7
NrA14	21	25	8
NrA15	3	8	6
NrA16	1	15	8
NrA36	10	6	2
NrA37	19	1	1
NrA38	25	22	3
NrA39	17	1	5
NrA40	25	18	3
NrA41	9	8	6
NrA42	5	4	2
NrA43	17	15	3
NrA44	8	6	6
NrA45	21	14	5
NrA46	9	6	6
NrA47	26	23	3
NrA48	27	1	7
NrA49	25	21	8
NrA50	8	3	6
NrA51	15	1	8
NrA52	23	22	1
NrA53	15	13	4
NrA54	20	14	5
NrA55	12	2	1
NrA56	11	7	6
NrA57	22	21	8
NrA58	4	3	7
NrA59	6	5	2
NrA60	24	23	5
NrA61	6	4	7
NrA62	17	16	9
NrA63	10	4	1
NrA64	21	20	1
NrA65	3	1	7
NrA66	21	18	2
NrA67	1	2	3
NrA68	26	25	4
NrA69	7	6	3
NrA70	6	3	4
