Name:		mggdb_0.45_9
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		12
#Arcs:		78
#Required N:	14
#Required E:	6
#Required A:	21

ReN.	DEMAND	S. COST
N2	11	11
N3	16	16
N4	24	24
N5	3	3
N6	17	17
N8	10	10
N13	7	7
N14	12	12
N16	1	1
N18	7	7
N19	7	7
N21	2	2
N23	9	9
N24	10	10

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	15	17	3	7	7
E8	4	19	3	1	1
E9	12	19	2	1	1
E10	21	23	7	6	6
E11	26	27	3	8	8
E12	6	8	6	4	4

EDGE	FROM N.	TO N.	T. COST
NrE1	4	5	2
NrE2	6	9	6
NrE3	8	24	2
NrE4	2	1	3
NrE5	2	12	1
NrE6	4	10	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A19	12	13	4	2	2
A20	21	25	8	4	4
A21	25	26	4	1	1
A22	3	4	7	4	4
A23	1	17	5	8	8
A24	18	21	2	9	9
A25	3	6	4	3	3
A26	22	25	3	4	4
A27	7	11	6	7	7
A28	23	26	3	2	2
A29	1	15	8	5	5
A30	22	23	1	6	6
A31	20	21	1	8	8
A32	10	11	5	5	5
A33	14	21	5	5	5
A34	5	6	2	9	9
A35	15	20	8	2	2
A36	6	7	3	1	1
A37	13	14	4	1	1
A38	1	27	7	4	4
A39	14	20	5	5	5

ARC	FROM N.	TO N.	T. COST
NrA1	24	27	5
NrA2	16	17	9
NrA3	23	24	5
NrA4	6	10	2
NrA5	8	9	6
NrA6	21	22	8
NrA7	1	3	7
NrA8	5	9	3
NrA9	1	24	6
NrA10	4	12	1
NrA11	14	16	9
NrA12	13	15	4
NrA13	18	25	3
NrA14	4	6	7
NrA15	8	27	1
NrA16	3	8	6
NrA17	1	19	1
NrA18	14	18	2
NrA40	27	24	5
NrA41	17	16	9
NrA42	24	23	5
NrA43	10	6	2
NrA44	9	8	6
NrA45	22	21	8
NrA46	3	1	7
NrA47	9	5	3
NrA48	24	1	6
NrA49	12	4	1
NrA50	16	14	9
NrA51	15	13	4
NrA52	25	18	3
NrA53	6	4	7
NrA54	27	8	1
NrA55	8	3	6
NrA56	19	1	1
NrA57	18	14	2
NrA58	13	12	4
NrA59	25	21	8
NrA60	26	25	4
NrA61	4	3	7
NrA62	17	1	5
NrA63	21	18	2
NrA64	6	3	4
NrA65	25	22	3
NrA66	11	7	6
NrA67	26	23	3
NrA68	15	1	8
NrA69	23	22	1
NrA70	21	20	1
NrA71	11	10	5
NrA72	21	14	5
NrA73	6	5	2
NrA74	20	15	8
NrA75	7	6	3
NrA76	14	13	4
NrA77	27	1	7
NrA78	20	14	5
