Name:		mggdb_0.50_11
Optimal value:	-1
#Vehicles:	5
Capacity:	50
Depot Node:	1
#Nodes:		22
#Edges:		11
#Arcs:		68
#Required N:	16
#Required E:	5
#Required A:	17

ReN.	DEMAND	S. COST
N2	4	4
N3	12	12
N4	7	7
N5	4	4
N6	7	7
N7	4	4
N8	11	11
N9	13	13
N10	1	1
N11	9	9
N13	7	7
N14	9	9
N15	3	3
N19	2	2
N20	8	8
N21	7	7

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	18	19	19	3	3
E8	11	16	2	2	2
E9	2	4	18	5	5
E10	7	4	11	5	5
E11	9	10	19	3	3

EDGE	FROM N.	TO N.	T. COST
NrE1	13	14	5
NrE2	9	19	2
NrE3	7	13	2
NrE4	1	10	13
NrE5	21	22	15
NrE6	7	5	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A18	10	18	2	8	8
A19	8	20	2	8	8
A20	5	1	9	9	9
A21	2	1	11	9	9
A22	3	4	8	1	1
A23	5	14	2	3	3
A24	4	6	10	5	5
A25	12	17	2	9	9
A26	2	22	2	6	6
A27	1	8	9	4	4
A28	4	11	17	4	4
A29	7	2	6	8	8
A30	2	3	15	1	1
A31	10	12	2	7	7
A32	16	17	7	6	6
A33	17	18	2	8	8
A34	13	22	6	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	6	15	2
NrA2	3	9	6
NrA3	3	8	18
NrA4	15	16	3
NrA5	14	15	15
NrA6	6	11	3
NrA7	2	5	8
NrA8	19	20	6
NrA9	8	12	5
NrA10	11	12	7
NrA11	1	9	4
NrA12	20	21	6
NrA13	8	9	14
NrA14	3	21	2
NrA15	5	6	15
NrA16	1	11	12
NrA17	4	1	7
NrA35	15	6	2
NrA36	9	3	6
NrA37	8	3	18
NrA38	16	15	3
NrA39	15	14	15
NrA40	11	6	3
NrA41	5	2	8
NrA42	20	19	6
NrA43	12	8	5
NrA44	12	11	7
NrA45	9	1	4
NrA46	21	20	6
NrA47	9	8	14
NrA48	21	3	2
NrA49	6	5	15
NrA50	11	1	12
NrA51	1	4	7
NrA52	18	10	2
NrA53	20	8	2
NrA54	1	5	9
NrA55	1	2	11
NrA56	4	3	8
NrA57	14	5	2
NrA58	6	4	10
NrA59	17	12	2
NrA60	22	2	2
NrA61	8	1	9
NrA62	11	4	17
NrA63	2	7	6
NrA64	3	2	15
NrA65	12	10	2
NrA66	17	16	7
NrA67	18	17	2
NrA68	22	13	6
