Name:		mggdb_0.50_22
Optimal value:	-1
#Vehicles:	8
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		11
#Arcs:		66
#Required N:	10
#Required E:	5
#Required A:	16

ReN.	DEMAND	S. COST
N2	21	21
N3	13	13
N4	20	20
N5	9	9
N6	1	1
N7	12	12
N8	9	9
N9	4	4
N10	9	9
N11	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	7	10	2	2	2
E8	4	8	7	5	5
E9	5	11	8	8	8
E10	4	5	7	7	7
E11	2	11	5	1	1

EDGE	FROM N.	TO N.	T. COST
NrE1	1	5	1
NrE2	2	8	1
NrE3	5	7	6
NrE4	1	9	2
NrE5	1	2	6
NrE6	2	7	1

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A18	4	10	8	2	2
A19	2	4	1	7	7
A20	6	7	5	3	3
A21	3	4	6	1	1
A22	2	3	5	3	3
A23	1	3	1	4	4
A24	3	11	8	9	9
A25	4	9	1	4	4
A26	6	10	6	1	1
A27	5	8	1	2	2
A28	3	9	9	8	8
A29	1	6	1	6	6
A30	5	10	6	7	7
A31	9	10	7	8	8
A32	1	11	3	5	5
A33	6	8	8	6	6

ARC	FROM N.	TO N.	T. COST
NrA1	3	7	1
NrA2	4	7	7
NrA3	1	4	2
NrA4	4	6	6
NrA5	6	9	5
NrA6	1	7	1
NrA7	7	11	1
NrA8	1	10	3
NrA9	2	5	8
NrA10	2	9	8
NrA11	1	8	1
NrA12	3	5	3
NrA13	9	11	4
NrA14	3	10	1
NrA15	7	9	6
NrA16	4	11	3
NrA17	8	9	9
NrA34	7	3	1
NrA35	7	4	7
NrA36	4	1	2
NrA37	6	4	6
NrA38	9	6	5
NrA39	7	1	1
NrA40	11	7	1
NrA41	10	1	3
NrA42	5	2	8
NrA43	9	2	8
NrA44	8	1	1
NrA45	5	3	3
NrA46	11	9	4
NrA47	10	3	1
NrA48	9	7	6
NrA49	11	4	3
NrA50	9	8	9
NrA51	10	4	8
NrA52	4	2	1
NrA53	7	6	5
NrA54	4	3	6
NrA55	3	2	5
NrA56	3	1	1
NrA57	11	3	8
NrA58	9	4	1
NrA59	10	6	6
NrA60	8	5	1
NrA61	9	3	9
NrA62	6	1	1
NrA63	10	5	6
NrA64	10	9	7
NrA65	11	1	3
NrA66	8	6	8
