Name:		mggdb_0.50_23
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		11
#Edges:		13
#Arcs:		84
#Required N:	7
#Required E:	6
#Required A:	21

ReN.	DEMAND	S. COST
N2	27	27
N3	18	18
N4	24	24
N5	13	13
N6	11	11
N7	13	13
N8	16	16

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E8	8	9	4	8	8
E9	9	11	7	6	6
E10	3	5	1	2	2
E11	4	7	5	6	6
E12	1	4	1	4	4
E13	1	7	2	8	8

EDGE	FROM N.	TO N.	T. COST
NrE1	2	10	7
NrE2	5	8	4
NrE3	2	7	3
NrE4	4	5	2
NrE5	2	3	5
NrE6	7	8	2
NrE7	6	7	5

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A22	7	10	6	1	1
A23	3	10	2	6	6
A24	1	10	2	5	5
A25	2	5	8	6	6
A26	2	6	1	5	5
A27	1	9	2	1	1
A28	6	8	3	8	8
A29	4	9	6	1	1
A30	2	4	1	6	6
A31	1	5	3	9	9
A32	6	9	6	3	3
A33	2	8	7	9	9
A34	3	9	4	7	7
A35	1	11	1	8	8
A36	5	11	7	1	1
A37	9	10	4	5	5
A38	5	10	6	3	3
A39	10	11	4	4	4
A40	1	6	3	7	7
A41	2	11	2	8	8
A42	1	2	1	7	7

ARC	FROM N.	TO N.	T. COST
NrA1	3	11	2
NrA2	7	9	1
NrA3	3	7	1
NrA4	8	10	5
NrA5	7	11	4
NrA6	5	9	8
NrA7	4	10	2
NrA8	3	6	4
NrA9	1	8	1
NrA10	6	10	6
NrA11	4	8	7
NrA12	2	9	8
NrA13	3	4	7
NrA14	8	11	6
NrA15	1	3	7
NrA16	4	11	4
NrA17	6	11	4
NrA18	3	8	5
NrA19	5	6	8
NrA20	5	7	5
NrA21	4	6	1
NrA43	11	3	2
NrA44	9	7	1
NrA45	7	3	1
NrA46	10	8	5
NrA47	11	7	4
NrA48	9	5	8
NrA49	10	4	2
NrA50	6	3	4
NrA51	8	1	1
NrA52	10	6	6
NrA53	8	4	7
NrA54	9	2	8
NrA55	4	3	7
NrA56	11	8	6
NrA57	3	1	7
NrA58	11	4	4
NrA59	11	6	4
NrA60	8	3	5
NrA61	6	5	8
NrA62	7	5	5
NrA63	6	4	1
NrA64	10	7	6
NrA65	10	3	2
NrA66	10	1	2
NrA67	5	2	8
NrA68	6	2	1
NrA69	9	1	2
NrA70	8	6	3
NrA71	9	4	6
NrA72	4	2	1
NrA73	5	1	3
NrA74	9	6	6
NrA75	8	2	7
NrA76	9	3	4
NrA77	11	1	1
NrA78	11	5	7
NrA79	10	9	4
NrA80	10	5	6
NrA81	11	10	4
NrA82	6	1	3
NrA83	11	2	2
NrA84	2	1	1
