Name:		mggdb_0.50_8
Optimal value:	-1
#Vehicles:	10
Capacity:	27
Depot Node:	1
#Nodes:		27
#Edges:		11
#Arcs:		70
#Required N:	15
#Required E:	5
#Required A:	17

ReN.	DEMAND	S. COST
N2	9	9
N3	15	15
N4	22	22
N5	9	9
N6	13	13
N7	7	7
N13	8	8
N14	14	14
N15	14	14
N18	7	7
N22	4	4
N23	9	9
N24	1	1
N25	1	1
N26	8	8

ReE.	FROM N.	TO N.	T. COST	DEMAND	S. COST
E7	5	9	3	3	3
E8	21	25	8	4	4
E9	1	27	7	4	4
E10	1	19	1	7	7
E11	6	7	3	1	1

EDGE	FROM N.	TO N.	T. COST
NrE1	26	27	3
NrE2	4	10	1
NrE3	15	20	8
NrE4	25	26	4
NrE5	6	9	6
NrE6	4	5	2

ReA.	FROM N.	TO N.	T. COST	DEMAND	S. COST
A19	8	9	6	5	5
A20	24	27	5	9	9
A21	1	17	5	8	8
A22	3	8	6	8	8
A23	21	23	7	6	6
A24	20	21	1	8	8
A25	21	22	8	2	2
A26	23	26	3	2	2
A27	6	10	2	8	8
A28	22	23	1	6	6
A29	16	17	9	1	1
A30	14	16	9	3	3
A31	14	20	5	5	5
A32	10	11	5	5	5
A33	18	21	2	9	9
A34	2	1	3	2	2
A35	12	13	4	2	2

ARC	FROM N.	TO N.	T. COST
NrA1	22	25	3
NrA2	23	24	5
NrA3	3	6	4
NrA4	13	14	4
NrA5	18	25	3
NrA6	3	4	7
NrA7	15	17	3
NrA8	2	12	1
NrA9	14	18	2
NrA10	14	21	5
NrA11	1	3	7
NrA12	13	15	4
NrA13	4	6	7
NrA14	6	8	6
NrA15	1	15	8
NrA16	1	24	6
NrA17	5	6	2
NrA18	7	11	6
NrA36	25	22	3
NrA37	24	23	5
NrA38	6	3	4
NrA39	14	13	4
NrA40	25	18	3
NrA41	4	3	7
NrA42	17	15	3
NrA43	12	2	1
NrA44	18	14	2
NrA45	21	14	5
NrA46	3	1	7
NrA47	15	13	4
NrA48	6	4	7
NrA49	8	6	6
NrA50	15	1	8
NrA51	24	1	6
NrA52	6	5	2
NrA53	11	7	6
NrA54	9	8	6
NrA55	27	24	5
NrA56	17	1	5
NrA57	8	3	6
NrA58	23	21	7
NrA59	21	20	1
NrA60	22	21	8
NrA61	26	23	3
NrA62	10	6	2
NrA63	23	22	1
NrA64	17	16	9
NrA65	16	14	9
NrA66	20	14	5
NrA67	11	10	5
NrA68	21	18	2
NrA69	1	2	3
NrA70	13	12	4
